carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,381879,70.9395,81.6997
1,1m,47p,382066,70.8443,81.6997
1,1m,100p,382276,70.7369,81.6997
1,1m,220p,382748,70.4928,81.6997
1,1m,470p,383723,69.9814,81.6997
1,1m,1n,385738,68.8844,81.6997
1,1m,2.2n,390026,66.3401,81.6996
1,1m,4.7n,397353,60.8347,81.6995
1,430,1f,381878,70.8879,81.6997
1,430,47p,382064,70.7927,81.6997
1,430,100p,382274,70.6852,81.6997
1,430,220p,382747,70.441,81.6997
1,430,470p,383722,69.9295,81.6997
1,430,1n,385736,68.8322,81.6997
1,430,2.2n,390024,66.2874,81.6996
1,430,4.7n,397351,60.781,81.6995
2,1m,1f,381631,70.9449,81.6017
2,1m,47p,381817,70.8499,81.6017
2,1m,100p,382026,70.7425,81.6017
2,1m,220p,382498,70.4988,81.6017
2,1m,470p,383470,69.9881,81.6016
2,1m,1n,385480,68.8926,81.6016
2,1m,2.2n,389749,66.3524,81.6016
2,1m,4.7n,397058,60.8555,81.6014
2,430,1f,381629,70.8933,81.6017
2,430,47p,381815,70.7983,81.6017
2,430,100p,382024,70.6909,81.6017
2,430,220p,382496,70.4471,81.6017
2,430,470p,383468,69.9362,81.6016
2,430,1n,385478,68.8405,81.6016
2,430,2.2n,389748,66.2998,81.6016
2,430,4.7n,397056,60.8019,81.6014
