mode,pos,cprobe,fcross_hz,pm_deg,tdb_10hz
0db,1,1f,959802,63.0161,72.3992
0db,1,47p,960950,62.7621,72.3992
0db,1,100p,962116,62.4759,72.3992
0db,1,220p,964226,61.8317,72.3992
0db,1,470p,966159,60.5363,72.3992
0db,1,1n,959725,58.2268,72.3992
0db,1,2.2n,917614,55.7907,72.3993
0db,1,4.7n,842838,56.4623,72.3993
0db,2,1f,959802,63.0161,72.3992
0db,2,47p,961001,62.7614,72.3992
0db,2,100p,962346,62.473,72.3992
0db,2,220p,965357,61.8155,72.3992
0db,2,470p,971468,60.4264,72.3992
0db,2,1n,983693,57.3991,72.3992
0db,2,2.2n,1.00546E+06,50.2725,72.3992
0db,2,4.7n,1.00881E+06,36.2646,72.3992
10db,1,1f,308478,86.0157,61.8675
10db,1,47p,308514,85.9463,61.8675
10db,1,100p,308549,85.8681,61.8675
10db,1,220p,308612,85.6909,61.8675
10db,1,470p,308668,85.3223,61.8675
10db,1,1n,308448,84.5506,61.8675
10db,1,2.2n,306378,82.9252,61.8675
10db,1,4.7n,297557,80.4642,61.8675
10db,2,1f,308478,86.0157,61.8675
10db,2,47p,308515,85.9462,61.8675
10db,2,100p,308556,85.8679,61.8675
10db,2,220p,308648,85.6904,61.8675
10db,2,470p,308828,85.3201,61.8675
10db,2,1n,309175,84.533,61.8675
10db,2,2.2n,309757,82.7435,61.8675
10db,2,4.7n,309988,79.0175,61.8675
