mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,743596,68.648,80.8075,100k
0db,1m,1,47p,744694,68.4448,80.8075,100k
0db,1m,1,100p,745871,68.2142,80.8075,100k
0db,1m,1,220p,748286,67.6876,80.8075,100k
0db,1m,1,470p,752100,66.5856,80.8075,100k
0db,1m,1,1n,754245,64.3716,80.8075,100k
0db,1m,1,1.5n,749369,62.6413,80.8075,100k
0db,1m,1,2.2n,735276,60.9734,80.8075,100k
0db,1m,1,2.7n,723021,60.2603,80.8075,100k
0db,1m,1,3.3n,708224,59.7886,80.8075,100k
0db,1m,1,4.7n,678201,59.6407,80.8075,100k
0db,1m,2,1f,743596,68.648,80.8075,100k
0db,1m,2,47p,744720,68.4447,80.8075,100k
0db,1m,2,100p,745989,68.2141,80.8075,100k
0db,1m,2,220p,748866,67.6867,80.8075,100k
0db,1m,2,470p,754875,66.564,80.8075,100k
0db,1m,2,1n,767878,64.0658,80.8075,100k
0db,1m,2,1.5n,780246,61.561,80.8075,100k
0db,1m,2,2.2n,797428,57.8083,80.8075,100k
0db,1m,2,2.7n,809215,54.9626,80.8075,100k
0db,1m,2,3.3n,822223,51.3983,80.8075,100k
0db,1m,2,4.7n,843189,42.8743,80.8074,100k
0db,1k,1,1f,743558,68.4151,80.8075,100k
0db,1k,1,47p,744655,68.2116,80.8075,100k
0db,1k,1,100p,745832,67.9806,80.8075,100k
0db,1k,1,220p,748247,67.4533,80.8075,100k
0db,1k,1,470p,752060,66.3502,80.8075,100k
0db,1k,1,1n,754205,64.1356,80.8075,100k
0db,1k,1,1.5n,749330,62.4069,80.8075,100k
0db,1k,1,2.2n,735241,60.7433,80.8075,100k
0db,1k,1,2.7n,722989,60.034,80.8075,100k
0db,1k,1,3.3n,708194,59.5669,80.8075,100k
0db,1k,1,4.7n,678176,59.4282,80.8075,100k
0db,1k,2,1f,743558,68.4151,80.8075,100k
0db,1k,2,47p,744681,68.2114,80.8075,100k
0db,1k,2,100p,745950,67.9805,80.8075,100k
0db,1k,2,220p,748826,67.4522,80.8075,100k
0db,1k,2,470p,754834,66.3276,80.8075,100k
0db,1k,2,1n,767834,63.8257,80.8075,100k
0db,1k,2,1.5n,780198,61.3172,80.8075,100k
0db,1k,2,2.2n,797374,57.5596,80.8075,100k
0db,1k,2,2.7n,809158,54.7105,80.8075,100k
0db,1k,2,3.3n,822162,51.1427,80.8075,100k
0db,1k,2,4.7n,843123,42.6133,80.8074,100k
0db,2.5k,1,1f,743425,68.0688,80.8075,100k
0db,2.5k,1,47p,744521,67.8649,80.8075,100k
0db,2.5k,1,100p,745697,67.6334,80.8075,100k
0db,2.5k,1,220p,748111,67.1051,80.8075,100k
0db,2.5k,1,470p,751921,66.0005,80.8075,100k
0db,2.5k,1,1n,754065,63.7854,80.8075,100k
0db,2.5k,1,1.5n,749195,62.0592,80.8075,100k
0db,2.5k,1,2.2n,735119,60.402,80.8075,100k
0db,2.5k,1,2.7n,722877,59.6981,80.8075,100k
0db,2.5k,1,3.3n,708089,59.2376,80.8075,100k
0db,2.5k,1,4.7n,678087,59.1123,80.8075,100k
0db,2.5k,2,1f,743425,68.0688,80.8075,100k
0db,2.5k,2,47p,744547,67.8647,80.8075,100k
0db,2.5k,2,100p,745815,67.6332,80.8075,100k
0db,2.5k,2,220p,748690,67.1037,80.8075,100k
0db,2.5k,2,470p,754693,65.9767,80.8075,100k
0db,2.5k,2,1n,767679,63.4695,80.8075,100k
0db,2.5k,2,1.5n,780028,60.9563,80.8075,100k
0db,2.5k,2,2.2n,797184,57.1924,80.8075,100k
0db,2.5k,2,2.7n,808958,54.339,80.8075,100k
0db,2.5k,2,3.3n,821944,50.7672,80.8075,100k
0db,2.5k,2,4.7n,842883,42.2323,80.8074,100k
0db,2.571k,1,1f,743416,68.0525,80.8075,100k
0db,2.571k,1,47p,744512,67.8485,80.8075,100k
0db,2.571k,1,100p,745688,67.6171,80.8075,100k
0db,2.571k,1,220p,748102,67.0887,80.8075,100k
0db,2.571k,1,470p,751912,65.984,80.8075,100k
0db,2.571k,1,1n,754056,63.7689,80.8075,100k
0db,2.571k,1,1.5n,749186,62.0428,80.8075,100k
0db,2.571k,1,2.2n,735111,60.386,80.8075,100k
0db,2.571k,1,2.7n,722870,59.6824,80.8075,100k
0db,2.571k,1,3.3n,708082,59.2221,80.8075,100k
0db,2.571k,1,4.7n,678081,59.0974,80.8075,100k
0db,2.571k,2,1f,743416,68.0525,80.8075,100k
0db,2.571k,2,47p,744539,67.8484,80.8075,100k
0db,2.571k,2,100p,745806,67.6169,80.8075,100k
