carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,457696,70.224,81.8448
1,1m,47p,458018,70.1059,81.8448
1,1m,100p,458382,69.9724,81.8448
1,1m,220p,459203,69.6688,81.8448
1,1m,470p,460900,69.0306,81.8448
1,1m,1n,464434,67.6528,81.8448
1,1m,2.2n,472137,64.4088,81.8447
1,1m,4.7n,485514,57.217,81.8446
1,430,1f,457693,70.1621,81.8448
1,430,47p,458016,70.044,81.8448
1,430,100p,458380,69.9104,81.8448
1,430,220p,459200,69.6067,81.8448
1,430,470p,460897,68.9683,81.8448
1,430,1n,464432,67.5901,81.8448
1,430,2.2n,472134,64.345,81.8447
1,430,4.7n,485510,57.1515,81.8446
2,1m,1f,457384,70.2291,81.744
2,1m,47p,457706,70.1112,81.744
2,1m,100p,458069,69.9779,81.744
2,1m,220p,458887,69.6747,81.744
2,1m,470p,460580,69.0375,81.744
2,1m,1n,464105,67.6617,81.744
2,1m,2.2n,471777,64.4234,81.744
2,1m,4.7n,485105,57.2452,81.7438
2,430,1f,457381,70.1673,81.744
2,430,47p,457703,70.0493,81.744
2,430,100p,458066,69.916,81.744
2,430,220p,458884,69.6127,81.744
2,430,470p,460577,68.9753,81.744
2,430,1n,464102,67.599,81.744
2,430,2.2n,471774,64.3596,81.744
2,430,4.7n,485102,57.1797,81.7438
