carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,798741,69.8699,80.3043
1,1m,47p,800493,69.6186,80.3043
1,1m,100p,802479,69.3326,80.3043
1,1m,220p,807013,68.6752,80.3043
1,1m,470p,816729,67.2567,80.3043
1,1m,1n,838587,64.0088,80.3043
1,1m,2.2n,893753,55.2165,80.3042
1,1m,4.7n,982805,32.0324,80.3042
1,430,1f,798726,69.7623,80.3043
1,430,47p,800478,69.5107,80.3043
1,430,100p,802464,69.2245,80.3043
1,430,220p,806999,68.5665,80.3043
1,430,470p,816712,67.1467,80.3043
1,430,1n,838569,63.896,80.3043
1,430,2.2n,893727,55.0968,80.3042
1,430,4.7n,982773,31.9022,80.3042
2,1m,1f,798030,69.8787,80.2022
2,1m,47p,799776,69.6279,80.2022
2,1m,100p,801755,69.3425,80.2022
2,1m,220p,806273,68.6865,80.2022
2,1m,470p,815931,67.2718,80.2022
2,1m,1n,837675,64.033,80.2022
2,1m,2.2n,892466,55.2757,80.2022
2,1m,4.7n,981105,32.1968,80.2021
2,430,1f,798016,69.7712,80.2022
2,430,47p,799762,69.5201,80.2022
2,430,100p,801740,69.2345,80.2022
2,430,220p,806258,68.5779,80.2022
2,430,470p,815915,67.1619,80.2022
2,430,1n,837658,63.9203,80.2022
2,430,2.2n,892441,55.1562,80.2022
2,430,4.7n,981072,32.0667,80.2021
