cand,pos,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,0,1m,1f,939168,67.7537,78.4191
1,0,1m,47p,941896,67.4374,78.4191
1,0,1m,100p,944996,67.0763,78.4191
1,0,1m,220p,952110,66.2411,78.4191
1,0,1m,470p,967684,64.4092,78.4191
1,0,1m,1n,1.00366E+06,60.0718,78.4191
1,0,1m,2.2n,1.10018E+06,47.2172,78.4191
1,0,1m,4.7n,1.17637E+06,17.57,78.419
1,0,430,1f,939145,67.6273,78.4191
1,0,430,47p,941872,67.3106,78.4191
1,0,430,100p,944972,66.9491,78.4191
1,0,430,220p,952085,66.113,78.4191
1,0,430,470p,967658,64.2791,78.4191
1,0,430,1n,1.00363E+06,59.9372,78.4191
1,0,430,2.2n,1.10013E+06,47.0709,78.4191
1,0,430,4.7n,1.17633E+06,17.4145,78.419
1,6,1m,1f,940301,67.7631,78.5652
1,6,1m,47p,940906,67.6831,78.5652
1,6,1m,100p,941368,67.5945,78.5652
1,6,1m,220p,941549,67.4186,78.5652
1,6,1m,470p,939400,67.2205,78.5652
1,6,1m,1n,934085,67.2236,78.5652
1,6,1m,2.2n,929731,67.3947,78.5652
1,6,1m,4.7n,927862,67.5231,78.5652
1,6,430,1f,940278,67.6365,78.5652
1,6,430,47p,940883,67.5564,78.5652
1,6,430,100p,941345,67.4678,78.5652
1,6,430,220p,941526,67.2919,78.5652
1,6,430,470p,939378,67.094,78.5652
1,6,430,1n,934063,67.0978,78.5652
1,6,430,2.2n,929709,67.2695,78.5652
1,6,430,4.7n,927841,67.3982,78.5652
1,12,1m,1f,940600,67.7656,78.604
1,12,1m,47p,940758,67.7453,78.604
1,12,1m,100p,940894,67.7227,78.604
1,12,1m,220p,941031,67.675,78.604
1,12,1m,470p,940694,67.6062,78.604
1,12,1m,1n,939206,67.577,78.604
1,12,1m,2.2n,937471,67.6242,78.604
1,12,1m,4.7n,936617,67.6737,78.604
1,12,430,1f,940577,67.6389,78.604
1,12,430,47p,940735,67.6187,78.604
1,12,430,100p,940872,67.596,78.604
1,12,430,220p,941008,67.5483,78.604
1,12,430,470p,940671,67.4796,78.604
1,12,430,1n,939184,67.4505,78.604
1,12,430,2.2n,937448,67.4979,78.604
1,12,430,4.7n,936594,67.5476,78.604
2,0,1m,1f,944012,67.7946,79.0595
2,0,1m,47p,946798,67.4749,79.0595
2,0,1m,100p,949965,67.1098,79.0595
2,0,1m,220p,957293,66.2637,79.0595
2,0,1m,470p,973308,64.4069,79.0595
2,0,1m,1n,1.0106E+06,59.9911,79.0595
2,0,1m,2.2n,1.11168E+06,46.7623,79.0595
2,0,1m,4.7n,1.18691E+06,16.524,79.0595
2,0,430,1f,943990,67.6675,79.0595
2,0,430,47p,946775,67.3474,79.0595
2,0,430,100p,949942,66.982,79.0595
2,0,430,220p,957269,66.1349,79.0595
2,0,430,470p,973282,64.276,79.0595
2,0,430,1n,1.01057E+06,59.8555,79.0595
2,0,430,2.2n,1.11163E+06,46.6144,79.0595
2,0,430,4.7n,1.18687E+06,16.3671,79.0595
2,6,1m,1f,945149,67.8045,79.2163
2,6,1m,47p,945714,67.7244,79.2163
2,6,1m,100p,946005,67.6393,79.2163
2,6,1m,220p,945500,67.499,79.2163
2,6,1m,470p,942719,67.4265,79.2163
2,6,1m,1n,939293,67.5069,79.2163
2,6,1m,2.2n,937358,67.6128,79.2163
2,6,1m,4.7n,936605,67.6726,79.2162
2,6,430,1f,945127,67.6773,79.2163
2,6,430,47p,945692,67.597,79.2163
2,6,430,100p,945983,67.5119,79.2163
2,6,430,220p,945479,67.3717,79.2163
2,6,430,470p,942698,67.2996,79.2163
2,6,430,1n,939272,67.3804,79.2163
2,6,430,2.2n,937337,67.4866,79.2163
2,6,430,4.7n,936584,67.5464,79.2163
2,12,1m,1f,945452,67.8072,79.2584
2,12,1m,47p,945604,67.7867,79.2584
2,12,1m,100p,945708,67.7644,79.2584
2,12,1m,220p,945685,67.7225,79.2584
2,12,1m,470p,945039,67.6852,79.2584
2,12,1m,1n,943863,67.6976,79.2584
2,12,1m,2.2n,943049,67.7343,79.2584
2,12,1m,4.7n,942717,67.7581,79.2584
2,12,430,1f,945429,67.6799,79.2584
2,12,430,47p,945581,67.6594,79.2584
2,12,430,100p,945684,67.6371,79.2584
2,12,430,220p,945662,67.5952,79.2584
2,12,430,470p,945015,67.558,79.2584
2,12,430,1n,943840,67.5705,79.2584
2,12,430,2.2n,943025,67.6074,79.2584
2,12,430,4.7n,942693,67.6312,79.2584
