file,vplus,vminus,vrelay,v5,raw_p_min,raw_m_min_abs,raw_v_min,t_off_ms,t_md_ms,t_p135_ms,t_p106_ms,t_m135_ms,t_m106_ms,trip_after_135_ms,vr_hold_ms,vr80_hold_ms,vplus_at_off,vminus_at_off
perdita_rete_m10,,,,,,,,14.211,14.227,73.811,134.151,74.171,134.511,-59.601,51.221,139.841,15.000,-15.053
perdita_rete_nom,,,,,,,,14.300,14.318,105.553,165.893,105.913,166.273,-91.253,133.573,222.193,15.000,-15.053
perdita_rete_p10,,,,,,,,14.376,14.392,137.351,197.691,137.711,198.051,-122.975,216.255,304.875,15.000,-15.053
regime_m10,14.9997,-15.0525,11.9999,5.0000,18.045,18.045,13.215,,,,,,,,,,,
regime_nom,14.9997,-15.0525,11.9999,5.0000,20.284,20.284,15.142,,,,,,,,,,,
regime_p10,14.9997,-15.0525,11.9999,5.0000,22.527,22.527,17.075,,,,,,,,,,,
