mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,2.611k,1,2.2n,657613,64.3768,79.6304,100k
0db,2.611k,1,2.7n,648520,63.5809,79.6304,100k
0db,2.611k,1,3.3n,637032,62.9662,79.6304,100k
0db,2.611k,1,4.7n,612257,62.4787,79.6304,100k
0db,2.611k,2,1f,662941,71.2549,79.6305,100k
0db,2.611k,2,47p,663725,71.0819,79.6305,100k
0db,2.611k,2,100p,664610,70.886,79.6305,100k
0db,2.611k,2,220p,666610,70.4389,79.6305,100k
0db,2.611k,2,470p,670766,69.4918,79.6304,100k
0db,2.611k,2,1n,679581,67.4109,79.6304,100k
0db,2.611k,2,1.5n,687852,65.3555,79.6304,100k
0db,2.611k,2,2.2n,699136,62.3315,79.6304,100k
0db,2.611k,2,2.7n,706731,60.0777,79.6304,100k
0db,2.611k,2,3.3n,715238,57.2788,79.6304,100k
0db,2.611k,2,4.7n,730165,50.5549,79.6304,100k
0db,1m,1,1f,662228,71.7874,79.4467,10k
0db,1m,1,47p,662984,71.617,79.4467,10k
0db,1m,1,100p,663796,71.4237,79.4467,10k
0db,1m,1,220p,665463,70.9829,79.4467,10k
0db,1m,1,470p,668119,70.0592,79.4467,10k
0db,1m,1,1n,669836,68.1699,79.4468,10k
0db,1m,1,1.5n,666800,66.6146,79.4468,10k
0db,1m,1,2.2n,657099,64.9674,79.4468,10k
0db,1m,1,2.7n,648128,64.1653,79.4469,10k
0db,1m,1,3.3n,636775,63.5389,79.4469,10k
0db,1m,1,4.7n,612200,63.0209,79.447,10k
0db,1m,2,1f,662228,71.7874,79.4467,10k
0db,1m,2,47p,663009,71.6154,79.4467,10k
0db,1m,2,100p,663889,71.4207,79.4467,10k
0db,1m,2,220p,665881,70.9763,79.4467,10k
0db,1m,2,470p,670018,70.0348,79.4467,10k
0db,1m,2,1n,678769,67.9671,79.4467,10k
0db,1m,2,1.5n,686999,65.9243,79.4467,10k
0db,1m,2,2.2n,698196,62.9199,79.4466,10k
0db,1m,2,2.7n,705750,60.6798,79.4466,10k
0db,1m,2,3.3n,714176,57.8996,79.4466,10k
0db,1m,2,4.7n,728986,51.2163,79.4466,10k
0db,1k,1,1f,662201,71.5794,79.4467,10k
0db,1k,1,47p,662958,71.4087,79.4467,10k
0db,1k,1,100p,663769,71.2153,79.4467,10k
0db,1k,1,220p,665436,70.7739,79.4467,10k
0db,1k,1,470p,668092,69.8495,79.4467,10k
0db,1k,1,1n,669809,67.9596,79.4468,10k
0db,1k,1,1.5n,666774,66.4053,79.4468,10k
0db,1k,1,2.2n,657075,64.7612,79.4468,10k
0db,1k,1,2.7n,648105,63.9619,79.4469,10k
0db,1k,1,3.3n,636754,63.339,79.4469,10k
0db,1k,1,4.7n,612183,62.8286,79.447,10k
0db,1k,2,1f,662201,71.5794,79.4467,10k
0db,1k,2,47p,662982,71.4072,79.4467,10k
0db,1k,2,100p,663862,71.2122,79.4467,10k
0db,1k,2,220p,665854,70.7672,79.4467,10k
0db,1k,2,470p,669990,69.8244,79.4467,10k
0db,1k,2,1n,678740,67.7541,79.4467,10k
0db,1k,2,1.5n,686968,65.7088,79.4467,10k
0db,1k,2,2.2n,698163,62.7011,79.4466,10k
0db,1k,2,2.7n,705716,60.4589,79.4466,10k
0db,1k,2,3.3n,714140,57.6763,79.4466,10k
0db,1k,2,4.7n,728946,50.9888,79.4466,10k
0db,2.5k,1,1f,662109,71.2696,79.4467,10k
0db,2.5k,1,47p,662865,71.0987,79.4467,10k
0db,2.5k,1,100p,663676,70.9049,79.4467,10k
0db,2.5k,1,220p,665342,70.4628,79.4467,10k
0db,2.5k,1,470p,667996,69.5373,79.4467,10k
0db,2.5k,1,1n,669713,67.647,79.4468,10k
0db,2.5k,1,1.5n,666680,66.0943,79.4468,10k
0db,2.5k,1,2.2n,656990,64.4547,79.4468,10k
0db,2.5k,1,2.7n,648024,63.6595,79.4469,10k
0db,2.5k,1,3.3n,636680,63.0417,79.4469,10k
0db,2.5k,1,4.7n,612120,62.5423,79.447,10k
0db,2.5k,2,1f,662109,71.2696,79.4467,10k
0db,2.5k,2,47p,662889,71.0971,79.4467,10k
0db,2.5k,2,100p,663769,70.9018,79.4467,10k
0db,2.5k,2,220p,665759,70.4559,79.4467,10k
0db,2.5k,2,470p,669893,69.5114,79.4467,10k
0db,2.5k,2,1n,678636,67.4374,79.4467,10k
0db,2.5k,2,1.5n,686859,65.3888,79.4467,10k
0db,2.5k,2,2.2n,698044,62.3767,79.4466,10k
0db,2.5k,2,2.7n,705592,60.1315,79.4466,10k
0db,2.5k,2,3.3n,714007,57.346,79.4466,10k
0db,2.5k,2,4.7n,728802,50.6539,79.4466,10k
0db,2.571k,1,1f,662103,71.2551,79.4467,10k
0db,2.571k,1,47p,662859,71.0841,79.4467,10k
0db,2.571k,1,100p,663670,70.8903,79.4467,10k
0db,2.571k,1,220p,665336,70.4482,79.4467,10k
0db,2.571k,1,470p,667990,69.5226,79.4467,10k
0db,2.571k,1,1n,669707,67.6323,79.4468,10k
0db,2.571k,1,1.5n,666674,66.0796,79.4468,10k
0db,2.571k,1,2.2n,656984,64.4402,79.4468,10k
0db,2.571k,1,2.7n,648019,63.6452,79.4469,10k
0db,2.571k,1,3.3n,636675,63.0277,79.4469,10k
0db,2.571k,1,4.7n,612116,62.5288,79.447,10k
0db,2.571k,2,1f,662103,71.2551,79.4467,10k
0db,2.571k,2,47p,662883,71.0825,79.4467,10k
0db,2.571k,2,100p,663763,70.8871,79.4467,10k
0db,2.571k,2,220p,665753,70.4412,79.4467,10k
0db,2.571k,2,470p,669887,69.4967,79.4467,10k
0db,2.571k,2,1n,678629,67.4225,79.4467,10k
0db,2.571k,2,1.5n,686852,65.3737,79.4467,10k
0db,2.571k,2,2.2n,698036,62.3615,79.4466,10k
0db,2.571k,2,2.7n,705584,60.1161,79.4466,10k
0db,2.571k,2,3.3n,713999,57.3305,79.4466,10k
0db,2.571k,2,4.7n,728793,50.6382,79.4466,10k
