pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,662192,69.6728,80.5804
1,10k,47p,662984,69.4961,80.5804
1,10k,100p,663835,69.2962,80.5804
1,10k,220p,665584,68.8417,80.5804
1,10k,470p,668376,67.8969,80.5804
1,10k,1n,670200,65.9987,80.5804
1,10k,1.5n,667045,64.479,80.5804
1,10k,2.2n,656927,62.9338,80.5805
1,10k,2.7n,647574,62.2231,80.5805
1,10k,3.3n,635761,61.7096,80.5806
1,10k,4.7n,610240,61.4271,80.5806
2,10k,1f,662192,69.6728,80.5804
2,10k,47p,663010,69.4944,80.5804
2,10k,100p,663932,69.2924,80.5804
2,10k,220p,666020,68.8314,80.5804
2,10k,470p,670362,67.855,80.5804
2,10k,1n,679584,65.7106,80.5803
2,10k,1.5n,688263,63.5934,80.5803
2,10k,2.2n,700161,60.4797,80.5803
2,10k,2.7n,708193,58.1623,80.5803
2,10k,3.3n,717251,55.2859,80.5803
2,10k,4.7n,733243,48.4081,80.5803
1,50k,1f,662973,69.6735,80.7464
1,50k,47p,663775,69.4951,80.7464
1,50k,100p,664636,69.2932,80.7464
1,50k,220p,666405,68.8341,80.7464
1,50k,470p,669226,67.8797,80.7464
1,50k,1n,671046,65.9631,80.7464
1,50k,1.5n,667813,64.4314,80.7464
1,50k,2.2n,657514,62.8798,80.7464
1,50k,2.7n,648042,62.1692,80.7464
1,50k,3.3n,636096,61.6592,80.7464
1,50k,4.7n,610374,61.3881,80.7464
2,50k,1f,662973,69.6735,80.7464
2,50k,47p,663795,69.4947,80.7464
2,50k,100p,664722,69.2922,80.7464
2,50k,220p,666819,68.8301,80.7464
2,50k,470p,671182,67.8512,80.7464
2,50k,1n,680474,65.7003,80.7464
2,50k,1.5n,689198,63.5768,80.7463
2,50k,2.2n,701192,60.4518,80.7463
2,50k,2.7n,709305,58.1244,80.7463
2,50k,3.3n,718417,55.2372,80.7463
2,50k,4.7n,734537,48.3293,80.7463
