cand,pos,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,0,1m,1f,997063,69.3902,71.2173
1,0,1m,47p,998463,69.134,71.2173
1,0,1m,100p,1.00003E+06,68.8437,71.2173
1,0,1m,220p,1.00364E+06,68.1792,71.2173
1,0,1m,470p,1.01098E+06,66.7718,71.2173
1,0,1m,1n,1.02555E+06,63.6917,71.2173
1,0,1m,2.2n,1.05144E+06,56.3703,71.2172
1,0,1m,4.7n,1.0511E+06,42.0773,71.2172
1,0,430,1f,997049,69.2712,71.2173
1,0,430,47p,998449,69.0148,71.2173
1,0,430,100p,1.00002E+06,68.7243,71.2173
1,0,430,220p,1.00363E+06,68.0595,71.2173
1,0,430,470p,1.01097E+06,66.6512,71.2173
1,0,430,1n,1.02553E+06,63.5694,71.2173
1,0,430,2.2n,1.05142E+06,56.2451,71.2172
1,0,430,4.7n,1.05108E+06,41.9523,71.2172
1,6,1m,1f,998128,69.3881,71.3022
1,6,1m,47p,998395,69.3239,71.3022
1,6,1m,100p,998478,69.255,71.3022
1,6,1m,220p,997901,69.127,71.3022
1,6,1m,470p,994998,69.0115,71.3022
1,6,1m,1n,990159,69.0675,71.3022
1,6,1m,2.2n,986921,69.2217,71.3022
1,6,1m,4.7n,985734,69.3222,71.3022
1,6,430,1f,998115,69.2689,71.3022
1,6,430,47p,998382,69.2047,71.3022
1,6,430,100p,998464,69.1358,71.3022
1,6,430,220p,997887,69.0079,71.3022
1,6,430,470p,994985,68.8928,71.3022
1,6,430,1n,990146,68.9493,71.3022
1,6,430,2.2n,986908,69.1039,71.3022
1,6,430,4.7n,985721,69.2045,71.3022
1,12,1m,1f,998409,69.3875,71.3247
1,12,1m,47p,998482,69.3712,71.3247
1,12,1m,100p,998521,69.3534,71.3247
1,12,1m,220p,998452,69.3175,71.3247
1,12,1m,470p,997827,69.2726,71.3247
1,12,1m,1n,996322,69.2685,71.3247
1,12,1m,2.2n,994975,69.3163,71.3247
1,12,1m,4.7n,994422,69.356,71.3247
1,12,430,1f,998395,69.2683,71.3247
1,12,430,47p,998468,69.252,71.3247
1,12,430,100p,998508,69.2342,71.3247
1,12,430,220p,998438,69.1983,71.3247
1,12,430,470p,997814,69.1535,71.3247
1,12,430,1n,996309,69.1495,71.3247
1,12,430,2.2n,994961,69.1976,71.3247
1,12,430,4.7n,994409,69.2373,71.3247
2,0,1m,1f,1.00166E+06,69.3806,71.5855
2,0,1m,47p,1.00312E+06,69.1213,71.5855
2,0,1m,100p,1.00476E+06,68.8275,71.5855
2,0,1m,220p,1.00844E+06,68.1566,71.5855
2,0,1m,470p,1.01592E+06,66.7351,71.5855
2,0,1m,1n,1.03093E+06,63.6184,71.5855
2,0,1m,2.2n,1.05755E+06,56.2026,71.5855
2,0,1m,4.7n,1.057E+06,41.7467,71.5855
2,0,430,1f,1.00164E+06,69.2611,71.5855
2,0,430,47p,1.00311E+06,69.0016,71.5855
2,0,430,100p,1.00475E+06,68.7076,71.5855
2,0,430,220p,1.00843E+06,68.0363,71.5855
2,0,430,470p,1.01591E+06,66.6139,71.5855
2,0,430,1n,1.03091E+06,63.4955,71.5855
2,0,430,2.2n,1.05754E+06,56.0767,71.5855
2,0,430,4.7n,1.05698E+06,41.621,71.5855
2,6,1m,1f,1.00275E+06,69.3782,71.6739
2,6,1m,47p,1.00298E+06,69.3144,71.6739
2,6,1m,100p,1.0029E+06,69.2501,71.6739
2,6,1m,220p,1.00177E+06,69.157,71.6739
2,6,1m,470p,998838,69.138,71.6739
2,6,1m,1n,996121,69.2245,71.6739
2,6,1m,2.2n,994845,69.3104,71.6739
2,6,1m,4.7n,994413,69.3554,71.6739
2,6,430,1f,1.00274E+06,69.2585,71.6739
2,6,430,47p,1.00297E+06,69.1947,71.6739
2,6,430,100p,1.00289E+06,69.1304,71.6739
2,6,430,220p,1.00176E+06,69.0374,71.6739
2,6,430,470p,998824,69.0188,71.6739
2,6,430,1n,996107,69.1056,71.6739
2,6,430,2.2n,994832,69.1916,71.6739
2,6,430,4.7n,994400,69.2367,71.6739
2,12,1m,1f,1.00304E+06,69.3776,71.6976
2,12,1m,47p,1.00311E+06,69.3612,71.6976
2,12,1m,100p,1.00312E+06,69.344,71.6976
2,12,1m,220p,1.00291E+06,69.3145,71.6976
2,12,1m,470p,1.00212E+06,69.2962,71.6976
2,12,1m,1n,1.00108E+06,69.3169,71.6976
2,12,1m,2.2n,1.00051E+06,69.3486,71.6976
2,12,1m,4.7n,1.0003E+06,69.3669,71.6976
2,12,430,1f,1.00303E+06,69.2579,71.6976
2,12,430,47p,1.0031E+06,69.2415,71.6976
2,12,430,100p,1.0031E+06,69.2243,71.6976
2,12,430,220p,1.00289E+06,69.1948,71.6976
2,12,430,470p,1.0021E+06,69.1766,71.6976
2,12,430,1n,1.00107E+06,69.1975,71.6976
2,12,430,2.2n,1.00049E+06,69.2292,71.6976
2,12,430,4.7n,1.00029E+06,69.2475,71.6976
