cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
cinv25_1k,6,ldr_v4_td6_DD_inv25,10,1000,3.818,100k,S_ins,FIXJACK1,0.277,1.842000,20.0,regge,sotto
cinv25_1k,6,ldr_v4_td6_DD_inv25,10,1000,3.818,100k,S_rel,MAINJACK,0.8578,3.390000,20.0,regge,sotto
cinv25_1k,6,ldr_v4_td6_DD_inv25,10,1000,3.818,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_1k,6,ldr_v4_td6_DD_inv75,10,1000,3.818,100k,S_ins,MAINJACK,0.5733,5.413000,20.0,regge,sotto
cinv75_1k,6,ldr_v4_td6_DD_inv75,10,1000,3.818,100k,S_rel,MAINJACK,3.153,8.419000,20.0,regge,sotto
cinv75_1k,6,ldr_v4_td6_DD_inv75,10,1000,3.818,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_1k,6,ldr_v4_td6_DD_ev,10,1000,3.818,100k,S_ins,MAINJACK,10.97,6.288000,20.0,regge,sotto
cev_1k,6,ldr_v4_td6_DD_ev,10,1000,3.818,100k,S_rel,MAINJACK,5.331,9.295000,20.0,regge,sotto
cev_1k,6,ldr_v4_td6_DD_ev,10,1000,3.818,100k,B2,MAINJACK,3.183e-07,7.525344,0.0001,regge,sotto
ch2_1k,6,ldr_v4_td6_DD_h2,10,1000,3.818,100k,S_ins,MAINJACK,10.97,6.288000,20.0,regge,sotto
ch2_1k,6,ldr_v4_td6_DD_h2,10,1000,3.818,100k,S_rel,MAINJACK,5.357,10.308000,20.0,regge,sotto
ch2_1k,6,ldr_v4_td6_DD_h2,10,1000,3.818,100k,B2,MAINJACK,3.183e-07,7.525344,0.0001,regge,sotto
cinv25_20,6,ldr_v4_td6_DD_inv25,10,20,3.818,100k,S_ins,MAINJACK,0.2625,1.840000,20.0,regge,sotto
cinv25_20,6,ldr_v4_td6_DD_inv25,10,20,3.818,100k,S_rel,FIXJACK1,0.8492,3.383000,20.0,regge,sotto
cinv25_20,6,ldr_v4_td6_DD_inv25,10,20,3.818,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_20,6,ldr_v4_td6_DD_inv75,10,20,3.818,100k,S_ins,MAINJACK,0.5733,5.422000,20.0,regge,sotto
cinv75_20,6,ldr_v4_td6_DD_inv75,10,20,3.818,100k,S_rel,MAINJACK,3.556,8.262000,20.0,regge,sotto
cinv75_20,6,ldr_v4_td6_DD_inv75,10,20,3.818,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_20,6,ldr_v4_td6_DD_ev,10,20,3.818,100k,S_ins,MAINJACK,10.96,6.271000,20.0,regge,sotto
cev_20,6,ldr_v4_td6_DD_ev,10,20,3.818,100k,S_rel,MAINJACK,4.217,12.237000,20.0,regge,sotto
cev_20,6,ldr_v4_td6_DD_ev,10,20,3.818,100k,B2,MAINJACK,7.822e-06,7.526344,0.0001,regge,sotto
ch2_20,6,ldr_v4_td6_DD_h2,10,20,3.818,100k,S_ins,MAINJACK,10.96,6.271000,20.0,regge,sotto
ch2_20,6,ldr_v4_td6_DD_h2,10,20,3.818,100k,S_rel,MAINJACK,4.217,13.237000,20.0,regge,sotto
ch2_20,6,ldr_v4_td6_DD_h2,10,20,3.818,100k,B2,MAINJACK,7.822e-06,7.526344,0.0001,regge,sotto
cinv25_lz,6,ldr_v4_td6_DD_inv25,10,1000,0,100k,A_ins,MAINJACK,3.236e-08,1.951542,0.0001,NON REGGE,"sotto, finestra corta: non accetta"
cinv25_lz,6,ldr_v4_td6_DD_inv25,10,1000,0,100k,A_rel,MAINJACK,9.499e-07,2.500031,0.0001,regge,sotto
cinv25_lz,6,ldr_v4_td6_DD_inv25,10,1000,0,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_DD_inv75,10,1000,0,100k,A_ins,MAINJACK,3.236e-08,1.951542,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_DD_inv75,10,1000,0,100k,A_rel,MAINJACK,1.722e-06,5.500021,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_DD_inv75,10,1000,0,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_DD_ev,10,1000,0,100k,A_ins,MAINJACK,3.236e-08,1.951542,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_DD_ev,10,1000,0,100k,A_rel,MAINJACK,3.189e-08,9.673083,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_DD_ev,10,1000,0,100k,B2,MAINJACK,3.496e-08,7.520000,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_DD_h2,10,1000,0,100k,A_ins,MAINJACK,3.236e-08,1.951542,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_DD_h2,10,1000,0,100k,A_rel,MAINJACK,3.192e-08,10.673104,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_DD_h2,10,1000,0,100k,B2,MAINJACK,3.496e-08,7.520000,0.0001,regge,sotto
