col0,col1
20.0,79.987108
22.4403691,79.8865757
25.1785082,79.7630493
28.2507509,79.6122308
31.6978638,79.4294094
35.5655882,79.2095986
39.9052463,78.9477486
44.7744228,78.6390281
50.2377286,78.2791582
56.3676586,77.8647595
63.2455532,77.3936603
70.9626778,76.865111
79.6214341,76.2798606
89.3367184,75.6400809
100.237447,74.9491534
112.468265,74.2113612
126.191469,73.431543
141.589157,72.6147587
158.865647,71.7660083
178.250188,70.8900201
200.0,69.9911133
224.403691,69.0731258
251.785082,68.1393926
282.507509,67.1927604
316.978638,66.2356244
355.655882,65.2699767
399.052463,64.2974589
447.744228,63.3194136
502.377286,62.3369327
563.676586,61.3508995
632.455532,60.3620265
709.626778,59.370886
796.214341,58.3779371
893.367184,57.3835474
1002.37447,56.3880103
1124.68265,55.3915604
1261.91469,54.3943847
1415.89157,53.3966323
1588.65647,52.398422
1782.50188,51.3998487
2000.0,50.400988
2244.03691,49.4019003
2517.85082,48.4026341
2825.07509,47.4032285
3169.78638,46.4037149
3556.55882,45.4041194
3990.52463,44.4044633
4477.44228,43.404765
5023.77286,42.4050406
5636.76586,41.4053048
6324.55532,40.4055715
7096.26778,39.405855
7962.14341,38.4061703
8933.67184,37.4065343
10023.7447,36.4069663
11246.8265,35.4074892
12619.1469,34.4081308
14158.9157,33.4089252
15886.5647,32.4099145
17825.0188,31.411151
20000.0,30.4127001
22440.3691,29.4146435
25178.5082,28.4170835
28250.7509,27.4201481
31697.8638,26.4239976
35565.5882,25.428832
39905.2463,24.4349012
44774.4228,23.4425165
50237.7286,22.4520646
56367.6586,21.4640245
63245.5532,20.4789869
70962.6778,19.4976761
79621.4341,18.5209751
89336.7184,17.5499501
100237.447,16.5858754
112468.265,15.6302531
126191.469,14.6848222
141589.157,13.7515515
158865.647,12.8326045
178250.188,11.930267
200000.0,11.0468272
