cand,pos,mode,att,rsrc,onoise_uv
1,99,0db,max,1.5,1.65839
1,99,0db,max,430,1.70056
1,99,0db,mid,1.5,1.59619
1,99,0db,mid,430,1.60719
1,99,3db,max,1.5,2.28657
1,99,3db,max,430,2.34814
1,99,3db,mid,1.5,2.19562
1,99,3db,mid,430,2.21172
1,99,10db,max,1.5,4.86938
1,99,10db,max,430,5.01112
1,99,10db,mid,1.5,4.65936
1,99,10db,mid,430,4.69659
1,0,0db,max,1.5,1.65837
1,0,0db,max,430,1.70054
1,0,0db,mid,1.5,1.59618
1,0,0db,mid,430,1.60719
1,0,3db,max,1.5,2.28655
1,0,3db,max,430,2.3481
1,0,3db,mid,1.5,2.19561
1,0,3db,mid,430,2.21171
1,0,10db,max,1.5,4.86932
1,0,10db,max,430,5.01105
1,0,10db,mid,1.5,4.65934
1,0,10db,mid,430,4.69657
1,6,0db,max,1.5,1.34896
1,6,0db,max,430,1.36217
1,6,0db,mid,1.5,1.52197
1,6,0db,mid,430,1.52489
1,6,3db,max,1.5,1.83149
1,6,3db,max,430,1.85107
1,6,3db,mid,1.5,2.08678
1,6,3db,mid,430,2.09107
1,6,10db,max,1.5,3.80928
1,6,10db,max,430,3.85546
1,6,10db,mid,1.5,4.40697
1,6,10db,mid,430,4.41696
1,12,0db,max,1.5,1.24133
1,12,0db,max,430,1.24498
1,12,0db,mid,1.5,1.499
1,12,0db,mid,430,1.49975
1,12,3db,max,1.5,1.67119
1,12,3db,max,430,1.67664
1,12,3db,mid,1.5,2.05303
1,12,3db,mid,430,2.05413
1,12,10db,max,1.5,3.42843
1,12,10db,max,430,3.44148
1,12,10db,mid,1.5,4.32845
1,12,10db,mid,430,4.33102
2,99,0db,max,1.5,1.65839
2,99,0db,max,430,1.70056
2,99,0db,mid,1.5,1.59619
2,99,0db,mid,430,1.60719
2,99,3db,max,1.5,2.28657
2,99,3db,max,430,2.34812
2,99,3db,mid,1.5,2.19562
2,99,3db,mid,430,2.21172
2,99,10db,max,1.5,4.86938
2,99,10db,max,430,5.01112
2,99,10db,mid,1.5,4.65936
2,99,10db,mid,430,4.69659
2,0,0db,max,1.5,1.65838
2,0,0db,max,430,1.70055
2,0,0db,mid,1.5,1.59619
2,0,0db,mid,430,1.60719
2,0,3db,max,1.5,2.28656
2,0,3db,max,430,2.34811
2,0,3db,mid,1.5,2.19561
2,0,3db,mid,430,2.21172
2,0,10db,max,1.5,4.86934
2,0,10db,max,430,5.01108
2,0,10db,mid,1.5,4.65935
2,0,10db,mid,430,4.69658
2,6,0db,max,1.5,1.36605
2,6,0db,max,430,1.37901
2,6,0db,mid,1.5,1.52576
2,6,0db,mid,430,1.52866
2,6,3db,max,1.5,1.85683
2,6,3db,max,430,1.87601
2,6,3db,mid,1.5,2.09235
2,6,3db,mid,430,2.09661
2,6,10db,max,1.5,3.86903
2,6,10db,max,430,3.9142
2,6,10db,mid,1.5,4.41993
2,6,10db,mid,430,4.42982
2,12,0db,max,1.5,1.25691
2,12,0db,max,430,1.26052
2,12,0db,mid,1.5,1.50223
2,12,0db,mid,430,1.50298
2,12,3db,max,1.5,1.69449
2,12,3db,max,430,1.69986
2,12,3db,mid,1.5,2.05777
2,12,3db,mid,430,2.05888
2,12,10db,max,1.5,3.48412
2,12,10db,max,430,3.49696
2,12,10db,mid,1.5,4.3395
2,12,10db,mid,430,4.34207
