cand,r1,r2,r3,pos,csel,zmin_ohm,z20_ohm,z1k_ohm,z20k_ohm,att1k_db
1,54.9k,29.4k,28.7k,0,1f,101215,101524,101523,101185,-9.5464E-07
1,54.9k,29.4k,28.7k,0,10p,99771.7,101524,101519,99607.5,-9.5464E-07
1,54.9k,29.4k,28.7k,0,22p,96371,101524,101509,95914.5,-9.5464E-07
1,54.9k,29.4k,28.7k,0,47p,85741.1,101524,101468,84579.4,-9.5464E-07
1,54.9k,29.4k,28.7k,0,68p,75863.4,101524,101414,74297.3,-9.5464E-07
1,54.9k,29.4k,28.7k,6,1f,109419,109806,109805,109382,-6.01959
1,54.9k,29.4k,28.7k,6,10p,107619,109806,109800,107415,-6.01959
1,54.9k,29.4k,28.7k,6,22p,103403,109806,109787,102843,-6.01959
1,54.9k,29.4k,28.7k,6,47p,90604.1,109806,109735,89240.9,-6.01959
1,54.9k,29.4k,28.7k,6,68p,79183,109806,109667,77411.2,-6.01959
1,54.9k,29.4k,28.7k,12,1f,110654,112191,112187,110510,-12.087
1,54.9k,29.4k,28.7k,12,10p,107930,112191,112179,107545,-12.087
1,54.9k,29.4k,28.7k,12,22p,102783,112191,112162,101997,-12.087
1,54.9k,29.4k,28.7k,12,47p,88967.7,112191,112101,87417.6,-12.087
1,54.9k,29.4k,28.7k,12,68p,77414.2,112191,112022,75530.1,-12.087
2,63.4k,34k,34k,0,1f,115673,116135,116134,115629,-9.43885E-07
2,63.4k,34k,34k,0,10p,113546,116135,116128,113306,-9.43885E-07
2,63.4k,34k,34k,0,22p,108621,116135,116112,107971,-9.43885E-07
2,63.4k,34k,34k,0,47p,94045,116135,116052,92521.6,-9.43885E-07
2,63.4k,34k,34k,0,68p,81444.5,116135,115971,79518.8,-9.43885E-07
2,63.4k,34k,34k,6,1f,126469,127065,127064,126413,-6.00185
2,63.4k,34k,34k,6,10p,123722,127065,127056,123413,-6.00185
2,63.4k,34k,34k,6,22p,117443,127065,127036,116626,-6.00185
2,63.4k,34k,34k,6,47p,99619.9,127065,126956,97818.7,-6.00185
2,63.4k,34k,34k,6,68p,84997,127065,126851,82818.7,-6.00185
2,63.4k,34k,34k,12,1f,127911,130271,130265,127691,-11.9574
2,63.4k,34k,34k,12,10p,123781,130271,130252,123207,-11.9574
2,63.4k,34k,34k,12,22p,116213,130271,130226,115087,-11.9574
2,63.4k,34k,34k,12,47p,97287.6,130271,130130,95278.2,-11.9574
2,63.4k,34k,34k,12,68p,82727.2,130271,130008,80445.7,-11.9574
