col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
-3.82,9.20880811,-3.82,-3.8183581,-3.82,9.20944841,-3.82,-3.83467106,-3.82,-2.10803488,-3.82,-14.3970523,-3.82,-3.83468258
-3.8,9.20879837,-3.8,-3.79836669,-3.8,9.20943873,-3.8,-3.81468238,-3.8,-2.08813684,-3.8,-14.3970117,-3.8,-3.81469384
-3.78,9.20879682,-3.78,-3.77837529,-3.78,9.20943735,-3.78,-3.79469579,-3.78,-2.06819558,-3.78,-14.3970063,-3.78,-3.7947072
-3.76,9.20879526,-3.76,-3.75838389,-3.76,9.20943596,-3.76,-3.7747094,-3.76,-2.04825444,-3.76,-14.397001,-3.76,-3.77472075
-3.74,9.20879371,-3.74,-3.73839248,-3.74,9.20943458,-3.74,-3.75472296,-3.74,-2.02831326,-3.74,-14.3969956,-3.74,-3.75473424
-3.72,9.20879216,-3.72,-3.71840108,-3.72,9.2094332,-3.72,-3.73473651,-3.72,-2.00837207,-3.72,-14.3969903,-3.72,-3.73474774
-3.7,9.20879061,-3.7,-3.69840968,-3.7,9.20943182,-3.7,-3.71475006,-3.7,-1.98843089,-3.7,-14.3969849,-3.7,-3.71476123
-3.68,9.20878906,-3.68,-3.67841827,-3.68,9.20943044,-3.68,-3.69476362,-3.68,-1.96848972,-3.68,-14.3969796,-3.68,-3.69477473
-3.66,9.20878751,-3.66,-3.65842687,-3.66,9.20942906,-3.66,-3.67477718,-3.66,-1.94854854,-3.66,-14.3969742,-3.66,-3.67478823
-3.64,9.20878596,-3.64,-3.63843546,-3.64,9.20942768,-3.64,-3.65479074,-3.64,-1.92860738,-3.64,-14.3969689,-3.64,-3.65480173
-3.62,9.20878441,-3.62,-3.61844406,-3.62,9.2094263,-3.62,-3.63480431,-3.62,-1.90866622,-3.62,-14.3969635,-3.62,-3.63481524
-3.6,9.20878286,-3.6,-3.59845266,-3.6,9.20942492,-3.6,-3.61481788,-3.6,-1.88872506,-3.6,-14.3969582,-3.6,-3.61482874
-3.58,9.20878131,-3.58,-3.57846125,-3.58,9.20942354,-3.58,-3.59483144,-3.58,-1.86878391,-3.58,-14.3969528,-3.58,-3.59484225
-3.56,9.20877976,-3.56,-3.55846985,-3.56,9.20942216,-3.56,-3.57484502,-3.56,-1.84884276,-3.56,-14.3969475,-3.56,-3.57485576
-3.54,9.20877822,-3.54,-3.53847845,-3.54,9.20942078,-3.54,-3.55485859,-3.54,-1.82890162,-3.54,-14.3969422,-3.54,-3.55486928
-3.52,9.20877667,-3.52,-3.51848704,-3.52,9.20941941,-3.52,-3.53487217,-3.52,-1.80896048,-3.52,-14.3969368,-3.52,-3.53488279
-3.5,9.20877512,-3.5,-3.49849564,-3.5,9.20941803,-3.5,-3.51488574,-3.5,-1.78901934,-3.5,-14.3969315,-3.5,-3.51489631
-3.48,9.20877357,-3.48,-3.47850424,-3.48,9.20941665,-3.48,-3.49489932,-3.48,-1.76907821,-3.48,-14.3969261,-3.48,-3.49490983
-3.46,9.20877203,-3.46,-3.45851283,-3.46,9.20941528,-3.46,-3.47491291,-3.46,-1.74913709,-3.46,-14.3969208,-3.46,-3.47492335
-3.44,9.20877048,-3.44,-3.43852143,-3.44,9.2094139,-3.44,-3.45492649,-3.44,-1.72919597,-3.44,-14.3969155,-3.44,-3.45493688
-3.42,9.20876893,-3.42,-3.41853002,-3.42,9.20941252,-3.42,-3.43494008,-3.42,-1.70925485,-3.42,-14.3969101,-3.42,-3.43495041
-3.4,9.20876739,-3.4,-3.39853862,-3.4,9.20941115,-3.4,-3.41495367,-3.4,-1.68931374,-3.4,-14.3969048,-3.4,-3.41496394
-3.38,9.20876584,-3.38,-3.37854722,-3.38,9.20940977,-3.38,-3.39496726,-3.38,-1.66937264,-3.38,-14.3968995,-3.38,-3.39497747
-3.36,9.2087643,-3.36,-3.35855581,-3.36,9.2094084,-3.36,-3.37498085,-3.36,-1.64943153,-3.36,-14.3968941,-3.36,-3.374991
-3.34,9.20876275,-3.34,-3.33856441,-3.34,9.20940702,-3.34,-3.35499445,-3.34,-1.62949044,-3.34,-14.3968888,-3.34,-3.35500454
-3.32,9.20876121,-3.32,-3.31857301,-3.32,9.20940565,-3.32,-3.33500805,-3.32,-1.60954934,-3.32,-14.3968835,-3.32,-3.33501808
-3.3,9.20875966,-3.3,-3.2985816,-3.3,9.20940428,-3.3,-3.31502165,-3.3,-1.58960826,-3.3,-14.3968782,-3.3,-3.31503162
-3.28,9.20875812,-3.28,-3.2785902,-3.28,9.2094029,-3.28,-3.29503525,-3.28,-1.56966717,-3.28,-14.3968728,-3.28,-3.29504516
-3.26,9.20875657,-3.26,-3.25859879,-3.26,9.20940153,-3.26,-3.27504886,-3.26,-1.54972609,-3.26,-14.3968675,-3.26,-3.2750587
-3.24,9.20875503,-3.24,-3.23860739,-3.24,9.20940016,-3.24,-3.25506246,-3.24,-1.52978502,-3.24,-14.3968622,-3.24,-3.25507225
-3.22,9.20875349,-3.22,-3.21861599,-3.22,9.20939879,-3.22,-3.23507607,-3.22,-1.50984395,-3.22,-14.3968569,-3.22,-3.2350858
-3.2,9.20875194,-3.2,-3.19862458,-3.2,9.20939741,-3.2,-3.21508968,-3.2,-1.48990289,-3.2,-14.3968515,-3.2,-3.21509935
-3.18,9.2087504,-3.18,-3.17863318,-3.18,9.20939604,-3.18,-3.1951033,-3.18,-1.46996183,-3.18,-14.3968462,-3.18,-3.19511291
-3.16,9.20874886,-3.16,-3.15864178,-3.16,9.20939467,-3.16,-3.17511692,-3.16,-1.45002077,-3.16,-14.3968409,-3.16,-3.17512646
-3.14,9.20874731,-3.14,-3.13865037,-3.14,9.2093933,-3.14,-3.15513053,-3.14,-1.43007972,-3.14,-14.3968356,-3.14,-3.15514002
-3.12,9.20874577,-3.12,-3.11865897,-3.12,9.20939193,-3.12,-3.13514415,-3.12,-1.41013867,-3.12,-14.3968303,-3.12,-3.13515358
-3.1,9.20874423,-3.1,-3.09866757,-3.1,9.20939056,-3.1,-3.11515778,-3.1,-1.39019763,-3.1,-14.3968249,-3.1,-3.11516715
-3.08,9.20874269,-3.08,-3.07867616,-3.08,9.20938919,-3.08,-3.0951714,-3.08,-1.3702566,-3.08,-14.3968196,-3.08,-3.09518071
-3.06,9.20874115,-3.06,-3.05868476,-3.06,9.20938782,-3.06,-3.07518503,-3.06,-1.35031556,-3.06,-14.3968143,-3.06,-3.07519428
-3.04,9.20873961,-3.04,-3.03869335,-3.04,9.20938645,-3.04,-3.05519866,-3.04,-1.33037454,-3.04,-14.396809,-3.04,-3.05520785
-3.02,9.20873807,-3.02,-3.01870195,-3.02,9.20938509,-3.02,-3.03521229,-3.02,-1.31043351,-3.02,-14.3968037,-3.02,-3.03522142
-3.0,9.20873653,-3.0,-2.99871055,-3.0,9.20938372,-3.0,-3.01522593,-3.0,-1.2904925,-3.0,-14.3967984,-3.0,-3.015235
-2.98,9.20873499,-2.98,-2.97871914,-2.98,9.20938235,-2.98,-2.99523957,-2.98,-1.27055148,-2.98,-14.3967931,-2.98,-2.99524857
