col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
-1.52,9.20870862,-1.52,-1.51934667,-1.52,9.20936916,-1.52,-1.53621616,-1.52,-1.09181502,-1.52,-14.39672,-1.52,-1.53622079
-1.5,9.20870708,-1.5,-1.49935527,-1.5,9.2093678,-1.5,-1.51622996,-1.5,-1.07187411,-1.5,-14.3967147,-1.5,-1.51623453
-1.48,9.20870554,-1.48,-1.47936387,-1.48,9.20936644,-1.48,-1.49624376,-1.48,-1.0519332,-1.48,-14.3967094,-1.48,-1.49624827
-1.46,9.20870401,-1.46,-1.45937246,-1.46,9.20936509,-1.46,-1.47625757,-1.46,-1.03199231,-1.46,-14.3967041,-1.46,-1.47626201
-1.44,9.20870247,-1.44,-1.43938106,-1.44,9.20936373,-1.44,-1.45627137,-1.44,-1.01205141,-1.44,-14.3966988,-1.44,-1.45627576
-1.42,9.20870093,-1.42,-1.41938966,-1.42,9.20936237,-1.42,-1.43628518,-1.42,-0.992110521,-1.42,-14.3966935,-1.42,-1.43628951
-1.4,9.2086994,-1.4,-1.39939825,-1.4,9.20936101,-1.4,-1.41629899,-1.4,-0.972169636,-1.4,-14.3966882,-1.4,-1.41630326
-1.38,9.20869786,-1.38,-1.37940685,-1.38,9.20935965,-1.38,-1.39631281,-1.38,-0.952228756,-1.38,-14.396683,-1.38,-1.39631702
-1.36,9.20869633,-1.36,-1.35941545,-1.36,9.2093583,-1.36,-1.37632662,-1.36,-0.93228788,-1.36,-14.3966777,-1.36,-1.37633077
-1.34,9.20869479,-1.34,-1.33942404,-1.34,9.20935694,-1.34,-1.35634044,-1.34,-0.91234701,-1.34,-14.3966724,-1.34,-1.35634453
-1.32,9.20869326,-1.32,-1.31943264,-1.32,9.20935559,-1.32,-1.33635426,-1.32,-0.892406144,-1.32,-14.3966671,-1.32,-1.33635829
-1.3,9.20869172,-1.3,-1.29944123,-1.3,9.20935423,-1.3,-1.31636809,-1.3,-0.872465283,-1.3,-14.3966618,-1.3,-1.31637205
-1.28,9.20869019,-1.28,-1.27944983,-1.28,9.20935287,-1.28,-1.29638191,-1.28,-0.852524426,-1.28,-14.3966566,-1.28,-1.29638582
-1.26,9.20868866,-1.26,-1.25945843,-1.26,9.20935152,-1.26,-1.27639574,-1.26,-0.832583575,-1.26,-14.3966513,-1.26,-1.27639959
-1.24,9.20868712,-1.24,-1.23946702,-1.24,9.20935017,-1.24,-1.25640957,-1.24,-0.812642728,-1.24,-14.396646,-1.24,-1.25641336
-1.22,9.20868559,-1.22,-1.21947562,-1.22,9.20934881,-1.22,-1.23642341,-1.22,-0.792701886,-1.22,-14.3966407,-1.22,-1.23642713
-1.2,9.20868406,-1.2,-1.19948422,-1.2,9.20934746,-1.2,-1.21643724,-1.2,-0.772761049,-1.2,-14.3966355,-1.2,-1.21644091
-1.18,9.20868252,-1.18,-1.17949281,-1.18,9.2093461,-1.18,-1.19645108,-1.18,-0.752820216,-1.18,-14.3966302,-1.18,-1.19645469
-1.16,9.20868099,-1.16,-1.15950141,-1.16,9.20934475,-1.16,-1.17646492,-1.16,-0.732879389,-1.16,-14.3966249,-1.16,-1.17646847
-1.14,9.20867946,-1.14,-1.13951,-1.14,9.2093434,-1.14,-1.15647876,-1.14,-0.712938566,-1.14,-14.3966196,-1.14,-1.15648225
-1.12,9.20867793,-1.12,-1.1195186,-1.12,9.20934205,-1.12,-1.13649261,-1.12,-0.692997748,-1.12,-14.3966144,-1.12,-1.13649603
-1.1,9.2086764,-1.1,-1.0995272,-1.1,9.20934069,-1.1,-1.11650645,-1.1,-0.673056934,-1.1,-14.3966091,-1.1,-1.11650982
-1.08,9.20867487,-1.08,-1.07953579,-1.08,9.20933934,-1.08,-1.09652031,-1.08,-0.653116126,-1.08,-14.3966038,-1.08,-1.09652361
-1.06,9.20867334,-1.06,-1.05954439,-1.06,9.20933799,-1.06,-1.07653416,-1.06,-0.633175322,-1.06,-14.3965986,-1.06,-1.0765374
-1.04,9.20867181,-1.04,-1.03955299,-1.04,9.20933664,-1.04,-1.05654801,-1.04,-0.613234524,-1.04,-14.3965933,-1.04,-1.0565512
