col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
-3.82,9.20890948,-3.82,-3.8183581,-3.82,9.20955027,-3.82,-3.83388732,-3.82,-3.55109132,-3.82,-14.3974233,-3.82,-3.83389884
-3.8,9.20889725,-3.8,-3.7983667,-3.8,9.20953809,-3.8,-3.81389873,-3.8,-3.53125067,-3.8,-14.3973721,-3.8,-3.8139102
-3.78,9.20889568,-3.78,-3.77837529,-3.78,9.20953668,-3.78,-3.79391241,-3.78,-3.51135653,-3.78,-14.3973667,-3.78,-3.79392381
-3.76,9.2088941,-3.76,-3.75838389,-3.76,9.20953528,-3.76,-3.77392632,-3.76,-3.49146256,-3.76,-14.3973612,-3.76,-3.77393766
-3.74,9.20889253,-3.74,-3.73839248,-3.74,9.20953387,-3.74,-3.75394015,-3.74,-3.47156853,-3.74,-14.3973558,-3.74,-3.75395144
-3.72,9.20889096,-3.72,-3.71840108,-3.72,9.20953247,-3.72,-3.73395399,-3.72,-3.45167452,-3.72,-14.3973504,-3.72,-3.73396522
-3.7,9.2088894,-3.7,-3.69840968,-3.7,9.20953107,-3.7,-3.71396783,-3.7,-3.43178054,-3.7,-14.397345,-3.7,-3.713979
-3.68,9.20888783,-3.68,-3.67841827,-3.68,9.20952968,-3.68,-3.69398168,-3.68,-3.41188658,-3.68,-14.3973396,-3.68,-3.69399278
-3.66,9.20888626,-3.66,-3.65842687,-3.66,9.20952828,-3.66,-3.67399552,-3.66,-3.39199264,-3.66,-14.3973342,-3.66,-3.67400657
-3.64,9.20888469,-3.64,-3.63843547,-3.64,9.20952688,-3.64,-3.65400937,-3.64,-3.37209873,-3.64,-14.3973287,-3.64,-3.65402036
-3.62,9.20888312,-3.62,-3.61844406,-3.62,9.20952548,-3.62,-3.63402323,-3.62,-3.35220484,-3.62,-14.3973233,-3.62,-3.63403415
-3.6,9.20888155,-3.6,-3.59845266,-3.6,9.20952408,-3.6,-3.61403708,-3.6,-3.33231097,-3.6,-14.3973179,-3.6,-3.61404794
-3.58,9.20887999,-3.58,-3.57846125,-3.58,9.20952268,-3.58,-3.59405094,-3.58,-3.31241713,-3.58,-14.3973125,-3.58,-3.59406174
-3.56,9.20887842,-3.56,-3.55846985,-3.56,9.20952129,-3.56,-3.5740648,-3.56,-3.29252331,-3.56,-14.3973071,-3.56,-3.57407554
-3.54,9.20887685,-3.54,-3.53847845,-3.54,9.20951989,-3.54,-3.55407866,-3.54,-3.27262952,-3.54,-14.3973017,-3.54,-3.55408934
-3.52,9.20887529,-3.52,-3.51848704,-3.52,9.20951849,-3.52,-3.53409252,-3.52,-3.25273574,-3.52,-14.3972963,-3.52,-3.53410315
-3.5,9.20887372,-3.5,-3.49849564,-3.5,9.2095171,-3.5,-3.51410639,-3.5,-3.232842,-3.5,-14.3972909,-3.5,-3.51411696
-3.48,9.20887215,-3.48,-3.47850424,-3.48,9.2095157,-3.48,-3.49412026,-3.48,-3.21294827,-3.48,-14.3972855,-3.48,-3.49413077
-3.46,9.20887059,-3.46,-3.45851283,-3.46,9.20951431,-3.46,-3.47413414,-3.46,-3.19305457,-3.46,-14.3972801,-3.46,-3.47414458
-3.44,9.20886902,-3.44,-3.43852143,-3.44,9.20951291,-3.44,-3.45414801,-3.44,-3.17316089,-3.44,-14.3972747,-3.44,-3.45415839
-3.42,9.20886746,-3.42,-3.41853003,-3.42,9.20951152,-3.42,-3.43416189,-3.42,-3.15326724,-3.42,-14.3972694,-3.42,-3.43417221
-3.4,9.20886589,-3.4,-3.39853862,-3.4,9.20951012,-3.4,-3.41417577,-3.4,-3.13337361,-3.4,-14.397264,-3.4,-3.41418603
