col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
-3.82,9.20883728,-3.82,-3.8183581,-3.82,9.20947772,-3.82,-3.83466329,-3.82,-2.52603862,-3.82,-14.3971591,-3.82,-3.83467481
-3.8,9.20882685,-3.8,-3.79836669,-3.8,9.20946735,-3.8,-3.81467452,-3.8,-2.50614411,-3.8,-14.3971156,-3.8,-3.81468599
-3.78,9.20882529,-3.78,-3.77837529,-3.78,9.20946596,-3.78,-3.79468793,-3.78,-2.48620277,-3.78,-14.3971102,-3.78,-3.79469934
-3.76,9.20882373,-3.76,-3.75838389,-3.76,9.20946456,-3.76,-3.77470154,-3.76,-2.46626156,-3.76,-14.3971048,-3.76,-3.77471289
-3.74,9.20882217,-3.74,-3.73839248,-3.74,9.20946317,-3.74,-3.75471509,-3.74,-2.44632029,-3.74,-14.3970994,-3.74,-3.75472638
-3.72,9.20882061,-3.72,-3.71840108,-3.72,9.20946179,-3.72,-3.73472864,-3.72,-2.42637903,-3.72,-14.397094,-3.72,-3.73473987
-3.7,9.20881906,-3.7,-3.69840968,-3.7,9.2094604,-3.7,-3.71474219,-3.7,-2.40643777,-3.7,-14.3970887,-3.7,-3.71475336
-3.68,9.2088175,-3.68,-3.67841827,-3.68,9.20945901,-3.68,-3.69475574,-3.68,-2.38649652,-3.68,-14.3970833,-3.68,-3.69476685
-3.66,9.20881595,-3.66,-3.65842687,-3.66,9.20945763,-3.66,-3.6747693,-3.66,-2.36655527,-3.66,-14.3970779,-3.66,-3.67478035
-3.64,9.20881439,-3.64,-3.63843547,-3.64,9.20945624,-3.64,-3.65478286,-3.64,-2.34661402,-3.64,-14.3970726,-3.64,-3.65479385
-3.62,9.20881283,-3.62,-3.61844406,-3.62,9.20945485,-3.62,-3.63479642,-3.62,-2.32667278,-3.62,-14.3970672,-3.62,-3.63480735
-3.6,9.20881128,-3.6,-3.59845266,-3.6,9.20945347,-3.6,-3.61480998,-3.6,-2.30673155,-3.6,-14.3970618,-3.6,-3.61482085
-3.58,9.20880972,-3.58,-3.57846125,-3.58,9.20945208,-3.58,-3.59482355,-3.58,-2.28679032,-3.58,-14.3970565,-3.58,-3.59483436
-3.56,9.20880817,-3.56,-3.55846985,-3.56,9.2094507,-3.56,-3.57483712,-3.56,-2.26684909,-3.56,-14.3970511,-3.56,-3.57484786
-3.54,9.20880661,-3.54,-3.53847845,-3.54,9.20944932,-3.54,-3.55485069,-3.54,-2.24690787,-3.54,-14.3970457,-3.54,-3.55486137
-3.52,9.20880506,-3.52,-3.51848704,-3.52,9.20944793,-3.52,-3.53486426,-3.52,-2.22696665,-3.52,-14.3970404,-3.52,-3.53487489
-3.5,9.20880351,-3.5,-3.49849564,-3.5,9.20944655,-3.5,-3.51487783,-3.5,-2.20702544,-3.5,-14.397035,-3.5,-3.5148884
-3.48,9.20880195,-3.48,-3.47850424,-3.48,9.20944516,-3.48,-3.49489141,-3.48,-2.18708423,-3.48,-14.3970297,-3.48,-3.49490192
-3.46,9.2088004,-3.46,-3.45851283,-3.46,9.20944378,-3.46,-3.47490499,-3.46,-2.16714303,-3.46,-14.3970243,-3.46,-3.47491544
-3.44,9.20879885,-3.44,-3.43852143,-3.44,9.2094424,-3.44,-3.45491857,-3.44,-2.14720183,-3.44,-14.3970189,-3.44,-3.45492896
