col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
-3.82,9.20893871,-3.82,-3.8183581,-3.82,9.20957963,-3.82,-3.83463714,-3.82,-3.94965174,-3.82,-14.3975307,-3.82,-3.83464867
-3.8,9.20892485,-3.8,-3.7983667,-3.8,9.20956581,-3.8,-3.814648,-3.8,-3.92977502,-3.8,-14.3974725,-3.8,-3.81465946
-3.78,9.20892328,-3.78,-3.77837529,-3.78,9.2095644,-3.78,-3.79466135,-3.78,-3.90983339,-3.78,-14.3974671,-3.78,-3.79467275
-3.76,9.20892168,-3.76,-3.75838389,-3.76,9.20956298,-3.76,-3.77467497,-3.76,-3.88989197,-3.76,-14.3974616,-3.76,-3.77468631
-3.74,9.2089201,-3.74,-3.73839248,-3.74,9.20956157,-3.74,-3.75468851,-3.74,-3.86995044,-3.74,-14.3974562,-3.74,-3.75469979
-3.72,9.20891852,-3.72,-3.71840108,-3.72,9.20956016,-3.72,-3.73470204,-3.72,-3.85000892,-3.72,-14.3974507,-3.72,-3.73471327
-3.7,9.20891695,-3.7,-3.69840968,-3.7,9.20955875,-3.7,-3.71471558,-3.7,-3.8300674,-3.7,-14.3974453,-3.7,-3.71472675
-3.68,9.20891537,-3.68,-3.67841827,-3.68,9.20955734,-3.68,-3.69472912,-3.68,-3.81012588,-3.68,-14.3974398,-3.68,-3.69474023
-3.66,9.20891379,-3.66,-3.65842687,-3.66,9.20955593,-3.66,-3.67474267,-3.66,-3.79018437,-3.66,-14.3974344,-3.66,-3.67475371
-3.64,9.20891221,-3.64,-3.63843547,-3.64,9.20955452,-3.64,-3.65475622,-3.64,-3.77024287,-3.64,-14.3974289,-3.64,-3.6547672
-3.62,9.20891063,-3.62,-3.61844406,-3.62,9.20955312,-3.62,-3.63476976,-3.62,-3.75030137,-3.62,-14.3974235,-3.62,-3.63478069
-3.6,9.20890906,-3.6,-3.59845266,-3.6,9.20955171,-3.6,-3.61478332,-3.6,-3.73035987,-3.6,-14.3974181,-3.6,-3.61479418
-3.58,9.20890748,-3.58,-3.57846125,-3.58,9.2095503,-3.58,-3.59479687,-3.58,-3.71041838,-3.58,-14.3974126,-3.58,-3.59480767
-3.56,9.2089059,-3.56,-3.55846985,-3.56,9.20954889,-3.56,-3.57481042,-3.56,-3.69047689,-3.56,-14.3974072,-3.56,-3.57482117
-3.54,9.20890433,-3.54,-3.53847845,-3.54,9.20954749,-3.54,-3.55482398,-3.54,-3.67053541,-3.54,-14.3974018,-3.54,-3.55483467
-3.52,9.20890275,-3.52,-3.51848704,-3.52,9.20954608,-3.52,-3.53483754,-3.52,-3.65059393,-3.52,-14.3973963,-3.52,-3.53484817
-3.5,9.20890118,-3.5,-3.49849564,-3.5,9.20954468,-3.5,-3.5148511,-3.5,-3.63065245,-3.5,-14.3973909,-3.5,-3.51486167
-3.48,9.2088996,-3.48,-3.47850424,-3.48,9.20954327,-3.48,-3.49486467,-3.48,-3.61071098,-3.48,-14.3973855,-3.48,-3.49487517
-3.46,9.20889803,-3.46,-3.45851283,-3.46,9.20954187,-3.46,-3.47487823,-3.46,-3.59076952,-3.46,-14.3973801,-3.46,-3.47488868
-3.44,9.20889645,-3.44,-3.43852143,-3.44,9.20954046,-3.44,-3.4548918,-3.44,-3.57082806,-3.44,-14.3973746,-3.44,-3.45490219
-3.42,9.20889488,-3.42,-3.41853003,-3.42,9.20953906,-3.42,-3.43490537,-3.42,-3.5508866,-3.42,-14.3973692,-3.42,-3.4349157
-3.4,9.2088933,-3.4,-3.39853862,-3.4,9.20953766,-3.4,-3.41491895,-3.4,-3.53094515,-3.4,-14.3973638,-3.4,-3.41492921
