col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
-3.82,9.20887028,-3.82,-3.8183581,-3.82,9.20951088,-3.82,-3.83465457,-3.82,-2.99592032,-3.82,-14.3972799,-3.82,-3.83466609
-3.8,9.20885902,-3.8,-3.79836669,-3.8,9.20949967,-3.8,-3.81466573,-3.8,-2.97603008,-3.8,-14.3972328,-3.8,-3.8146772
-3.78,9.20885746,-3.78,-3.77837529,-3.78,9.20949827,-3.78,-3.79467912,-3.78,-2.95608864,-3.78,-14.3972274,-3.78,-3.79469053
-3.76,9.20885589,-3.76,-3.75838389,-3.76,9.20949687,-3.76,-3.77469273,-3.76,-2.93614736,-3.76,-14.397222,-3.76,-3.77470408
-3.74,9.20885432,-3.74,-3.73839248,-3.74,9.20949548,-3.74,-3.75470628,-3.74,-2.91620601,-3.74,-14.3972166,-3.74,-3.75471757
-3.72,9.20885276,-3.72,-3.71840108,-3.72,9.20949408,-3.72,-3.73471982,-3.72,-2.89626466,-3.72,-14.3972112,-3.72,-3.73473105
-3.7,9.2088512,-3.7,-3.69840968,-3.7,9.20949269,-3.7,-3.71473337,-3.7,-2.87632331,-3.7,-14.3972058,-3.7,-3.71474454
-3.68,9.20884963,-3.68,-3.67841827,-3.68,9.20949129,-3.68,-3.69474692,-3.68,-2.85638197,-3.68,-14.3972004,-3.68,-3.69475803
-3.66,9.20884807,-3.66,-3.65842687,-3.66,9.2094899,-3.66,-3.67476048,-3.66,-2.83644063,-3.66,-14.397195,-3.66,-3.67477152
-3.64,9.2088465,-3.64,-3.63843547,-3.64,9.20948851,-3.64,-3.65477403,-3.64,-2.8164993,-3.64,-14.3971896,-3.64,-3.65478502
-3.62,9.20884494,-3.62,-3.61844406,-3.62,9.20948711,-3.62,-3.63478759,-3.62,-2.79655798,-3.62,-14.3971842,-3.62,-3.63479851
-3.6,9.20884338,-3.6,-3.59845266,-3.6,9.20948572,-3.6,-3.61480115,-3.6,-2.77661665,-3.6,-14.3971789,-3.6,-3.61481201
-3.58,9.20884182,-3.58,-3.57846125,-3.58,9.20948433,-3.58,-3.59481471,-3.58,-2.75667533,-3.58,-14.3971735,-3.58,-3.59482551
-3.56,9.20884026,-3.56,-3.55846985,-3.56,9.20948294,-3.56,-3.57482827,-3.56,-2.73673402,-3.56,-14.3971681,-3.56,-3.57483902
-3.54,9.20883869,-3.54,-3.53847845,-3.54,9.20948155,-3.54,-3.55484184,-3.54,-2.71679271,-3.54,-14.3971627,-3.54,-3.55485252
-3.52,9.20883713,-3.52,-3.51848704,-3.52,9.20948016,-3.52,-3.53485541,-3.52,-2.69685141,-3.52,-14.3971573,-3.52,-3.53486603
-3.5,9.20883557,-3.5,-3.49849564,-3.5,9.20947876,-3.5,-3.51486898,-3.5,-2.67691011,-3.5,-14.3971519,-3.5,-3.51487954
-3.48,9.20883401,-3.48,-3.47850424,-3.48,9.20947737,-3.48,-3.49488255,-3.48,-2.65696881,-3.48,-14.3971465,-3.48,-3.49489305
-3.46,9.20883245,-3.46,-3.45851283,-3.46,9.20947598,-3.46,-3.47489612,-3.46,-2.63702752,-3.46,-14.3971412,-3.46,-3.47490657
-3.44,9.20883089,-3.44,-3.43852143,-3.44,9.20947459,-3.44,-3.4549097,-3.44,-2.61708624,-3.44,-14.3971358,-3.44,-3.45492009
-3.42,9.20882933,-3.42,-3.41853002,-3.42,9.20947321,-3.42,-3.43492328,-3.42,-2.59714495,-3.42,-14.3971304,-3.42,-3.43493361
