var,cfg,onoise_total_v,inoise_total_v
a_come_e,a_0db_1r,1.18414E-06,1.18508E-06
a_come_e,b_0db_430r,1.24257E-06,1.24409E-06
a_come_e,c_0db_2500r,1.49213E-06,1.49705E-06
a_come_e,d_10db_2500r,4.30327E-06,1.37372E-06
a_come_e,e_3db_2500r,2.04279E-06,1.44435E-06
a_come_e_kf0,a_0db_1r,1.18357E-06,1.18451E-06
a_come_e_kf0,b_0db_430r,1.24203E-06,1.24355E-06
a_come_e_kf0,c_0db_2500r,1.49168E-06,1.49659E-06
a_come_e_kf0,d_10db_2500r,4.30171E-06,1.37322E-06
a_come_e_kf0,e_3db_2500r,2.04212E-06,1.44387E-06
a_tip,a_0db_1r,1.18463E-06,1.18557E-06
a_tip,b_0db_430r,1.24304E-06,1.24456E-06
a_tip,c_0db_2500r,1.49252E-06,1.49744E-06
a_tip,d_10db_2500r,4.30459E-06,1.37414E-06
a_tip,e_3db_2500r,2.04335E-06,1.44475E-06
b_min,a_0db_1r,1.18497E-06,1.18591E-06
b_min,b_0db_430r,1.24336E-06,1.24488E-06
b_min,c_0db_2500r,1.49279E-06,1.49771E-06
b_min,d_10db_2500r,4.3055E-06,1.37444E-06
b_min,e_3db_2500r,2.04375E-06,1.44503E-06
b_tip,a_0db_1r,1.18538E-06,1.18633E-06
b_tip,b_0db_430r,1.24376E-06,1.24528E-06
b_tip,c_0db_2500r,1.49312E-06,1.49804E-06
b_tip,d_10db_2500r,4.3066E-06,1.37479E-06
b_tip,e_3db_2500r,2.04423E-06,1.44537E-06
b_max,a_0db_1r,1.18575E-06,1.18669E-06
b_max,b_0db_430r,1.2441E-06,1.24563E-06
b_max,c_0db_2500r,1.49341E-06,1.49833E-06
b_max,d_10db_2500r,4.30759E-06,1.37511E-06
b_max,e_3db_2500r,2.04466E-06,1.44567E-06
a_ripristinato,a_0db_1r,1.18414E-06,1.18508E-06
a_ripristinato,b_0db_430r,1.24257E-06,1.24409E-06
a_ripristinato,c_0db_2500r,1.49213E-06,1.49705E-06
a_ripristinato,d_10db_2500r,4.30327E-06,1.37372E-06
a_ripristinato,e_3db_2500r,2.04279E-06,1.44435E-06
xa,a_0db_1r,1.15653E-06,1.15747E-06
xa,b_0db_430r,1.21628E-06,1.2178E-06
xa,c_0db_2500r,1.4703E-06,1.47518E-06
xa,d_10db_2500r,4.22886E-06,1.34984E-06
xa,e_3db_2500r,2.0107E-06,1.42166E-06
