carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,762322,72.7303,79.4359
1,1m,47p,763636,72.5122,79.4359
1,1m,100p,765122,72.2647,79.4359
1,1m,220p,768496,71.6981,79.4359
1,1m,470p,775568,70.4894,79.4359
1,1m,1n,791071,67.7827,79.4359
1,1m,2.2n,827120,60.9094,79.4359
1,1m,4.7n,883419,44.3304,79.4358
1,430,1f,762308,72.6274,79.4359
1,430,47p,763622,72.4092,79.4359
1,430,100p,765108,72.1615,79.4359
1,430,220p,768482,71.5944,79.4359
1,430,470p,775553,70.3848,79.4359
1,430,1n,791056,67.676,79.4359
1,430,2.2n,827101,60.7981,79.4359
1,430,4.7n,883396,44.2122,79.4358
2,1m,1f,761672,72.7407,79.343
2,1m,47p,762982,72.523,79.343
2,1m,100p,764463,72.276,79.343
2,1m,220p,767826,71.7105,79.343
2,1m,470p,774875,70.5042,79.343
2,1m,1n,790305,67.804,79.343
2,1m,2.2n,826164,60.9509,79.343
2,1m,4.7n,882191,44.4293,79.3429
2,430,1f,761658,72.6379,79.343
2,430,47p,762968,72.4201,79.343
2,430,100p,764449,72.1729,79.343
2,430,220p,767812,71.6069,79.343
2,430,470p,774860,70.3997,79.343
2,430,1n,790289,67.6975,79.343
2,430,2.2n,826144,60.8398,79.343
2,430,4.7n,882167,44.3114,79.3429
