pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,885155,72.0967,79.4778
1,10k,47p,887132,71.8324,79.4778
1,10k,100p,889257,71.5317,79.4778
1,10k,220p,893677,70.8414,79.4779
1,10k,470p,900644,69.396,79.4779
1,10k,1n,903576,66.5992,79.4779
1,10k,1.5n,893326,64.6468,79.4779
1,10k,2.2n,868333,63.1009,79.478
1,10k,2.7n,848807,62.6163,79.478
1,10k,3.3n,826848,62.447,79.4781
1,10k,4.7n,785868,62.8878,79.4781
2,10k,1f,885155,72.0967,79.4778
2,10k,47p,887198,71.83,79.4778
2,10k,100p,889513,71.5266,79.4778
2,10k,220p,894887,70.826,79.4778
2,10k,470p,906367,69.3122,79.4778
2,10k,1n,931993,65.8387,79.4778
2,10k,1.5n,957815,62.1874,79.4778
2,10k,2.2n,995630,56.4031,79.4778
2,10k,2.7n,1.02219E+06,51.8071,79.4778
2,10k,3.3n,1.05027E+06,45.9415,79.4778
2,10k,4.7n,1.07647E+06,33.194,79.4778
1,50k,1f,886297,72.1025,79.6399
1,50k,47p,888300,71.8356,79.6399
1,50k,100p,890451,71.5318,79.6399
1,50k,220p,894957,70.8333,79.6399
1,50k,470p,901999,69.3724,79.6399
1,50k,1n,904886,66.5485,79.6399
1,50k,1.5n,894409,64.5841,79.6399
1,50k,2.2n,869018,63.0401,79.6399
1,50k,2.7n,849279,62.5614,79.6399
1,50k,3.3n,827139,62.4002,79.6399
1,50k,4.7n,785937,62.8566,79.6399
2,50k,1f,886297,72.1025,79.6399
2,50k,47p,888351,71.8352,79.6399
2,50k,100p,890678,71.531,79.6399
2,50k,220p,896111,70.8275,79.6399
2,50k,470p,907652,69.3093,79.6399
2,50k,1n,933474,65.8227,79.6399
2,50k,1.5n,959560,62.1527,79.6399
2,50k,2.2n,997719,56.3366,79.6399
2,50k,2.7n,1.02461E+06,51.7064,79.6399
2,50k,3.3n,1.05303E+06,45.7944,79.6398
2,50k,4.7n,1.07915E+06,32.9823,79.6398
