cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
gm0x3_1k_iii_i,1,l29d2_iii,0a3,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm0x3_1k_iii_i,1,l29d2_iii,0a3,1000,3.818,100k,B2,FIXJACK1,6.683e-08,7.526865,0.0001,regge,sotto
gm0x3_1k_iii_c,1,l29d2_iii,0a3,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm0x3_1k_iii_c,1,l29d2_iii,0a3,1000,3.818,100k,B2,MAINJACK,6.691e-11,9.999990,0.0001,regge,sotto
gm3x0_1k_iii_i,1,l29d2_iii,3a0,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm3x0_1k_iii_i,1,l29d2_iii,3a0,1000,3.818,100k,B2,MAINJACK,8.879e-08,7.526990,0.0001,regge,sotto
gm3x0_1k_iii_c,1,l29d2_iii,3a0,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm3x0_1k_iii_c,1,l29d2_iii,3a0,1000,3.818,100k,B2,FIXJACK1,2.893e-11,9.999990,0.0001,regge,sotto
gm3x10_1k_iii_i,1,l29d2_iii,3a10,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm3x10_1k_iii_i,1,l29d2_iii,3a10,1000,3.818,100k,B2,MAINJACK,8.879e-08,7.526990,0.0001,regge,sotto
gm3x10_1k_iii_c,1,l29d2_iii,3a10,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm3x10_1k_iii_c,1,l29d2_iii,3a10,1000,3.818,100k,B2,MAINJACK,1.251e-10,9.999990,0.0001,regge,sotto
gm10x3_1k_iii_i,1,l29d2_iii,10a3,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm10x3_1k_iii_i,1,l29d2_iii,10a3,1000,3.818,100k,B2,MAINJACK,2.054e-07,7.526969,0.0001,regge,sotto
gm10x3_1k_iii_c,1,l29d2_iii,10a3,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm10x3_1k_iii_c,1,l29d2_iii,10a3,1000,3.818,100k,B2,MAINJACK,7.464e-11,9.999990,0.0001,regge,sotto
gm0x10_1k_iii_i,1,l29d2_iii,0a10,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm0x10_1k_iii_i,1,l29d2_iii,0a10,1000,3.818,100k,B2,FIXJACK1,6.683e-08,7.526865,0.0001,regge,sotto
gm0x10_1k_iii_c,1,l29d2_iii,0a10,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm0x10_1k_iii_c,1,l29d2_iii,0a10,1000,3.818,100k,B2,MAINJACK,5.622e-11,8.027094,0.0001,regge,sotto
gm10x0_1k_iii_i,1,l29d2_iii,10a0,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm10x0_1k_iii_i,1,l29d2_iii,10a0,1000,3.818,100k,B2,MAINJACK,2.054e-07,7.526969,0.0001,regge,sotto
gm10x0_1k_iii_c,1,l29d2_iii,10a0,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm10x0_1k_iii_c,1,l29d2_iii,10a0,1000,3.818,100k,B2,MAINJACK,4.815e-11,8.026594,0.0001,regge,sotto
gm0x3_20_iii_i,1,l29d2_iii,0a3,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm0x3_20_iii_i,1,l29d2_iii,0a3,20,3.818,100k,B2,MAINJACK,2.767e-06,7.526313,0.0001,regge,sotto
gm0x3_20_iii_c,1,l29d2_iii,0a3,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm0x3_20_iii_c,1,l29d2_iii,0a3,20,3.818,100k,B2,MAINJACK,3.818e-11,8.026938,0.0001,regge,sotto
gm3x0_20_iii_i,1,l29d2_iii,3a0,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm3x0_20_iii_i,1,l29d2_iii,3a0,20,3.818,100k,B2,MAINJACK,3.929e-06,7.526313,0.0001,regge,sotto
gm3x0_20_iii_c,1,l29d2_iii,3a0,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm3x0_20_iii_c,1,l29d2_iii,3a0,20,3.818,100k,B2,FIXJACK1,6.452e-14,9.999990,0.0001,regge,sotto
gm3x10_20_iii_i,1,l29d2_iii,3a10,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm3x10_20_iii_i,1,l29d2_iii,3a10,20,3.818,100k,B2,MAINJACK,3.929e-06,7.526313,0.0001,regge,sotto
gm3x10_20_iii_c,1,l29d2_iii,3a10,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm3x10_20_iii_c,1,l29d2_iii,3a10,20,3.818,100k,B2,MAINJACK,5.545e-11,8.026802,0.0001,regge,sotto
gm10x3_20_iii_i,1,l29d2_iii,10a3,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm10x3_20_iii_i,1,l29d2_iii,10a3,20,3.818,100k,B2,MAINJACK,8.715e-06,7.526313,0.0001,regge,sotto
gm10x3_20_iii_c,1,l29d2_iii,10a3,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm10x3_20_iii_c,1,l29d2_iii,10a3,20,3.818,100k,B2,MAINJACK,1.291e-11,8.026917,0.0001,regge,sotto
gm0x10_20_iii_i,1,l29d2_iii,0a10,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm0x10_20_iii_i,1,l29d2_iii,0a10,20,3.818,100k,B2,MAINJACK,2.767e-06,7.526313,0.0001,regge,sotto
gm0x10_20_iii_c,1,l29d2_iii,0a10,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm0x10_20_iii_c,1,l29d2_iii,0a10,20,3.818,100k,B2,MAINJACK,6.38e-11,8.027021,0.0001,regge,sotto
gm10x0_20_iii_i,1,l29d2_iii,10a0,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm10x0_20_iii_i,1,l29d2_iii,10a0,20,3.818,100k,B2,MAINJACK,8.715e-06,7.526313,0.0001,regge,sotto
gm10x0_20_iii_c,1,l29d2_iii,10a0,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm10x0_20_iii_c,1,l29d2_iii,10a0,20,3.818,100k,B2,MAINJACK,2.216e-11,8.027729,0.0001,regge,sotto
gm0x3_lz_iii_i,1,l29d2_iii,0a3,1000,0,100k,A_ins,FIXJACK1,4.142e-09,2.362500,0.0001,regge,sotto
gm0x3_lz_iii_i,1,l29d2_iii,0a3,1000,0,100k,B2,FIXJACK1,3.474e-09,7.520000,0.0001,regge,sotto
gm0x3_lz_iii_c,1,l29d2_iii,0a3,1000,0,100k,A_ins,MAINJACK,5.219e-08,8.000312,0.0001,regge,sotto
gm0x3_lz_iii_c,1,l29d2_iii,0a3,1000,0,100k,A_rel,MAINJACK,1.439e-08,11.323052,0.0001,regge,sotto
