cella,grandezza,gruppo,L29c,iii,iii_c100,iii_r10k,iii_k5
gm0x10_1k_c,B2,1,0.5082 MAINJACK,5.622e-05 MAINJACK,-,-,-
gm0x10_1k_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm0x10_1k_i,B2,1,0.1059 FIXJACK1,0.06683 FIXJACK1,-,-,-
gm0x10_1k_i,S_ins,1,7.163 MAINJACK,7.163 MAINJACK,-,-,-
gm0x10_20_c,B2,1,0.3627 MAINJACK,6.38e-05 MAINJACK,-,-,-
gm0x10_20_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm0x10_20_i,B2,1,2.698 MAINJACK,2.767 MAINJACK,-,-,-
gm0x10_20_i,S_ins,1,7.158 MAINJACK,7.158 MAINJACK,-,-,-
gm0x10_lz_c,A_ins,1,111.5 MAINJACK FUORI,0.1704 MAINJACK,-,-,-
gm0x10_lz_c,A_rel,1,0.03192 MAINJACK,0.03194 MAINJACK,-,-,-
gm0x10_lz_c,B2,1,0.3741 MAINJACK,7.697e-05 MAINJACK,-,-,-
gm0x10_lz_i,A_ins,1,0.004144 FIXJACK2,0.004142 FIXJACK1,-,-,-
gm0x10_lz_i,B2,1,0.007578 FIXJACK1,0.003474 FIXJACK1,-,-,-
gm0x3_1k_c,B2,1,0.1346 MAINJACK,6.691e-05 MAINJACK,-,-,-
gm0x3_1k_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm0x3_1k_i,B2,1,0.1059 FIXJACK1,0.06683 FIXJACK1,-,-,-
gm0x3_1k_i,S_ins,1,7.163 MAINJACK,7.163 MAINJACK,-,-,-
gm0x3_20_c,B2,1,0.07066 MAINJACK,3.818e-05 MAINJACK,-,-,-
gm0x3_20_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm0x3_20_i,B2,1,2.698 MAINJACK,2.767 MAINJACK,-,-,-
gm0x3_20_i,S_ins,1,7.158 MAINJACK,7.158 MAINJACK,-,-,-
gm0x3_lz_c,A_ins,1,26.98 MAINJACK,0.05219 MAINJACK,-,-,-
gm0x3_lz_c,A_rel,1,0.01438 MAINJACK,0.01439 MAINJACK,-,-,-
gm0x3_lz_c,B2,1,0.07318 MAINJACK,1.558e-05 MAINJACK,-,-,-
gm0x3_lz_i,A_ins,1,0.004144 FIXJACK2,0.004142 FIXJACK1,-,-,-
gm0x3_lz_i,B2,1,0.007578 FIXJACK1,0.003474 FIXJACK1,-,-,-
gm10x0_1k_c,B2,1,0.4125 MAINJACK,4.815e-05 MAINJACK,-,-,-
gm10x0_1k_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm10x0_1k_i,B2,1,0.3292 MAINJACK,0.2054 MAINJACK,-,-,-
gm10x0_1k_i,S_ins,1,7.163 MAINJACK,7.163 MAINJACK,-,-,-
gm10x0_20_c,B2,1,0.3706 MAINJACK,2.216e-05 MAINJACK,-,-,-
gm10x0_20_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm10x0_20_i,B2,1,8.5 MAINJACK,8.715 MAINJACK,-,-,-
gm10x0_20_i,S_ins,1,7.158 MAINJACK,7.158 MAINJACK,-,-,-
gm10x0_lz_c,A_ins,1,116.2 MAINJACK FUORI,0.1468 MAINJACK,-,-,-
gm10x0_lz_c,A_rel,1,0.01013 MAINJACK,0.01013 MAINJACK,-,-,-
gm10x0_lz_c,B2,1,0.3691 MAINJACK,2.526e-05 MAINJACK,-,-,-
gm10x0_lz_i,A_ins,1,0.01305 MAINJACK,0.01302 MAINJACK,-,-,-
gm10x0_lz_i,B2,1,0.009827 MAINJACK,0.003474 FIXJACK1,-,-,-
gm10x3_1k_c,B2,1,0.3595 MAINJACK,7.464e-05 MAINJACK,-,-,-
gm10x3_1k_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm10x3_1k_i,B2,1,0.3292 MAINJACK,0.2054 MAINJACK,-,-,-
gm10x3_1k_i,S_ins,1,7.163 MAINJACK,7.163 MAINJACK,-,-,-
gm10x3_20_c,B2,1,0.3016 MAINJACK,1.291e-05 MAINJACK,-,-,-
gm10x3_20_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm10x3_20_i,B2,1,8.5 MAINJACK,8.715 MAINJACK,-,-,-
gm10x3_20_i,S_ins,1,7.158 MAINJACK,7.158 MAINJACK,-,-,-
gm10x3_lz_c,A_ins,1,111.2 MAINJACK FUORI,0.01275 MAINJACK,-,-,-
gm10x3_lz_c,A_rel,1,0.01439 MAINJACK,0.01439 MAINJACK,-,-,-
