nodo,rsrc,onoise_total_v,inoise_total_v
J1,1,1.62373E-06,1.63228E-06
J1,430,1.66645E-06,1.67594E-06
J1,2500,1.85835E-06,1.8728E-06
OUTA,430,1.21061E-06,1.2114E-06
