grandezza,f20,f1k,f20k,max_20_20k
Z_jack_mag,1693.61,57.9515,47.0538,
Z_jack_real,53.1318,47.0339,47.0323,53.1318
Z_nodo_buffer_mag,0.0361743,0.0386399,0.274331,
