carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,804645,68.1279,81.4932
1,1m,47p,806400,67.8777,81.4932
1,1m,100p,808389,67.5931,81.4932
1,1m,220p,812932,66.9386,81.4931
1,1m,470p,822821,65.521,81.4931
1,1m,1n,844903,62.2754,81.4931
1,1m,2.2n,900870,53.4472,81.4931
1,1m,4.7n,990155,30.0522,81.493
1,430,1f,804631,68.0194,81.4932
1,430,47p,806386,67.769,81.4932
1,430,100p,808374,67.4841,81.4932
1,430,220p,812917,66.829,81.4932
1,430,470p,822805,65.4101,81.4931
1,430,1n,844885,62.1617,81.4931
1,430,2.2n,900845,53.3263,81.4931
1,430,4.7n,990124,29.9207,81.493
2,1m,1f,803940,68.135,81.3891
2,1m,47p,805689,67.8854,81.3891
2,1m,100p,807671,67.6013,81.3891
2,1m,220p,812195,66.9482,81.3891
2,1m,470p,822029,65.5343,81.3891
2,1m,1n,843997,62.2977,81.3891
2,1m,2.2n,899589,53.5041,81.3891
2,1m,4.7n,988461,30.2149,81.389
2,430,1f,803926,68.0266,81.3891
2,430,47p,805675,67.7767,81.3891
2,430,100p,807657,67.4924,81.3891
2,430,220p,812181,66.8387,81.3891
2,430,470p,822014,65.4235,81.3891
2,430,1n,843980,62.1841,81.3891
2,430,2.2n,899565,53.3835,81.3891
2,430,4.7n,988430,30.0836,81.389
