pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,381864,70.9434,81.7012
1,10k,47p,382046,70.8492,81.7012
1,10k,100p,382242,70.7429,81.7012
1,10k,220p,382653,70.5019,81.7012
1,10k,470p,383354,70.0009,81.7012
1,10k,1n,384121,68.9594,81.7012
1,10k,1.5n,383940,68.0299,81.7012
1,10k,2.2n,382321,66.8639,81.7013
1,10k,2.7n,380340,66.1493,81.7013
1,10k,3.3n,377351,65.427,81.7013
1,10k,4.7n,368829,64.2858,81.7014
2,10k,1f,381864,70.9434,81.7012
2,10k,47p,382051,70.8483,81.7012
2,10k,100p,382261,70.7408,81.7012
2,10k,220p,382734,70.4968,81.7012
2,10k,470p,383708,69.9854,81.7011
2,10k,1n,385723,68.8885,81.7011
2,10k,1.5n,387552,67.8386,81.7011
2,10k,2.2n,390010,66.3446,81.7011
2,10k,2.7n,391690,65.2611,81.701
2,10k,3.3n,393575,63.9471,81.701
2,10k,4.7n,397339,60.8395,81.7009
1,50k,1f,382302,70.9409,81.8834
1,50k,47p,382486,70.8458,81.8834
1,50k,100p,382684,70.7384,81.8834
1,50k,220p,383100,70.495,81.8834
1,50k,470p,383808,69.9891,81.8834
1,50k,1n,384580,68.9374,81.8834
1,50k,1.5n,384389,67.9992,81.8833
1,50k,2.2n,382737,66.8237,81.8833
1,50k,2.7n,380723,66.1045,81.8833
1,50k,3.3n,377681,65.3792,81.8833
1,50k,4.7n,369050,64.2372,81.8833
2,50k,1f,382302,70.9409,81.8834
2,50k,47p,382489,70.8456,81.8834
2,50k,100p,382700,70.7378,81.8834
2,50k,220p,383175,70.4932,81.8834
2,50k,470p,384154,69.9807,81.8834
2,50k,1n,386178,68.8812,81.8833
2,50k,1.5n,388016,67.8286,81.8833
2,50k,2.2n,390499,66.33,81.8833
2,50k,2.7n,392187,65.2437,81.8833
2,50k,3.3n,394081,63.9262,81.8832
2,50k,4.7n,397864,60.8098,81.8832
