col0,col1,col2,col3,col4,col5,col6,col7
5.328e-05,0.164275082,5.328e-05,0.456419167,5.328e-05,0.508192138,5.328e-05,1.44879216
5.428e-05,0.167239012,5.428e-05,0.465756893,5.428e-05,0.517521898,5.428e-05,1.45818577
5.528e-05,0.17019634,5.528e-05,0.475074161,5.528e-05,0.526831186,5.528e-05,1.46755881
5.628e-05,0.173146948,5.628e-05,0.484370618,5.628e-05,0.536119649,5.628e-05,1.47691089
5.728e-05,0.176090721,5.728e-05,0.493645892,5.728e-05,0.545386913,5.728e-05,1.48624168
5.828e-05,0.179027542,5.828e-05,0.502899614,5.828e-05,0.554632613,5.828e-05,1.49555078
5.928e-05,0.181957295,5.928e-05,0.512131428,5.928e-05,0.56385639,5.928e-05,1.50483784
6.028e-05,0.184879865,6.028e-05,0.521340954,6.028e-05,0.573057867,6.028e-05,1.51410247
6.128e-05,0.187795136,6.128e-05,0.530527851,6.128e-05,0.582236701,6.128e-05,1.52334435
6.228e-05,0.190702994,6.228e-05,0.539691727,6.228e-05,0.591392502,6.228e-05,1.53256306
6.328e-05,0.193603323,6.328e-05,0.548832255,6.328e-05,0.600524942,6.328e-05,1.54175828
6.428e-05,0.196496008,6.428e-05,0.557949035,6.428e-05,0.609633622,6.428e-05,1.55092961
6.528e-05,0.199380937,6.528e-05,0.56704175,6.528e-05,0.618718226,6.528e-05,1.56007674
6.628e-05,0.202257994,6.628e-05,0.576109994,6.628e-05,0.627778348,6.628e-05,1.56919923
6.728e-05,0.205127066,6.728e-05,0.585153461,6.728e-05,0.636813681,6.728e-05,1.57829681
6.828e-05,0.20798804,6.828e-05,0.594171738,6.828e-05,0.645823814,6.828e-05,1.58736904
6.928e-05,0.210840804,6.928e-05,0.603164528,6.928e-05,0.654808449,6.928e-05,1.59641564
7.028e-05,0.213685243,7.028e-05,0.612131415,7.028e-05,0.66376717,7.028e-05,1.60543617
7.128e-05,0.216521247,7.128e-05,0.621072107,7.128e-05,0.672699688,7.128e-05,1.61443035
7.228e-05,0.219348703,7.228e-05,0.629986187,7.228e-05,0.681605584,7.228e-05,1.62339776
7.328e-05,0.222167499,7.328e-05,0.63887337,7.328e-05,0.690484574,7.328e-05,1.63233811
7.428e-05,0.224977525,7.428e-05,0.647733236,7.428e-05,0.699336238,7.428e-05,1.64125097
7.528e-05,0.227778668,7.528e-05,0.656565507,7.528e-05,0.708160298,7.528e-05,1.65013608
7.628e-05,0.23057082,7.628e-05,0.665369761,7.628e-05,0.716956334,7.628e-05,1.658993
7.728e-05,0.233353869,7.728e-05,0.674145723,7.728e-05,0.72572407,7.728e-05,1.66782146
7.828e-05,0.236127705,7.828e-05,0.682892974,7.828e-05,0.734463087,7.828e-05,1.67662103
7.928e-05,0.23889222,7.928e-05,0.691611243,7.928e-05,0.743173115,7.928e-05,1.68539144
8.028e-05,0.241647303,8.028e-05,0.700300111,8.028e-05,0.751853735,8.028e-05,1.69413228
8.128e-05,0.244392847,8.128e-05,0.708959309,8.128e-05,0.760504679,8.128e-05,1.70284327
8.228e-05,0.247128743,8.228e-05,0.717588422,8.228e-05,0.769125531,8.228e-05,1.71152399
8.328e-05,0.249854882,8.328e-05,0.726187182,8.328e-05,0.777716025,8.328e-05,1.72017418
8.428e-05,0.252571157,8.428e-05,0.734755177,8.428e-05,0.786275748,8.428e-05,1.72879342
8.528e-05,0.255277462,8.528e-05,0.743292141,8.528e-05,0.794804435,8.528e-05,1.73738144
8.628e-05,0.257973688,8.628e-05,0.751797665,8.628e-05,0.803301678,8.628e-05,1.74593783
8.728e-05,0.26065973,8.728e-05,0.760271485,8.728e-05,0.811767211,8.728e-05,1.75446232
8.828e-05,0.263335482,8.828e-05,0.768713196,8.828e-05,0.820200632,8.828e-05,1.76295451
8.928e-05,0.266000838,8.928e-05,0.777122534,8.928e-05,0.828601675,8.928e-05,1.77141413
9.028e-05,0.268655692,9.028e-05,0.785499099,9.028e-05,0.836969941,9.028e-05,1.77984079
