cella,variante,f_hz,amp,gm,rl,grandezza,uscita,picco_V,t_picco_s,finestra_s,esito,nota
var0_100k_bm,v0_dopo,1000,3.818,10,100k,A_ins,MAINJACK,10.95,1.000490,0.100,SOPRA,riferimento var0_100k_bmsempre
var0_100k_bm,v0_dopo,1000,3.818,10,100k,A_rel,MAINJACK,12.16,1.100448,2.000,SOPRA,riferimento var0_100k_bmmai
var0_100k_bm,v0_dopo,1000,3.818,10,100k,B2,MAINJACK,0.03323,1.026396,,SOPRA,mute da t_ins+t_grad+20 ms a t_rel
var0_100k_bm,v0_dopo,1000,3.818,10,100k,C_ins,MAINJACK,8.874,1.101000,,SOPRA,cond 1
var0_100k_bm,v0_dopo,1000,3.818,10,100k,C_rel,MAINJACK,8.874,1.101000,,SOPRA,cond 1
var0_100k_bm,v0_dopo,1000,3.818,10,100k,A_ins,FIXJACK1,3.41,1.000490,0.100,SOPRA,riferimento var0_100k_bmsempre
var0_100k_bm,v0_dopo,1000,3.818,10,100k,A_rel,FIXJACK1,3.891,1.100448,2.000,SOPRA,riferimento var0_100k_bmmai
var0_100k_bm,v0_dopo,1000,3.818,10,100k,B2,FIXJACK1,0.01102,1.026406,,SOPRA,mute da t_ins+t_grad+20 ms a t_rel
var0_100k_bm,v0_dopo,1000,3.818,10,100k,C_ins,FIXJACK1,3.057,1.101000,,SOPRA,cond 1
var0_100k_bm,v0_dopo,1000,3.818,10,100k,C_rel,FIXJACK1,3.057,1.101000,,SOPRA,cond 1
var0_100k_bm,v0_dopo,1000,3.818,10,100k,A_ins,FIXJACK2,3.41,1.000490,0.100,SOPRA,riferimento var0_100k_bmsempre
var0_100k_bm,v0_dopo,1000,3.818,10,100k,A_rel,FIXJACK2,3.891,1.100448,2.000,SOPRA,riferimento var0_100k_bmmai
var0_100k_bm,v0_dopo,1000,3.818,10,100k,B2,FIXJACK2,0.01102,1.026406,,SOPRA,mute da t_ins+t_grad+20 ms a t_rel
var0_100k_bm,v0_dopo,1000,3.818,10,100k,C_ins,FIXJACK2,3.057,1.101000,,SOPRA,cond 1
var0_100k_bm,v0_dopo,1000,3.818,10,100k,C_rel,FIXJACK2,3.057,1.101000,,SOPRA,cond 1
var0_100k_bmmai,v0_dopo,1000,3.818,10,100k,C_pav,MAINJACK,0.00126,1.036750,,SOPRA,"pavimento di C a 1.000 s, cond 1"
var0_100k_bmmai,v0_dopo,1000,3.818,10,100k,C_pav,MAINJACK,0.001256,1.242219,,SOPRA,"pavimento di C a 1.100 s, cond 1"
var0_100k_bmmai,v0_dopo,1000,3.818,10,100k,C_pav,FIXJACK1,0.0001863,1.011187,,SOPRA,"pavimento di C a 1.000 s, cond 1"
var0_100k_bmmai,v0_dopo,1000,3.818,10,100k,C_pav,FIXJACK1,0.0001847,1.096188,,SOPRA,"pavimento di C a 1.100 s, cond 1"
var0_100k_bmmai,v0_dopo,1000,3.818,10,100k,C_pav,FIXJACK2,0.0001863,1.011187,,SOPRA,"pavimento di C a 1.000 s, cond 1"
var0_100k_bmmai,v0_dopo,1000,3.818,10,100k,C_pav,FIXJACK2,0.0001847,1.096188,,SOPRA,"pavimento di C a 1.100 s, cond 1"
var0_100k_bmsempre,v0_dopo,1000,3.818,10,100k,B1,MAINJACK,0.02009,1.947885,,SOPRA,"riferimento sempre in mute, da 0,5 s"
var0_100k_bmsempre,v0_dopo,1000,3.818,10,100k,C_pav,MAINJACK,0.002125,1.073979,,SOPRA,"pavimento di C a 1.000 s, cond 1"
var0_100k_bmsempre,v0_dopo,1000,3.818,10,100k,C_pav,MAINJACK,0.002125,1.295979,,SOPRA,"pavimento di C a 1.100 s, cond 1"
var0_100k_bmsempre,v0_dopo,1000,3.818,10,100k,B1,FIXJACK1,0.006576,2.009406,,SOPRA,"riferimento sempre in mute, da 0,5 s"
var0_100k_bmsempre,v0_dopo,1000,3.818,10,100k,C_pav,FIXJACK1,1.183e-06,1.093667,,sotto,"pavimento di C a 1.000 s, cond 1"
var0_100k_bmsempre,v0_dopo,1000,3.818,10,100k,C_pav,FIXJACK1,1.183e-06,1.093667,,sotto,"pavimento di C a 1.100 s, cond 1"
var0_100k_bmsempre,v0_dopo,1000,3.818,10,100k,B1,FIXJACK2,0.006576,2.009406,,SOPRA,"riferimento sempre in mute, da 0,5 s"
var0_100k_bmsempre,v0_dopo,1000,3.818,10,100k,C_pav,FIXJACK2,1.183e-06,1.093667,,sotto,"pavimento di C a 1.000 s, cond 1"
var0_100k_bmsempre,v0_dopo,1000,3.818,10,100k,C_pav,FIXJACK2,1.183e-06,1.093667,,sotto,"pavimento di C a 1.100 s, cond 1"
