carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,1.01006E+06,69.3636,72.2855
1,1m,47p,1.01158E+06,69.0999,72.2855
1,1m,100p,1.01327E+06,68.801,72.2855
1,1m,220p,1.01708E+06,68.1185,72.2855
1,1m,470p,1.02487E+06,66.6705,72.2855
1,1m,1n,1.0407E+06,63.4873,72.2855
1,1m,2.2n,1.06903E+06,55.8881,72.2855
1,1m,4.7n,1.06954E+06,41.0391,72.2854
1,430,1f,1.01005E+06,69.2431,72.2855
1,430,47p,1.01156E+06,68.9792,72.2855
1,430,100p,1.01326E+06,68.6801,72.2855
1,430,220p,1.01707E+06,67.9971,72.2855
1,430,470p,1.02486E+06,66.5482,72.2855
1,430,1n,1.04069E+06,63.3632,72.2855
1,430,2.2n,1.06901E+06,55.7608,72.2855
1,430,4.7n,1.06953E+06,40.912,72.2854
2,1m,1f,1.00928E+06,69.3729,72.2312
2,1m,47p,1.01079E+06,69.1096,72.2312
2,1m,100p,1.01248E+06,68.8113,72.2312
2,1m,220p,1.01628E+06,68.1299,72.2312
2,1m,470p,1.02402E+06,66.6848,72.2312
2,1m,1n,1.03981E+06,63.5076,72.2312
2,1m,2.2n,1.06802E+06,55.9245,72.2312
2,1m,4.7n,1.06861E+06,41.1004,72.2312
2,430,1f,1.00927E+06,69.2525,72.2312
2,430,47p,1.01078E+06,68.989,72.2312
2,430,100p,1.01247E+06,68.6904,72.2312
2,430,220p,1.01626E+06,68.0086,72.2312
2,430,470p,1.02401E+06,66.5627,72.2312
2,430,1n,1.03979E+06,63.3836,72.2312
2,430,2.2n,1.068E+06,55.7974,72.2312
2,430,4.7n,1.0686E+06,40.9734,72.2312
