carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,950423,67.565,80.0621
1,1m,47p,952805,67.2689,80.0621
1,1m,100p,955519,66.9314,80.0621
1,1m,220p,961852,66.1502,80.0621
1,1m,470p,975310,64.4583,80.0621
1,1m,1n,1.00586E+06,60.5298,80.0621
1,1m,2.2n,1.08264E+06,49.5986,80.0621
1,1m,4.7n,1.15866E+06,23.8786,80.0621
1,430,1f,950399,67.4369,80.0621
1,430,47p,952781,67.1406,80.0621
1,430,100p,955494,66.8027,80.0621
1,430,220p,961826,66.0207,80.0621
1,430,470p,975284,64.327,80.0621
1,430,1n,1.00583E+06,60.3947,80.0621
1,430,2.2n,1.0826E+06,49.454,80.0621
1,430,4.7n,1.15861E+06,23.7252,80.0621
2,1m,1f,949548,67.5777,79.9681
2,1m,47p,951922,67.2824,79.9681
2,1m,100p,954612,66.9459,79.9681
2,1m,220p,960911,66.1668,79.9681
2,1m,470p,974316,64.4791,79.9681
2,1m,1n,1.00468E+06,60.5639,79.9681
2,1m,2.2n,1.08092E+06,49.6817,79.968
2,1m,4.7n,1.15697E+06,24.0484,79.968
2,430,1f,949523,67.4499,79.9681
2,430,47p,951897,67.1542,79.9681
2,430,100p,954587,66.8173,79.9681
2,430,220p,960884,66.0374,79.9681
2,430,470p,974288,64.348,79.9681
2,430,1n,1.00464E+06,60.429,79.9681
2,430,2.2n,1.08087E+06,49.5374,79.968
2,430,4.7n,1.15692E+06,23.8954,79.968
