carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,804788,68.042,80.6095
1,1m,47p,806234,67.8104,80.6095
1,1m,100p,807868,67.5474,80.6095
1,1m,220p,811582,66.9448,80.6095
1,1m,470p,819554,65.6514,80.6095
1,1m,1n,836871,62.7477,80.6095
1,1m,2.2n,877555,55.2812,80.6095
1,1m,4.7n,938037,37.1584,80.6094
1,430,1f,804774,67.9334,80.6095
1,430,47p,806219,67.7017,80.6095
1,430,100p,807853,67.4385,80.6095
1,430,220p,811567,66.8354,80.6095
1,430,470p,819538,65.541,80.6095
1,430,1n,836853,62.635,80.6095
1,430,2.2n,877534,55.1633,80.6095
1,430,4.7n,938010,37.0333,80.6094
2,1m,1f,804128,68.0515,80.515
2,1m,47p,805569,67.8203,80.515
2,1m,100p,807198,67.5579,80.515
2,1m,220p,810900,66.9564,80.515
2,1m,470p,818827,65.6662,80.515
2,1m,1n,836059,62.7696,80.5149
2,1m,2.2n,876523,55.326,80.5149
2,1m,4.7n,936734,37.2673,80.5149
2,430,1f,804113,67.943,80.515
2,430,47p,805554,67.7117,80.515
2,430,100p,807183,67.449,80.515
2,430,220p,810885,66.8471,80.515
2,430,470p,818810,65.5558,80.515
2,430,1n,836041,62.657,80.5149
2,430,2.2n,876501,55.2083,80.5149
2,430,4.7n,936707,37.1424,80.5149
