carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,964576,65.2793,82.1143
1,1m,47p,967559,64.9536,82.1143
1,1m,100p,970953,64.5815,82.1143
1,1m,220p,978798,63.7179,82.1143
1,1m,470p,996069,61.8138,82.1143
1,1m,1n,1.03676E+06,57.2367,82.1143
1,1m,2.2n,1.15092E+06,43.0274,82.1143
1,1m,4.7n,1.22191E+06,11.0512,82.1142
1,430,1f,964552,65.1493,82.1143
1,430,47p,967535,64.8232,82.1143
1,430,100p,970928,64.4506,82.1143
1,430,220p,978772,63.5861,82.1143
1,430,470p,996041,61.6797,82.1143
1,430,1n,1.03673E+06,57.0975,82.1143
1,430,2.2n,1.15086E+06,42.8744,82.1143
1,430,4.7n,1.22187E+06,10.8895,82.1142
2,1m,1f,963615,65.2881,82.0087
2,1m,47p,966585,64.9633,82.0087
2,1m,100p,969965,64.592,82.0087
2,1m,220p,977749,63.7314,82.0087
2,1m,470p,994941,61.8327,82.0086
2,1m,1n,1.03535E+06,57.2739,82.0086
2,1m,2.2n,1.14841E+06,43.1595,82.0086
2,1m,4.7n,1.22023E+06,11.259,82.0086
2,430,1f,963590,65.1583,82.0087
2,430,47p,966560,64.833,82.0087
2,430,100p,969940,64.4613,82.0087
2,430,220p,977722,63.5997,82.0087
2,430,470p,994913,61.6988,82.0086
2,430,1n,1.03532E+06,57.1348,82.0086
2,430,2.2n,1.14835E+06,43.0069,82.0086
2,430,4.7n,1.22019E+06,11.0976,82.0086
