variante,rl,grandezza,uscita,picco_max_V,cella,da,esito
g1_jack,10k,C1,FIXJACK2,1.042,gr1_10k_bm20ms,C1_ins,SOPRA
g1_jack,10k,C1,MAINJACK,3.323,gr1_10k_bm20ms,C1_ins,SOPRA
g1_jack,10k,C_pav,FIXJACK1,0.0001543,gr1_10k_bmmai,C_pav,sotto
g1_jack,10k,C_pav,FIXJACK2,0.0001543,gr1_10k_bmmai,C_pav,sotto
g1_jack,10k,C_pav,MAINJACK,0.00104,gr1_10k_bmmai,C_pav,SOPRA
g2_prima,100k,A,FIXJACK1,0.02158,gr2_100k_lz20ms,A_ins,SOPRA
g2_prima,100k,A,FIXJACK2,0.02158,gr2_100k_lz20ms,A_ins,SOPRA
g2_prima,100k,A,MAINJACK,0.06791,gr2_100k_lz20ms,A_ins,SOPRA
g2_prima,100k,A_musica,FIXJACK1,4.054,gr2_100k_b20,A_ins,SOPRA
g2_prima,100k,A_musica,FIXJACK2,4.054,gr2_100k_b20,A_ins,SOPRA
g2_prima,100k,A_musica,MAINJACK,12.77,gr2_100k_b20,A_ins,SOPRA
g2_prima,100k,B1,FIXJACK1,0.008091,gr2_100k_bmsempre,B1,SOPRA
g2_prima,100k,B1,FIXJACK2,0.008091,gr2_100k_bmsempre,B1,SOPRA
g2_prima,100k,B1,MAINJACK,0.01974,gr2_100k_bmsempre,B1,SOPRA
g2_prima,100k,B2,FIXJACK1,0.01335,gr2_100k_bm20ms,B2,SOPRA
g2_prima,100k,B2,FIXJACK2,0.01335,gr2_100k_bm20ms,B2,SOPRA
g2_prima,100k,B2,MAINJACK,0.03658,gr2_100k_bm20ms,B2,SOPRA
g2_prima,100k,C,FIXJACK1,1.007,gr2_100k_bm20ms,C2_ins,SOPRA
g2_prima,100k,C,FIXJACK2,1.007,gr2_100k_bm20ms,C2_ins,SOPRA
g2_prima,100k,C,MAINJACK,3.334,gr2_100k_bm20ms,C2_ins,SOPRA
g2_prima,100k,C1,FIXJACK1,1.007,gr2_100k_bm20ms,C1_ins,SOPRA
g2_prima,100k,C1,FIXJACK2,1.007,gr2_100k_bm20ms,C1_ins,SOPRA
g2_prima,100k,C1,MAINJACK,3.336,gr2_100k_bm20ms,C1_ins,SOPRA
g2_prima,100k,C_pav,FIXJACK1,0.0001832,gr2_100k_bmmai,C_pav,sotto
g2_prima,100k,C_pav,FIXJACK2,0.0001832,gr2_100k_bmmai,C_pav,sotto
g2_prima,100k,C_pav,MAINJACK,0.001234,gr2_100k_bmmai,C_pav,SOPRA
g2_prima,10k,A,FIXJACK1,0.02083,gr2_10k_lz20ms,A_ins,SOPRA
g2_prima,10k,A,FIXJACK2,0.02083,gr2_10k_lz20ms,A_ins,SOPRA
g2_prima,10k,A,MAINJACK,0.06555,gr2_10k_lz20ms,A_ins,SOPRA
g2_prima,10k,A_musica,FIXJACK1,4.007,gr2_10k_bm20ms,A_ins,SOPRA
g2_prima,10k,A_musica,FIXJACK2,4.007,gr2_10k_bm20ms,A_ins,SOPRA
g2_prima,10k,A_musica,MAINJACK,12.63,gr2_10k_bm20ms,A_ins,SOPRA
g2_prima,10k,B1,FIXJACK1,0.008091,gr2_10k_bmsempre,B1,SOPRA
g2_prima,10k,B1,FIXJACK2,0.008091,gr2_10k_bmsempre,B1,SOPRA
g2_prima,10k,B1,MAINJACK,0.01978,gr2_10k_bmsempre,B1,SOPRA
g2_prima,10k,B2,FIXJACK1,0.01329,gr2_10k_bm20ms,B2,SOPRA
g2_prima,10k,B2,FIXJACK2,0.01329,gr2_10k_bm20ms,B2,SOPRA
g2_prima,10k,B2,MAINJACK,0.03641,gr2_10k_bm20ms,B2,SOPRA
g2_prima,10k,C,FIXJACK1,1.001,gr2_10k_bm20ms,C2_ins,SOPRA
g2_prima,10k,C,FIXJACK2,1.001,gr2_10k_bm20ms,C2_ins,SOPRA
g2_prima,10k,C,MAINJACK,3.317,gr2_10k_bm20ms,C2_ins,SOPRA
g2_prima,10k,C1,FIXJACK1,1.001,gr2_10k_bm20ms,C1_ins,SOPRA
g2_prima,10k,C1,FIXJACK2,1.001,gr2_10k_bm20ms,C1_ins,SOPRA
g2_prima,10k,C1,MAINJACK,3.32,gr2_10k_bm20ms,C1_ins,SOPRA
g2_prima,10k,C_pav,FIXJACK1,0.0001543,gr2_10k_bmmai,C_pav,sotto
g2_prima,10k,C_pav,FIXJACK2,0.0001543,gr2_10k_bmmai,C_pav,sotto
g2_prima,10k,C_pav,MAINJACK,0.00104,gr2_10k_bmmai,C_pav,SOPRA
g3_prima_offset_zero,100k,A,FIXJACK1,8.062e-09,gr3_100k_lz20ms,A_ins,sotto
g3_prima_offset_zero,100k,A,FIXJACK2,8.063e-09,gr3_100k_lz20ms,A_ins,sotto
g3_prima_offset_zero,100k,A,MAINJACK,4.91e-08,gr3_100k_lz20ms,A_ins,sotto
g3_prima_offset_zero,100k,A_musica,FIXJACK1,4.054,gr3_100k_b20,A_ins,SOPRA
g3_prima_offset_zero,100k,A_musica,FIXJACK2,4.054,gr3_100k_b20,A_ins,SOPRA
g3_prima_offset_zero,100k,A_musica,MAINJACK,12.77,gr3_100k_b20,A_ins,SOPRA
g3_prima_offset_zero,100k,B1,FIXJACK1,0.008091,gr3_100k_bmsempre,B1,SOPRA
g3_prima_offset_zero,100k,B1,FIXJACK2,0.008091,gr3_100k_bmsempre,B1,SOPRA
g3_prima_offset_zero,100k,B1,MAINJACK,0.01982,gr3_100k_bmsempre,B1,SOPRA
g3_prima_offset_zero,100k,B2,FIXJACK1,0.008102,gr3_100k_bm20ms,B2,SOPRA
g3_prima_offset_zero,100k,B2,FIXJACK2,0.008102,gr3_100k_bm20ms,B2,SOPRA
g3_prima_offset_zero,100k,B2,MAINJACK,0.02033,gr3_100k_bm20ms,B2,SOPRA
g3_prima_offset_zero,100k,C,FIXJACK1,0.985,gr3_100k_bm20ms,C2_ins,SOPRA
g3_prima_offset_zero,100k,C,FIXJACK2,0.985,gr3_100k_bm20ms,C2_ins,SOPRA
g3_prima_offset_zero,100k,C,MAINJACK,3.261,gr3_100k_bm20ms,C2_ins,SOPRA
g3_prima_offset_zero,100k,C1,FIXJACK1,0.985,gr3_100k_bm20ms,C1_ins,SOPRA
g3_prima_offset_zero,100k,C1,FIXJACK2,0.985,gr3_100k_bm20ms,C1_ins,SOPRA
g3_prima_offset_zero,100k,C1,MAINJACK,3.264,gr3_100k_bm20ms,C1_ins,SOPRA
g3_prima_offset_zero,100k,C_pav,FIXJACK1,0.0001912,gr3_100k_bmmai,C_pav,sotto
g3_prima_offset_zero,100k,C_pav,FIXJACK2,0.0001912,gr3_100k_bmmai,C_pav,sotto
g3_prima_offset_zero,100k,C_pav,MAINJACK,0.001244,gr3_100k_bmmai,C_pav,SOPRA
g3_prima_offset_zero,10k,A,FIXJACK1,7.782e-09,gr3_10k_lz20ms,A_ins,sotto
g3_prima_offset_zero,10k,A,FIXJACK2,7.782e-09,gr3_10k_lz20ms,A_ins,sotto
g3_prima_offset_zero,10k,A,MAINJACK,4.74e-08,gr3_10k_lz20ms,A_ins,sotto
g3_prima_offset_zero,10k,A_musica,FIXJACK1,4.007,gr3_10k_bm20ms,A_ins,SOPRA
g3_prima_offset_zero,10k,A_musica,FIXJACK2,4.007,gr3_10k_bm20ms,A_ins,SOPRA
g3_prima_offset_zero,10k,A_musica,MAINJACK,12.63,gr3_10k_bm20ms,A_ins,SOPRA
g3_prima_offset_zero,10k,B1,FIXJACK1,0.008091,gr3_10k_bmsempre,B1,SOPRA
g3_prima_offset_zero,10k,B1,FIXJACK2,0.008091,gr3_10k_bmsempre,B1,SOPRA
g3_prima_offset_zero,10k,B1,MAINJACK,0.01986,gr3_10k_bmsempre,B1,SOPRA
g3_prima_offset_zero,10k,B2,FIXJACK1,0.008103,gr3_10k_bm20ms,B2,SOPRA
g3_prima_offset_zero,10k,B2,FIXJACK2,0.008103,gr3_10k_bm20ms,B2,SOPRA
g3_prima_offset_zero,10k,B2,MAINJACK,0.02046,gr3_10k_bm20ms,B2,SOPRA
g3_prima_offset_zero,10k,C,FIXJACK1,0.9806,gr3_10k_bm20ms,C2_ins,SOPRA
g3_prima_offset_zero,10k,C,FIXJACK2,0.9806,gr3_10k_bm20ms,C2_ins,SOPRA
g3_prima_offset_zero,10k,C,MAINJACK,3.248,gr3_10k_bm20ms,C2_ins,SOPRA
g3_prima_offset_zero,10k,C1,FIXJACK1,0.9806,gr3_10k_bm20ms,C1_ins,SOPRA
g3_prima_offset_zero,10k,C1,FIXJACK2,0.9806,gr3_10k_bm20ms,C1_ins,SOPRA
g3_prima_offset_zero,10k,C1,MAINJACK,3.25,gr3_10k_bm20ms,C1_ins,SOPRA
g3_prima_offset_zero,10k,C_pav,FIXJACK1,0.0001947,gr3_10k_bmmai,C_pav,sotto
g3_prima_offset_zero,10k,C_pav,FIXJACK2,0.0001947,gr3_10k_bmmai,C_pav,sotto
g3_prima_offset_zero,10k,C_pav,MAINJACK,0.001278,gr3_10k_bmmai,C_pav,SOPRA
g4_serie,100k,A,FIXJACK1,1.287e-11,gr4_100k_lz3s,A_ins,sotto
g4_serie,100k,A,FIXJACK2,1.29e-11,gr4_100k_lz3s,A_ins,sotto
g4_serie,100k,A,MAINJACK,1.807e-11,gr4_100k_lz1s,A_ins,sotto
g4_serie,100k,A_musica,FIXJACK1,4.062,gr4_100k_b20,A_ins,SOPRA
g4_serie,100k,A_musica,FIXJACK2,4.062,gr4_100k_b20,A_ins,SOPRA
g4_serie,100k,A_musica,MAINJACK,12.79,gr4_100k_b20,A_ins,SOPRA
g4_serie,100k,B1,FIXJACK1,6.289e-07,gr4_100k_bmsempre,B1,sotto
g4_serie,100k,B1,FIXJACK2,6.289e-07,gr4_100k_bmsempre,B1,sotto
g4_serie,100k,B1,MAINJACK,1.652e-06,gr4_100k_bmsempre,B1,sotto
g4_serie,100k,B2,FIXJACK1,2.349e-06,gr4_100k_bm20ms,B2,sotto
g4_serie,100k,B2,FIXJACK2,2.349e-06,gr4_100k_bm20ms,B2,sotto
g4_serie,100k,B2,MAINJACK,9.141e-06,gr4_100k_bm20ms,B2,sotto
g4_serie,100k,C,FIXJACK1,0.9829,gr4_100k_bm20ms,C2_ins,SOPRA
g4_serie,100k,C,FIXJACK2,0.9829,gr4_100k_bm20ms,C2_ins,SOPRA
g4_serie,100k,C,MAINJACK,3.072,gr4_100k_bm20ms,C2_ins,SOPRA
g4_serie,100k,C1,FIXJACK1,0.9829,gr4_100k_bm20ms,C1_ins,SOPRA
g4_serie,100k,C1,FIXJACK2,0.9829,gr4_100k_bm20ms,C1_ins,SOPRA
g4_serie,100k,C1,MAINJACK,3.072,gr4_100k_bm20ms,C1_ins,SOPRA
g4_serie,100k,C_pav,FIXJACK1,0.0001355,gr4_100k_bmmai,C_pav,sotto
g4_serie,100k,C_pav,FIXJACK2,0.0001355,gr4_100k_bmmai,C_pav,sotto
g4_serie,100k,C_pav,MAINJACK,0.001098,gr4_100k_bmmai,C_pav,SOPRA
g4_serie,10k,A,FIXJACK1,5.224e-12,gr4_10k_lz200ms,A_rel,sotto
g4_serie,10k,A,FIXJACK2,5.154e-12,gr4_10k_lz1s,A_rel,sotto
g4_serie,10k,A,MAINJACK,1.603e-11,gr4_10k_lz200ms,A_rel,sotto
g4_serie,10k,A_musica,FIXJACK1,4.015,gr4_10k_bm20ms,A_ins,SOPRA
g4_serie,10k,A_musica,FIXJACK2,4.015,gr4_10k_bm20ms,A_ins,SOPRA
g4_serie,10k,A_musica,MAINJACK,12.65,gr4_10k_bm20ms,A_ins,SOPRA
g4_serie,10k,B1,FIXJACK1,7.468e-08,gr4_10k_bmsempre,B1,sotto
g4_serie,10k,B1,FIXJACK2,7.468e-08,gr4_10k_bmsempre,B1,sotto
g4_serie,10k,B1,MAINJACK,2.298e-07,gr4_10k_bmsempre,B1,sotto
g4_serie,10k,B2,FIXJACK1,1.527e-06,gr4_10k_bm20ms,B2,sotto
g4_serie,10k,B2,FIXJACK2,1.527e-06,gr4_10k_bm20ms,B2,sotto
g4_serie,10k,B2,MAINJACK,4.705e-06,gr4_10k_bm20ms,B2,sotto
g4_serie,10k,C,FIXJACK1,0.9822,gr4_10k_bm20ms,C2_rel,SOPRA
g4_serie,10k,C,FIXJACK2,0.9822,gr4_10k_bm20ms,C2_rel,SOPRA
g4_serie,10k,C,MAINJACK,3.092,gr4_10k_bm20ms,C2_rel,SOPRA
g4_serie,10k,C1,FIXJACK1,0.9821,gr4_10k_bm20ms,C1_ins,SOPRA
g4_serie,10k,C1,FIXJACK2,0.9821,gr4_10k_bm20ms,C1_ins,SOPRA
g4_serie,10k,C1,MAINJACK,3.091,gr4_10k_bm20ms,C1_ins,SOPRA
g4_serie,10k,C_pav,FIXJACK1,0.0001214,gr4_10k_bmmai,C_pav,sotto
g4_serie,10k,C_pav,FIXJACK2,0.0001214,gr4_10k_bmmai,C_pav,sotto
g4_serie,10k,C_pav,MAINJACK,0.001053,gr4_10k_bmmai,C_pav,SOPRA
