variante,rl,grandezza,uscita,picco_max_V,cella,da,esito
v0_dopo,100k,A,FIXJACK1,1.008e-11,var0_100k_lz,A_ins,sotto
v0_dopo,100k,A,FIXJACK2,1.035e-11,var0_100k_lz,A_ins,sotto
v0_dopo,100k,A,MAINJACK,2.193e-11,var0_100k_lz,A_ins,sotto
v0_dopo,100k,A_musica,FIXJACK1,3.876,var0_100k_bm,A_rel,SOPRA
v0_dopo,100k,A_musica,FIXJACK2,3.876,var0_100k_bm,A_rel,SOPRA
v0_dopo,100k,A_musica,MAINJACK,12.11,var0_100k_bm,A_rel,SOPRA
v0_dopo,100k,B1,FIXJACK1,0.006576,var0_100k_bmsempre,B1,SOPRA
v0_dopo,100k,B1,FIXJACK2,0.006576,var0_100k_bmsempre,B1,SOPRA
v0_dopo,100k,B1,MAINJACK,0.02009,var0_100k_bmsempre,B1,SOPRA
v0_dopo,100k,B2,FIXJACK1,0.01096,var0_100k_bm,B2,SOPRA
v0_dopo,100k,B2,FIXJACK2,0.01096,var0_100k_bm,B2,SOPRA
v0_dopo,100k,B2,MAINJACK,0.03303,var0_100k_bm,B2,SOPRA
v0_dopo,100k,C,FIXJACK1,3.367,var0_100k_bmzero,C2_ins,SOPRA
v0_dopo,100k,C,FIXJACK2,3.367,var0_100k_bmzero,C2_ins,SOPRA
v0_dopo,100k,C,MAINJACK,10.37,var0_100k_bmzero,C2_ins,SOPRA
v0_dopo,100k,C1,FIXJACK1,3.367,var0_100k_bmzero,C1_ins,SOPRA
v0_dopo,100k,C1,FIXJACK2,3.367,var0_100k_bmzero,C1_ins,SOPRA
v0_dopo,100k,C1,MAINJACK,10.37,var0_100k_bmzero,C1_ins,SOPRA
v0_dopo,100k,C_pav,FIXJACK1,0.0001878,var0_100k_bmmai,C_pav,sotto
v0_dopo,100k,C_pav,FIXJACK2,0.0001878,var0_100k_bmmai,C_pav,sotto
v0_dopo,100k,C_pav,MAINJACK,0.00127,var0_100k_bmmai,C_pav,SOPRA
v0_dopo,10k,A,FIXJACK1,5.211e-12,var0_10k_lz,A_rel,sotto
v0_dopo,10k,A,FIXJACK2,4.713e-12,var0_10k_lz,A_rel,sotto
v0_dopo,10k,A,MAINJACK,1.575e-11,var0_10k_lz,A_rel,sotto
v0_dopo,10k,A_musica,FIXJACK1,3.867,var0_10k_bm,A_rel,SOPRA
v0_dopo,10k,A_musica,FIXJACK2,3.867,var0_10k_bm,A_rel,SOPRA
v0_dopo,10k,A_musica,MAINJACK,12.07,var0_10k_bm,A_rel,SOPRA
v0_dopo,10k,B1,FIXJACK1,0.006576,var0_10k_bmsempre,B1,SOPRA
v0_dopo,10k,B1,FIXJACK2,0.006576,var0_10k_bmsempre,B1,SOPRA
v0_dopo,10k,B1,MAINJACK,0.02009,var0_10k_bmsempre,B1,SOPRA
v0_dopo,10k,B2,FIXJACK1,0.01097,var0_10k_bm,B2,SOPRA
v0_dopo,10k,B2,FIXJACK2,0.01097,var0_10k_bm,B2,SOPRA
v0_dopo,10k,B2,MAINJACK,0.03309,var0_10k_bm,B2,SOPRA
v0_dopo,10k,C,FIXJACK1,3.029,var0_10k_bm,C2_ins,SOPRA
v0_dopo,10k,C,FIXJACK2,3.029,var0_10k_bm,C2_ins,SOPRA
v0_dopo,10k,C,MAINJACK,8.795,var0_10k_bm,C2_ins,SOPRA
v0_dopo,10k,C1,FIXJACK1,3.029,var0_10k_bm,C1_ins,SOPRA
v0_dopo,10k,C1,FIXJACK2,3.029,var0_10k_bm,C1_ins,SOPRA
v0_dopo,10k,C1,MAINJACK,8.793,var0_10k_bm,C1_ins,SOPRA
v0_dopo,10k,C_pav,FIXJACK1,0.0001543,var0_10k_bmmai,C_pav,sotto
v0_dopo,10k,C_pav,FIXJACK2,0.0001543,var0_10k_bmmai,C_pav,sotto
v0_dopo,10k,C_pav,MAINJACK,0.00104,var0_10k_bmmai,C_pav,SOPRA
v1_prima,100k,A,FIXJACK1,0.03523,var1_100k_lz,A_ins,SOPRA
v1_prima,100k,A,FIXJACK2,0.03523,var1_100k_lz,A_ins,SOPRA
v1_prima,100k,A,MAINJACK,0.111,var1_100k_lz,A_ins,SOPRA
v1_prima,100k,A_musica,FIXJACK1,4.042,var1_100k_bm,A_ins,SOPRA
v1_prima,100k,A_musica,FIXJACK2,4.042,var1_100k_bm,A_ins,SOPRA
v1_prima,100k,A_musica,MAINJACK,12.73,var1_100k_bm,A_ins,SOPRA
v1_prima,100k,B1,FIXJACK1,0.008091,var1_100k_bmsempre,B1,SOPRA
v1_prima,100k,B1,FIXJACK2,0.008091,var1_100k_bmsempre,B1,SOPRA
v1_prima,100k,B1,MAINJACK,0.01974,var1_100k_bmsempre,B1,SOPRA
v1_prima,100k,B2,FIXJACK1,0.01614,var1_100k_bm,B2,SOPRA
v1_prima,100k,B2,FIXJACK2,0.01614,var1_100k_bm,B2,SOPRA
v1_prima,100k,B2,MAINJACK,0.04536,var1_100k_bm,B2,SOPRA
v1_prima,100k,C,FIXJACK1,2.248,var1_100k_bm,C2_ins,SOPRA
v1_prima,100k,C,FIXJACK2,2.248,var1_100k_bm,C2_ins,SOPRA
v1_prima,100k,C,MAINJACK,7.077,var1_100k_bm,C2_ins,SOPRA
v1_prima,100k,C1,FIXJACK1,2.248,var1_100k_bm,C1_ins,SOPRA
v1_prima,100k,C1,FIXJACK2,2.248,var1_100k_bm,C1_ins,SOPRA
v1_prima,100k,C1,MAINJACK,7.075,var1_100k_bm,C1_ins,SOPRA
v1_prima,100k,C_pav,FIXJACK1,0.0001878,var1_100k_bmmai,C_pav,sotto
v1_prima,100k,C_pav,FIXJACK2,0.0001878,var1_100k_bmmai,C_pav,sotto
v1_prima,100k,C_pav,MAINJACK,0.00127,var1_100k_bmmai,C_pav,SOPRA
v1_prima,10k,A,FIXJACK1,0.03522,var1_10k_lz,A_ins,SOPRA
v1_prima,10k,A,FIXJACK2,0.03522,var1_10k_lz,A_ins,SOPRA
v1_prima,10k,A,MAINJACK,0.1109,var1_10k_lz,A_ins,SOPRA
v1_prima,10k,A_musica,FIXJACK1,4.032,var1_10k_bm,A_ins,SOPRA
v1_prima,10k,A_musica,FIXJACK2,4.032,var1_10k_bm,A_ins,SOPRA
v1_prima,10k,A_musica,MAINJACK,12.69,var1_10k_bm,A_ins,SOPRA
v1_prima,10k,B1,FIXJACK1,0.008091,var1_10k_bmsempre,B1,SOPRA
v1_prima,10k,B1,FIXJACK2,0.008091,var1_10k_bmsempre,B1,SOPRA
v1_prima,10k,B1,MAINJACK,0.01978,var1_10k_bmsempre,B1,SOPRA
v1_prima,10k,B2,FIXJACK1,0.01732,var1_10k_bm,B2,SOPRA
v1_prima,10k,B2,FIXJACK2,0.01732,var1_10k_bm,B2,SOPRA
v1_prima,10k,B2,MAINJACK,0.04905,var1_10k_bm,B2,SOPRA
v1_prima,10k,C,FIXJACK1,2.246,var1_10k_bm,C2_ins,SOPRA
v1_prima,10k,C,FIXJACK2,2.246,var1_10k_bm,C2_ins,SOPRA
v1_prima,10k,C,MAINJACK,7.067,var1_10k_bm,C2_ins,SOPRA
v1_prima,10k,C1,FIXJACK1,2.246,var1_10k_bm,C1_ins,SOPRA
v1_prima,10k,C1,FIXJACK2,2.246,var1_10k_bm,C1_ins,SOPRA
v1_prima,10k,C1,MAINJACK,7.065,var1_10k_bm,C1_ins,SOPRA
v1_prima,10k,C_pav,FIXJACK1,0.0001543,var1_10k_bmmai,C_pav,sotto
v1_prima,10k,C_pav,FIXJACK2,0.0001543,var1_10k_bmmai,C_pav,sotto
v1_prima,10k,C_pav,MAINJACK,0.00104,var1_10k_bmmai,C_pav,SOPRA
v2_entrambi,100k,A,FIXJACK1,0.0353,var2_100k_lz,A_rel,SOPRA
v2_entrambi,100k,A,FIXJACK2,0.0353,var2_100k_lz,A_rel,SOPRA
v2_entrambi,100k,A,MAINJACK,0.1112,var2_100k_lz,A_rel,SOPRA
v2_entrambi,100k,A_musica,FIXJACK1,4.076,var2_100k_bm,A_ins,SOPRA
v2_entrambi,100k,A_musica,FIXJACK2,4.076,var2_100k_bm,A_ins,SOPRA
v2_entrambi,100k,A_musica,MAINJACK,12.84,var2_100k_bm,A_ins,SOPRA
v2_entrambi,100k,B1,FIXJACK1,2.39e-05,var2_100k_bmsempre,B1,sotto
v2_entrambi,100k,B1,FIXJACK2,2.39e-05,var2_100k_bmsempre,B1,sotto
v2_entrambi,100k,B1,MAINJACK,7.563e-05,var2_100k_bmsempre,B1,sotto
v2_entrambi,100k,B2,FIXJACK1,0.002215,var2_100k_bm,B2,SOPRA
v2_entrambi,100k,B2,FIXJACK2,0.002215,var2_100k_bm,B2,SOPRA
v2_entrambi,100k,B2,MAINJACK,0.007025,var2_100k_bm,B2,SOPRA
v2_entrambi,100k,C,FIXJACK1,2.28,var2_100k_bm,C2_ins,SOPRA
v2_entrambi,100k,C,FIXJACK2,2.28,var2_100k_bm,C2_ins,SOPRA
v2_entrambi,100k,C,MAINJACK,7.178,var2_100k_bm,C2_ins,SOPRA
v2_entrambi,100k,C1,FIXJACK1,2.28,var2_100k_bm,C1_ins,SOPRA
v2_entrambi,100k,C1,FIXJACK2,2.28,var2_100k_bm,C1_ins,SOPRA
v2_entrambi,100k,C1,MAINJACK,7.178,var2_100k_bm,C1_ins,SOPRA
v2_entrambi,100k,C_pav,FIXJACK1,0.0001878,var2_100k_bmmai,C_pav,sotto
v2_entrambi,100k,C_pav,FIXJACK2,0.0001878,var2_100k_bmmai,C_pav,sotto
v2_entrambi,100k,C_pav,MAINJACK,0.00127,var2_100k_bmmai,C_pav,SOPRA
v2_entrambi,10k,A,FIXJACK1,0.03511,var2_10k_lz,A_rel,SOPRA
v2_entrambi,10k,A,FIXJACK2,0.03511,var2_10k_lz,A_rel,SOPRA
v2_entrambi,10k,A,MAINJACK,0.1106,var2_10k_lz,A_rel,SOPRA
v2_entrambi,10k,A_musica,FIXJACK1,4.048,var2_10k_bm,A_ins,SOPRA
v2_entrambi,10k,A_musica,FIXJACK2,4.048,var2_10k_bm,A_ins,SOPRA
v2_entrambi,10k,A_musica,MAINJACK,12.75,var2_10k_bm,A_ins,SOPRA
v2_entrambi,10k,B1,FIXJACK1,2.39e-05,var2_10k_bmsempre,B1,sotto
v2_entrambi,10k,B1,FIXJACK2,2.39e-05,var2_10k_bmsempre,B1,sotto
v2_entrambi,10k,B1,MAINJACK,7.563e-05,var2_10k_bmsempre,B1,sotto
v2_entrambi,10k,B2,FIXJACK1,0.002201,var2_10k_bm,B2,SOPRA
v2_entrambi,10k,B2,FIXJACK2,0.002201,var2_10k_bm,B2,SOPRA
v2_entrambi,10k,B2,MAINJACK,0.006964,var2_10k_bm,B2,SOPRA
v2_entrambi,10k,C,FIXJACK1,2.259,var2_10k_bm,C2_ins,SOPRA
v2_entrambi,10k,C,FIXJACK2,2.259,var2_10k_bm,C2_ins,SOPRA
v2_entrambi,10k,C,MAINJACK,7.114,var2_10k_bm,C2_ins,SOPRA
v2_entrambi,10k,C1,FIXJACK1,2.259,var2_10k_bm,C1_ins,SOPRA
v2_entrambi,10k,C1,FIXJACK2,2.259,var2_10k_bm,C1_ins,SOPRA
v2_entrambi,10k,C1,MAINJACK,7.114,var2_10k_bm,C1_ins,SOPRA
v2_entrambi,10k,C_pav,FIXJACK1,0.0001543,var2_10k_bmmai,C_pav,sotto
v2_entrambi,10k,C_pav,FIXJACK2,0.0001543,var2_10k_bmmai,C_pav,sotto
v2_entrambi,10k,C_pav,MAINJACK,0.00104,var2_10k_bmmai,C_pav,SOPRA
v3_prima_offset_zero,100k,A,FIXJACK1,1.317e-08,var3_100k_lz,A_ins,sotto
v3_prima_offset_zero,100k,A,FIXJACK2,1.317e-08,var3_100k_lz,A_ins,sotto
v3_prima_offset_zero,100k,A,MAINJACK,8.026e-08,var3_100k_lz,A_ins,sotto
v3_prima_offset_zero,100k,A_musica,FIXJACK1,4.039,var3_100k_bm,A_ins,SOPRA
v3_prima_offset_zero,100k,A_musica,FIXJACK2,4.039,var3_100k_bm,A_ins,SOPRA
v3_prima_offset_zero,100k,A_musica,MAINJACK,12.72,var3_100k_bm,A_ins,SOPRA
v3_prima_offset_zero,100k,B1,FIXJACK1,0.008091,var3_100k_bmsempre,B1,SOPRA
v3_prima_offset_zero,100k,B1,FIXJACK2,0.008091,var3_100k_bmsempre,B1,SOPRA
v3_prima_offset_zero,100k,B1,MAINJACK,0.01982,var3_100k_bmsempre,B1,SOPRA
v3_prima_offset_zero,100k,B2,FIXJACK1,0.01028,var3_100k_bm,B2,SOPRA
v3_prima_offset_zero,100k,B2,FIXJACK2,0.01028,var3_100k_bm,B2,SOPRA
v3_prima_offset_zero,100k,B2,MAINJACK,0.02685,var3_100k_bm,B2,SOPRA
v3_prima_offset_zero,100k,C,FIXJACK1,2.245,var3_100k_bm,C2_ins,SOPRA
v3_prima_offset_zero,100k,C,FIXJACK2,2.245,var3_100k_bm,C2_ins,SOPRA
v3_prima_offset_zero,100k,C,MAINJACK,7.073,var3_100k_bm,C2_ins,SOPRA
v3_prima_offset_zero,100k,C1,FIXJACK1,2.245,var3_100k_bm,C1_ins,SOPRA
v3_prima_offset_zero,100k,C1,FIXJACK2,2.245,var3_100k_bm,C1_ins,SOPRA
v3_prima_offset_zero,100k,C1,MAINJACK,7.071,var3_100k_bm,C1_ins,SOPRA
v3_prima_offset_zero,100k,C_pav,FIXJACK1,0.0001912,var3_100k_bmmai,C_pav,sotto
v3_prima_offset_zero,100k,C_pav,FIXJACK2,0.0001912,var3_100k_bmmai,C_pav,sotto
v3_prima_offset_zero,100k,C_pav,MAINJACK,0.001244,var3_100k_bmmai,C_pav,SOPRA
v3_prima_offset_zero,10k,A,FIXJACK1,1.316e-08,var3_10k_lz,A_ins,sotto
v3_prima_offset_zero,10k,A,FIXJACK2,1.316e-08,var3_10k_lz,A_ins,sotto
v3_prima_offset_zero,10k,A,MAINJACK,8.023e-08,var3_10k_lz,A_ins,sotto
v3_prima_offset_zero,10k,A_musica,FIXJACK1,4.023,var3_10k_bm,A_ins,SOPRA
v3_prima_offset_zero,10k,A_musica,FIXJACK2,4.023,var3_10k_bm,A_ins,SOPRA
v3_prima_offset_zero,10k,A_musica,MAINJACK,12.67,var3_10k_bm,A_ins,SOPRA
v3_prima_offset_zero,10k,B1,FIXJACK1,0.008091,var3_10k_bmsempre,B1,SOPRA
v3_prima_offset_zero,10k,B1,FIXJACK2,0.008091,var3_10k_bmsempre,B1,SOPRA
v3_prima_offset_zero,10k,B1,MAINJACK,0.01986,var3_10k_bmsempre,B1,SOPRA
v3_prima_offset_zero,10k,B2,FIXJACK1,0.01076,var3_10k_bm,B2,SOPRA
v3_prima_offset_zero,10k,B2,FIXJACK2,0.01076,var3_10k_bm,B2,SOPRA
v3_prima_offset_zero,10k,B2,MAINJACK,0.0284,var3_10k_bm,B2,SOPRA
v3_prima_offset_zero,10k,C,FIXJACK1,2.243,var3_10k_bm,C2_ins,SOPRA
v3_prima_offset_zero,10k,C,FIXJACK2,2.243,var3_10k_bm,C2_ins,SOPRA
v3_prima_offset_zero,10k,C,MAINJACK,7.081,var3_10k_bm,C2_ins,SOPRA
v3_prima_offset_zero,10k,C1,FIXJACK1,2.243,var3_10k_bm,C1_ins,SOPRA
v3_prima_offset_zero,10k,C1,FIXJACK2,2.243,var3_10k_bm,C1_ins,SOPRA
v3_prima_offset_zero,10k,C1,MAINJACK,7.078,var3_10k_bm,C1_ins,SOPRA
v3_prima_offset_zero,10k,C_pav,FIXJACK1,0.0001947,var3_10k_bmmai,C_pav,sotto
