cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel
p_mai_1k_10u,p_mai_1k_10u.dat,nessuna,1000,3.818,10,100k,1.0,1.1,3.0,10e-6,rif_mai,-,-
p_mai_1k_5u,p_mai_1k_5u.dat,nessuna,1000,3.818,10,100k,1.0,1.1,3.0,5e-6,rif_mai,-,-
pav_num_1k,p_mai_1k_5u.dat,nessuna,1000,3.818,10,100k,1.0,3.0,3.0,5e-6,pav_num,p_mai_1k_10u,-
p_mai_20_10u,p_mai_20_10u.dat,nessuna,20,3.818,10,100k,1.0,1.1,3.0,10e-6,rif_mai,-,-
p_mai_20_5u,p_mai_20_5u.dat,nessuna,20,3.818,10,100k,1.0,1.1,3.0,5e-6,rif_mai,-,-
pav_num_20,p_mai_20_5u.dat,nessuna,20,3.818,10,100k,1.0,3.0,3.0,5e-6,pav_num,p_mai_20_10u,-
p_mai_20k_05u,p_mai_20k_05u.dat,nessuna,20000,3.818,10,100k,0.45,0.5,0.7,0.5e-6,rif_mai,-,-
p_mai_20k_025u,p_mai_20k_025u.dat,nessuna,20000,3.818,10,100k,0.45,0.5,0.7,0.25e-6,rif_mai,-,-
pav_num_20k,p_mai_20k_025u.dat,nessuna,20000,3.818,10,100k,0.45,0.7,0.7,0.25e-6,pav_num,p_mai_20k_05u,-
p_mai_1k_10k,p_mai_1k_10k.dat,nessuna,1000,3.818,10,10k,1.0,1.1,1.5,10e-6,rif_mai,-,-
p_mai_1k_0db,p_mai_1k_0db.dat,nessuna,1000,3.818,0,100k,1.0,1.1,1.5,10e-6,rif_mai,-,-
pav_nullo_1k_10u,p_nullo_1k_10u.dat,nessuna,1000,3.818,10,100k,1.0,3.0,3.0,10e-6,pav_num,p_mai_1k_10u,-
pav_nullo_1k_5u,p_nullo_1k_5u.dat,nessuna,1000,3.818,10,100k,1.0,3.0,3.0,5e-6,pav_num,p_mai_1k_5u,-
p_mai_1k_r7,p_mai_1k_r7.dat,nessuna,1000,3.818,10,100k,1.0,1.1,3.0,10e-6,rif_mai,-,-
pav_nullo_1k_r7,p_nullo_1k_r7.dat,nessuna,1000,3.818,10,100k,1.0,3.0,3.0,10e-6,pav_num,p_mai_1k_r7,-
pav_nullo_20_10u,p_nullo_20_10u.dat,nessuna,20,3.818,10,100k,1.0,3.0,3.0,10e-6,pav_num,p_mai_20_10u,-
pav_nullo_20k_05u,p_nullo_20k_05u.dat,nessuna,20000,3.818,10,100k,0.45,0.7,0.7,0.5e-6,pav_num,p_mai_20k_05u,-
pav_nullo_1k_10k,p_nullo_1k_10k.dat,nessuna,1000,3.818,10,10k,1.0,1.5,1.5,10e-6,pav_num,p_mai_1k_10k,-
