variante,vto_v,idss_25c_a,idss_27c_a
A_come_e,-1.130,2.592830e-03,2.591880e-03
A_tip,-1.696,5.502500e-03,5.487110e-03
B_min,-2.086,8.004840e-03,7.976160e-03
B_tip,-2.557,1.149940e-02,1.145200e-02
B_max,-2.976,1.499650e-02,1.493060e-02
