deck,tabella,gruppo,pm_min_prima,pm_min_dopo,delta,t10hz_prima_db,t10hz_dopo_db,cella_del_minimo_dopo,v1
tb_loop,tb_loop_margini.csv,0db/1,55.547,62.0762,6.529200000000003,81.4173,81.187,"rsrc=2.611k,cprobe=4.7n,rload=100k",OK
tb_loop,tb_loop_margini.csv,0db/2,28.5744,57.9922,29.417799999999996,81.4173,81.1869,"rsrc=2.611k,cprobe=4.7n,rload=100k",SOTTO 60
tb_loop,tb_loop_margini.csv,10db/1,100.19,96.6553,-3.534700000000001,70.4452,70.2591,"rsrc=2.611k,cprobe=4.7n,rload=100k",OK
tb_loop,tb_loop_margini.csv,10db/2,93.1762,96.5764,3.4002000000000123,70.4451,70.0906,"rsrc=2.611k,cprobe=4.7n,rload=10k",OK
tb_loop,tb_loop_margini.csv,3db/1,63.9007,76.1971,12.296400000000006,77.9231,77.7137,"rsrc=2.611k,cprobe=4.7n,rload=100k",OK
tb_loop,tb_loop_margini.csv,3db/2,35.2888,73.1141,37.82529999999999,77.923,77.7137,"rsrc=2.611k,cprobe=4.7n,rload=100k",OK
tb_idss_loop,tb_idss_loop_margini.csv,a_come_e/1,55.547,62.0762,6.529200000000003,81.4173,81.187,"rsrc=2.611k,cprobe=4.7n,rload=100k",OK
tb_idss_loop,tb_idss_loop_margini.csv,b_max/1,55.871,62.2447,6.3736999999999995,81.3936,81.1634,"rsrc=2.611k,cprobe=4.7n,rload=100k",OK
tb_idss_loop,tb_idss_loop_margini.csv,b_min/1,55.764,62.186,6.421999999999997,81.4051,81.1748,"rsrc=2.611k,cprobe=4.7n,rload=100k",OK
tb_idss_loop,tb_idss_loop_margini.csv,b_tip/1,55.8261,62.2195,6.3934,81.399,81.1688,"rsrc=2.611k,cprobe=4.7n,rload=100k",OK
tb_idss_loop,tb_idss_loop_margini.csv,xa/1,54.468,61.2019,6.733899999999998,81.7745,81.5441,"rsrc=2.611k,cprobe=4.7n,rload=100k",OK
tb_loop_blockA,tb_loop_blockA.csv,1,20.6477,58.1196,37.4719,81.2161,80.9956,"rsrc=430,cwire=4.7n",SOTTO 60
tb_loop_blockA,tb_loop_blockA.csv,2,20.8158,58.1474,37.331599999999995,81.1203,80.9033,"rsrc=430,cwire=4.7n",SOTTO 60
tb_loop_blockA,tb_loop_blockA.csv (cwire<=1n),1/1m,58.0692,67.7458,9.6766,81.2162,80.9957,cwire=1n,OK
tb_loop_blockA,tb_loop_blockA.csv (cwire<=1n),1/430,57.9319,67.6833,9.751400000000004,81.2162,80.9957,cwire=1n,OK
tb_loop_blockA,tb_loop_blockA.csv (cwire<=1n),2/1m,58.1011,67.7577,9.656599999999997,81.1203,80.9035,cwire=1n,OK
tb_loop_blockA,tb_loop_blockA.csv (cwire<=1n),2/430,57.9639,67.6952,9.731299999999997,81.1203,80.9035,cwire=1n,OK
tb_loop_blockA,tb_loop_blockA_trim.csv,1/0,23.2692,58.5196,35.2504,79.4132,79.2631,"rsrc=430,cwire=4.7n",SOTTO 60
tb_loop_blockA,tb_loop_blockA_trim.csv,1/12,64.7906,70.0374,5.2468000000000075,79.5881,79.4324,"rsrc=430,cwire=2.2n",OK
tb_loop_blockA,tb_loop_blockA_trim.csv,1/6,64.4691,69.8005,5.331400000000002,79.5514,79.3969,"rsrc=430,cwire=1n",OK
tb_loop_blockA,tb_loop_blockA_trim.csv,2/0,22.4684,58.38,35.91160000000001,80.0182,79.8475,"rsrc=430,cwire=4.7n",SOTTO 60
tb_loop_blockA,tb_loop_blockA_trim.csv,2/12,64.8809,70.058,5.17710000000001,80.2056,80.028,"rsrc=430,cwire=1n",OK
tb_loop_blockA,tb_loop_blockA_trim.csv,2/6,64.6532,69.9104,5.257199999999997,80.166,79.9898,"rsrc=430,cwire=1n",OK
tb_loop_bufferfissa,tb_loop_bufferfissa.csv,1,54.9194,63.2143,8.294899999999998,81.3997,81.1699,"rld=50k,cprobe=4.7n",OK
tb_loop_bufferfissa,tb_loop_bufferfissa.csv,2,20.6334,58.156,37.5226,81.3996,81.1698,"rld=50k,cprobe=4.7n",SOTTO 60
