var,cfg,onoise_total_v,inoise_total_v
a_come_e,a_0db_1r,1.17616E-06,1.17694E-06
a_come_e,b_0db_430r,1.23498E-06,1.23633E-06
a_come_e,c_0db_2500r,1.48588E-06,1.49058E-06
a_come_e,d_10db_2500r,4.27047E-06,1.36677E-06
a_come_e,e_3db_2500r,2.03288E-06,1.43766E-06
a_come_e_kf0,a_0db_1r,1.17558E-06,1.17636E-06
a_come_e_kf0,b_0db_430r,1.23443E-06,1.23578E-06
a_come_e_kf0,c_0db_2500r,1.48543E-06,1.49012E-06
a_come_e_kf0,d_10db_2500r,4.26889E-06,1.36627E-06
a_come_e_kf0,e_3db_2500r,2.0322E-06,1.43718E-06
a_tip,a_0db_1r,1.17667E-06,1.17745E-06
a_tip,b_0db_430r,1.23547E-06,1.23682E-06
a_tip,c_0db_2500r,1.48629E-06,1.49099E-06
a_tip,d_10db_2500r,4.27181E-06,1.36721E-06
a_tip,e_3db_2500r,2.03347E-06,1.43808E-06
b_min,a_0db_1r,1.17702E-06,1.17781E-06
b_min,b_0db_430r,1.2358E-06,1.23716E-06
b_min,c_0db_2500r,1.48656E-06,1.49127E-06
b_min,d_10db_2500r,4.27274E-06,1.36752E-06
b_min,e_3db_2500r,2.03388E-06,1.43837E-06
b_tip,a_0db_1r,1.17745E-06,1.17823E-06
b_tip,b_0db_430r,1.23621E-06,1.23757E-06
b_tip,c_0db_2500r,1.4869E-06,1.49161E-06
b_tip,d_10db_2500r,4.27388E-06,1.36789E-06
b_tip,e_3db_2500r,2.03437E-06,1.43872E-06
b_max,a_0db_1r,1.17783E-06,1.17862E-06
b_max,b_0db_430r,1.23658E-06,1.23793E-06
b_max,c_0db_2500r,1.4872E-06,1.49191E-06
b_max,d_10db_2500r,4.27489E-06,1.36822E-06
b_max,e_3db_2500r,2.03481E-06,1.43904E-06
a_ripristinato,a_0db_1r,1.17616E-06,1.17694E-06
a_ripristinato,b_0db_430r,1.23498E-06,1.23633E-06
a_ripristinato,c_0db_2500r,1.48588E-06,1.49058E-06
a_ripristinato,d_10db_2500r,4.27047E-06,1.36677E-06
a_ripristinato,e_3db_2500r,2.03288E-06,1.43766E-06
xa,a_0db_1r,1.14864E-06,1.14942E-06
xa,b_0db_430r,1.2088E-06,1.21014E-06
xa,c_0db_2500r,1.46419E-06,1.46883E-06
xa,d_10db_2500r,4.19744E-06,1.343E-06
xa,e_3db_2500r,2.00103E-06,1.41509E-06
