col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
0.0,0.214926425,0.0,0.212560209,0.0,0.213980952,0.0,0.213521544,0.0,0.0871549545,0.0,0.0,0.0,0.0,0.0,0.0
5e-08,0.214926418,5e-08,0.212560217,5e-08,0.213980629,5e-08,0.213522138,5e-08,0.0871555728,5e-08,2.92663989e-07,5e-08,1.85726227e-05,5e-08,0.0
6.0430155e-08,0.214926427,6.0430155e-08,0.212560179,6.0430155e-08,0.213980436,6.0430155e-08,0.213522745,6.0430155e-08,0.0871558503,6.0430155e-08,-1.83051171e-07,6.0430155e-08,2.95291146e-05,6.0430155e-08,0.0
8.1290465e-08,0.214926463,8.1290465e-08,0.212559975,8.1290465e-08,0.213979884,8.1290465e-08,0.213525015,8.1290465e-08,0.0871570516,8.1290465e-08,-3.54805266e-06,8.1290465e-08,7.51602955e-05,8.1290465e-08,0.0
1.23011085e-07,0.214926596,1.23011085e-07,0.212559403,1.23011085e-07,0.213977131,1.23011085e-07,0.213533592,1.23011085e-07,0.0871659188,1.23011085e-07,-2.35383067e-05,1.23011085e-07,0.000346756301,1.23011085e-07,0.0
2.06452325e-07,0.214925674,2.06452325e-07,0.212563391,2.06452325e-07,0.213962165,2.06452325e-07,0.21355561,2.06452325e-07,0.0872093172,2.06452325e-07,7.31034674e-05,2.06452325e-07,0.0015492398,2.06452325e-07,0.0
2.9501831e-07,0.214918708,2.9501831e-07,0.212578134,2.9501831e-07,0.213937284,2.9501831e-07,0.213582617,2.9501831e-07,0.0872727721,2.9501831e-07,0.000746567039,2.9501831e-07,0.00344951294,2.9501831e-07,0.0
3.90885373e-07,0.214899832,3.90885373e-07,0.21260541,3.90885373e-07,0.213907195,3.90885373e-07,0.213614069,3.90885373e-07,0.0873357031,3.90885373e-07,0.00245134854,3.90885373e-07,0.00579262645,3.90885373e-07,0.0
5.63435825e-07,0.214838909,5.63435825e-07,0.212679519,5.63435825e-07,0.213851506,5.63435825e-07,0.213669154,5.63435825e-07,0.0874057369,5.63435825e-07,0.00793265447,5.63435825e-07,0.0100619189,5.63435825e-07,0.0
7.56528741e-07,0.214739416,7.56528741e-07,0.212789378,7.56528741e-07,0.213791218,7.56528741e-07,0.213729726,7.56528741e-07,0.0874240525,7.56528741e-07,0.0168635475,7.56528741e-07,0.0147072627,7.56528741e-07,0.0
9.72723723e-07,0.214603271,9.72723723e-07,0.212933665,9.72723723e-07,0.21372436,9.72723723e-07,0.213796993,9.72723723e-07,0.0873985883,9.72723723e-07,0.0290722239,9.72723723e-07,0.0198450525,9.72723723e-07,0.0
1.31166911e-06,0.214359637,1.31166911e-06,0.213186656,1.31166911e-06,0.213619288,1.31166911e-06,0.213902937,1.31166911e-06,0.0873073776,1.31166911e-06,0.0509108003,1.31166911e-06,0.0279322164,1.31166911e-06,0.0
1.98955987e-06,0.213820075,1.98955987e-06,0.213737183,1.98955987e-06,0.213408869,1.98955987e-06,0.214114612,1.98955987e-06,0.0870360314,1.98955987e-06,0.0991804662,1.98955987e-06,0.0441151599,1.98955987e-06,0.0
3.01680344e-06,0.21295919,3.01680344e-06,0.214605511,3.01680344e-06,0.213090149,3.01680344e-06,0.214435252,3.01680344e-06,0.0865527144,3.01680344e-06,0.176000342,3.01680344e-06,0.0686244557,3.01680344e-06,0.0
4.68397867e-06,0.21154453,4.68397867e-06,0.216018788,4.68397867e-06,0.21257248,4.68397867e-06,0.214955267,4.68397867e-06,0.0857487474,4.68397867e-06,0.301684978,4.68397867e-06,0.108404708,4.68397867e-06,0.0
