col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
0.0,0.214233801,0.0,0.213267535,0.0,0.213980952,0.0,0.213521544,0.0,0.0867043517,0.0,0.0,0.0,0.0,0.0,0.0
5e-08,0.214233796,5e-08,0.213267544,5e-08,0.213980629,5e-08,0.213522138,5e-08,0.0867049598,5e-08,2.92405434e-07,5e-08,1.85726946e-05,5e-08,0.0
6.04301e-08,0.214233805,6.04301e-08,0.213267505,6.04301e-08,0.213980436,6.04301e-08,0.213522745,6.04301e-08,0.0867052352,6.04301e-08,-1.92457159e-07,6.04301e-08,2.95289267e-05,6.04301e-08,0.0
8.12903e-08,0.214233849,8.12903e-08,0.213267294,8.12903e-08,0.213979884,8.12903e-08,0.213525015,8.12903e-08,0.0867064385,8.12903e-08,-3.64389243e-06,8.12903e-08,7.51584957e-05,8.12903e-08,0.0
1.230107e-07,0.214234038,1.230107e-07,0.213266666,1.230107e-07,0.213977132,1.230107e-07,0.213533591,1.230107e-07,0.0867154132,1.230107e-07,-2.43585813e-05,1.230107e-07,0.000346747577,1.230107e-07,0.0
2.064515e-07,0.214232754,2.064515e-07,0.213271004,2.064515e-07,0.21396216,2.064515e-07,0.213555614,2.064515e-07,0.0867575399,2.064515e-07,7.59393781e-05,2.064515e-07,0.00154924853,2.064515e-07,0.0
2.95022928e-07,0.214223726,2.95022928e-07,0.213287204,2.95022928e-07,0.213937252,2.95022928e-07,0.213582644,2.95022928e-07,0.0868106826,2.95022928e-07,0.000749358422,2.95022928e-07,0.00344970297,2.95022928e-07,0.0
3.90883973e-07,0.214201418,3.90883973e-07,0.213315201,3.90883973e-07,0.213907138,3.90883973e-07,0.213614122,3.90883973e-07,0.0868451594,3.90883973e-07,0.00231698059,3.90883973e-07,0.00579268152,3.90883973e-07,0.0
5.11692075e-07,0.214161247,5.11692075e-07,0.213358545,5.11692075e-07,0.213867927,5.11692075e-07,0.213652808,5.11692075e-07,0.086847877,5.11692075e-07,0.00511392078,5.11692075e-07,0.00879473456,5.11692075e-07,0.0
6.42530834e-07,0.214112598,6.42530834e-07,0.213407286,6.42530834e-07,0.21382668,6.42530834e-07,0.213694118,6.42530834e-07,0.0868228856,6.42530834e-07,0.0084860053,6.42530834e-07,0.011973615,6.42530834e-07,0.0
8.67943393e-07,0.214031432,8.67943393e-07,0.213487433,8.67943393e-07,0.213756732,8.67943393e-07,0.213764379,8.67943393e-07,0.0867764928,8.67943393e-07,0.0140966252,8.67943393e-07,0.0173532755,8.67943393e-07,0.0
1.0814576e-06,0.213958135,1.0814576e-06,0.213561126,1.0814576e-06,0.213690674,1.0814576e-06,0.21383101,1.0814576e-06,0.0867436692,1.0814576e-06,0.0191734387,1.0814576e-06,0.0224375711,1.0814576e-06,0.0
1.33964147e-06,0.213869223,1.33964147e-06,0.213650663,1.33964147e-06,0.213610559,1.33964147e-06,0.213911683,1.33964147e-06,0.0867063954,1.33964147e-06,0.0253259733,1.33964147e-06,0.0286020629,1.33964147e-06,0.0
1.85600921e-06,0.213690291,1.85600921e-06,0.213830559,1.85600921e-06,0.213450329,1.85600921e-06,0.214072914,1.85600921e-06,0.0866265997,1.85600921e-06,0.0377163129,1.85600921e-06,0.0409262683,1.85600921e-06,0.0
2.33976897e-06,0.213522931,2.33976897e-06,0.213998689,2.33976897e-06,0.213300257,2.33976897e-06,0.214223953,2.33976897e-06,0.0865526429,2.33976897e-06,0.0492984872,2.33976897e-06,0.0524699355,2.33976897e-06,0.0
3.30728848e-06,0.213188156,3.30728848e-06,0.214335315,3.30728848e-06,0.212999926,3.30728848e-06,0.214525884,3.30728848e-06,0.0864047236,3.30728848e-06,0.0724762596,3.30728848e-06,0.0755580902,3.30728848e-06,0.0
5.2423275e-06,0.212518575,5.2423275e-06,0.215008181,5.2423275e-06,0.21239913,5.2423275e-06,0.215129322,5.2423275e-06,0.0861083476,5.2423275e-06,0.1188217,5.2423275e-06,0.121721452,5.2423275e-06,0.0
8.19038149e-06,0.211499059,8.19038149e-06,0.216032891,8.19038149e-06,0.211483246,8.19038149e-06,0.216047248,8.19038149e-06,0.0856575064,8.19038149e-06,0.189390164,8.19038149e-06,0.192012805,8.19038149e-06,0.0
1.31903815e-05,0.209771863,1.31903815e-05,0.217768225,1.31903815e-05,0.209929496,1.31903815e-05,0.217599533,1.31903815e-05,0.0848930441,1.31903815e-05,0.308917493,1.31903815e-05,0.311053923,1.31903815e-05,0.0
