blk,modo_db,f_hz,vin_pk,k_att,caso,p_q132,p_q133,icmax_q132,icmin_q132,icmax_q133,icmin_q133,p_q122,icmax_q122,p_q125,p_q127,p_q121a,p_q121b,p_q117,p_q118,p_q106,p_jq110a,p_jq110b,p_r134,p_r135,p_r130,p_r131,p_r123,p_r126,p_rsep,p_rsep2,irms_rsep,irms_rsep2,p_q132_w1,p_q132_w2,voutpk
B,0,1000,0.4243,1,2,0.293201,0.293579,0.0201071,0.0200922,-0.0202031,-0.0202137,0.0868662,-0.00646609,0.0853009,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630864,0.0189537,0.0186018,0.00906197,0.00906197,3.83279E-07,7.56957E-08,0.00386983,0.00374981,8.93827E-10,0,4.36092E-06,0,0.293201,0.293201,0.395722
A,0,1000,0.4243,1,3,0.292254,0.293274,0.0237869,0.0164546,-0.0165628,-0.0239001,0.0867659,-0.00641339,0.0853911,0.0110712,0.00148501,0.00166045,0.00982966,0.0098169,0.0631473,0.0189231,0.0185718,0.00922098,0.00922388,3.92339E-07,7.76398E-08,0.00387026,0.00374983,4.37127E-08,0.00126004,3.04968E-05,0.00517777,0.292201,0.29223,0.409957
B,0,1000,0.4243,1,3,0.293201,0.293579,0.0201071,0.0200922,-0.0202031,-0.0202137,0.0868662,-0.00646609,0.0853009,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630864,0.0189537,0.0186018,0.00906197,0.00906197,3.83279E-07,7.56957E-08,0.00386983,0.00374981,8.93825E-10,0,4.36091E-06,0,0.293201,0.293201,0.395721
A,0,1000,0.4243,1,4,0.292898,0.293871,0.0201506,0.0200474,-0.0201704,-0.0202485,0.0867761,-0.00646562,0.0853913,0.0110717,0.00148501,0.00166044,0.00982968,0.0098169,0.0631473,0.0189231,0.0185717,0.0090615,0.00906288,3.83572E-07,7.56107E-08,0.00387,0.00374983,4.36987E-08,2.06692E-09,3.0492E-05,6.63152E-06,0.292897,0.292898,0.410065
B,0,1000,0.4243,1,4,0.292577,0.292962,0.0237521,0.0164899,-0.0165965,-0.0238635,0.0868561,-0.00641377,0.0853009,0.0110711,0.00148501,0.00166042,0.00982965,0.00981688,0.0630864,0.0189537,0.0186018,0.00921964,0.00921864,3.91953E-07,7.76863E-08,0.00387011,0.00374981,0.00125949,0,0.00517665,0,0.292506,0.292574,0.395764
A,0,1000,1.4142,1,0,0.292766,0.293771,0.0202683,0.0199242,-0.0200768,-0.0203371,0.0867647,-0.00645287,0.0853921,0.0110713,0.00148501,0.00166043,0.00982968,0.0098169,0.0631478,0.0189227,0.0185716,0.00906067,0.0090622,3.84548E-07,7.61232E-08,0.00386997,0.00374983,4.85772E-07,2.29767E-08,0.000101664,2.21103E-05,0.292766,0.292767,1.39973
B,0,1000,1.4142,1,0,0.293168,0.293573,0.020122,0.0200723,-0.0201881,-0.0202236,0.0868561,-0.00645476,0.0853017,0.0110712,0.00148501,0.0016604,0.00982968,0.00981688,0.0630868,0.0189534,0.0186016,0.00906098,0.00906098,3.84043E-07,7.61351E-08,0.00386979,0.00374981,9.93292E-09,0,1.45375E-05,0,0.293168,0.293168,1.38536
A,0,1000,1.4142,1,1,0.291592,0.293022,0.0484349,2.5016E-05,-3.06322E-05,-0.048705,0.0865615,-0.00612144,0.0853907,0.0110462,0.00148499,0.00166214,0.00982788,0.00981684,0.0631477,0.0189224,0.018572,0.0169765,0.016984,7.88748E-07,1.66486E-07,0.0038871,0.00374983,0.0139947,0.0139947,0.0172557,0.0172557,0.291301,0.29137,1.39942
B,0,1000,1.4142,1,1,0.286394,0.28701,0.0324767,0.00828113,-0.00838549,-0.0325971,0.0867438,-0.00628185,0.0853012,0.0110654,0.001485,0.00166061,0.00982941,0.00981689,0.0630867,0.0189531,0.0186019,0.0108226,0.0108205,4.8139E-07,9.87436E-08,0.00387295,0.00374981,0.0139867,0,0.0172508,0,0.286242,0.286278,1.38482
A,0,1000,1.4142,1,2,0.286058,0.287237,0.0325556,0.0082099,-0.00831514,-0.0326768,0.0866527,-0.0062809,0.0853919,0.0110655,0.00148501,0.00166066,0.0098294,0.0098169,0.0631477,0.0189225,0.0185718,0.0108456,0.0108424,4.82982E-07,9.88739E-08,0.00387319,0.00374983,0.0139983,2.2972E-08,0.017258,2.21081E-05,0.285887,0.28596,1.39954
