lato,mode,hmax,hint_v,ea_max_nv
serie_lato_sorgente,0db,9.41994E-08,7.69082E-06,1.30025E+08
serie_lato_sorgente,10db,2.94877E-07,2.41393E-05,4.14262E+07
nodo_ain,0db,5.64078E-06,0.000460536,2.17138E+06
nodo_ain,10db,1.76576E-05,0.00144549,691805
