pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,652641,71.3937,80.8744
1,10k,47p,653576,71.2073,80.8744
1,10k,100p,654588,70.9958,80.8744
1,10k,220p,656707,70.5137,80.8744
1,10k,470p,660273,69.5042,80.8744
1,10k,1n,663674,67.4434,80.8744
1,10k,1.5n,661493,65.7697,80.8745
1,10k,2.2n,651954,64.0449,80.8745
1,10k,2.7n,642532,63.2449,80.8745
1,10k,3.3n,630335,62.6605,80.8746
1,10k,4.7n,603656,62.3006,80.8747
2,10k,1f,652641,71.3937,80.8744
2,10k,47p,653603,71.2055,80.8744
2,10k,100p,654689,70.9921,80.8744
2,10k,220p,657156,70.5043,80.8744
2,10k,470p,662367,69.4654,80.8744
2,10k,1n,673717,67.157,80.8743
2,10k,1.5n,684716,64.8414,80.8743
2,10k,2.2n,700320,61.3681,80.8743
2,10k,2.7n,711385,58.7224,80.8743
2,10k,3.3n,724189,55.3811,80.8743
2,10k,4.7n,748899,47.126,80.8742
1,50k,1f,653451,71.3977,81.0563
1,50k,47p,654397,71.2094,81.0563
1,50k,100p,655422,70.9959,81.0563
1,50k,220p,657566,70.5088,81.0563
1,50k,470p,661184,69.4884,81.0563
1,50k,1n,664610,67.4063,81.0563
1,50k,1.5n,662357,65.7186,81.0563
1,50k,2.2n,652624,63.986,81.0562
1,50k,2.7n,643059,63.1864,81.0562
1,50k,3.3n,630717,62.6056,81.0562
1,50k,4.7n,603821,62.2579,81.0562
2,50k,1f,653451,71.3977,81.0563
2,50k,47p,654417,71.2091,81.0563
2,50k,100p,655509,70.9952,81.0563
2,50k,220p,657988,70.5061,81.0563
2,50k,470p,663248,69.4637,81.0562
2,50k,1n,674659,67.1486,81.0562
2,50k,1.5n,685749,64.8243,81.0562
2,50k,2.2n,701483,61.3365,81.0562
2,50k,2.7n,712662,58.6775,81.0562
2,50k,3.3n,725594,55.3184,81.0562
2,50k,4.7n,750525,47.017,81.0561
