carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,670787,68.1003,81.1466
1,1m,47p,671611,67.9205,81.1466
1,1m,100p,672540,67.7167,81.1466
1,1m,220p,674644,67.2518,81.1466
1,1m,470p,679096,66.2642,81.1466
1,1m,1n,688549,64.0934,81.1466
1,1m,2.2n,709596,58.7895,81.1466
1,1m,4.7n,743376,46.5044,81.1465
1,430,1f,670778,68.0098,81.1466
1,430,47p,671602,67.8298,81.1466
1,430,100p,672532,67.626,81.1466
1,430,220p,674635,67.1607,81.1466
1,430,470p,679087,66.1726,81.1466
1,430,1n,688539,64.0005,81.1466
1,430,2.2n,709584,58.6939,81.1466
1,430,4.7n,743363,46.4046,81.1465
2,1m,1f,670295,68.1077,81.0519
2,1m,47p,671118,67.9281,81.0519
2,1m,100p,672044,67.7246,81.0519
2,1m,220p,674142,67.2604,81.0519
2,1m,470p,678568,66.2749,81.0519
2,1m,1n,687992,64.1081,81.0519
2,1m,2.2n,708934,58.8166,81.0518
2,1m,4.7n,742566,46.5642,81.0518
2,430,1f,670286,68.0172,81.0519
2,430,47p,671108,67.8375,81.0519
2,430,100p,672035,67.634,81.0519
2,430,220p,674132,67.1695,81.0519
2,430,470p,678558,66.1834,81.0519
2,430,1n,687981,64.0153,81.0519
2,430,2.2n,708922,58.7212,81.0518
2,430,4.7n,742552,46.4645,81.0518
