cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
cinv25_1k,6,ldr_v4_td6_AA_inv25,10,1000,3.818,100k,S_ins,MAINJACK,0.05674,2.400000,20.0,regge,sotto
cinv25_1k,6,ldr_v4_td6_AA_inv25,10,1000,3.818,100k,S_rel,MAINJACK,0.05541,2.526000,20.0,regge,sotto
cinv25_1k,6,ldr_v4_td6_AA_inv25,10,1000,3.818,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_1k,6,ldr_v4_td6_AA_inv75,10,1000,3.818,100k,S_ins,MAINJACK,4.372,5.400000,20.0,regge,sotto
cinv75_1k,6,ldr_v4_td6_AA_inv75,10,1000,3.818,100k,S_rel,MAINJACK,2.229,6.644000,20.0,regge,sotto
cinv75_1k,6,ldr_v4_td6_AA_inv75,10,1000,3.818,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_1k,6,ldr_v4_td6_AA_ev,10,1000,3.818,100k,S_ins,MAINJACK,5.878,6.042000,20.0,regge,sotto
cev_1k,6,ldr_v4_td6_AA_ev,10,1000,3.818,100k,S_rel,MAINJACK,4.642,9.579000,20.0,regge,sotto
cev_1k,6,ldr_v4_td6_AA_ev,10,1000,3.818,100k,B2,MAINJACK,4.53e-07,7.526385,0.0001,regge,sotto
ch2_1k,6,ldr_v4_td6_AA_h2,10,1000,3.818,100k,S_ins,MAINJACK,5.878,6.042000,20.0,regge,sotto
ch2_1k,6,ldr_v4_td6_AA_h2,10,1000,3.818,100k,S_rel,MAINJACK,4.889,10.575000,20.0,regge,sotto
ch2_1k,6,ldr_v4_td6_AA_h2,10,1000,3.818,100k,B2,MAINJACK,4.53e-07,7.526385,0.0001,regge,sotto
cinv25_20,6,ldr_v4_td6_AA_inv25,10,20,3.818,100k,S_ins,FIXJACK1,0.0552,2.386000,20.0,regge,sotto
cinv25_20,6,ldr_v4_td6_AA_inv25,10,20,3.818,100k,S_rel,MAINJACK,0.05457,2.535000,20.0,regge,sotto
cinv25_20,6,ldr_v4_td6_AA_inv25,10,20,3.818,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_20,6,ldr_v4_td6_AA_inv75,10,20,3.818,100k,S_ins,FIXJACK1,4.272,5.389000,20.0,regge,sotto
cinv75_20,6,ldr_v4_td6_AA_inv75,10,20,3.818,100k,S_rel,MAINJACK,2.23,6.648000,20.0,regge,sotto
cinv75_20,6,ldr_v4_td6_AA_inv75,10,20,3.818,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_20,6,ldr_v4_td6_AA_ev,10,20,3.818,100k,S_ins,MAINJACK,5.876,6.040000,20.0,regge,sotto
cev_20,6,ldr_v4_td6_AA_ev,10,20,3.818,100k,S_rel,MAINJACK,4.16,9.619000,20.0,regge,sotto
cev_20,6,ldr_v4_td6_AA_ev,10,20,3.818,100k,B2,MAINJACK,1.171e-05,7.526375,0.0001,regge,sotto
ch2_20,6,ldr_v4_td6_AA_h2,10,20,3.818,100k,S_ins,MAINJACK,5.876,6.040000,20.0,regge,sotto
ch2_20,6,ldr_v4_td6_AA_h2,10,20,3.818,100k,S_rel,FIXJACK1,9.355,10.962000,20.0,regge,sotto
ch2_20,6,ldr_v4_td6_AA_h2,10,20,3.818,100k,B2,MAINJACK,1.171e-05,7.526375,0.0001,regge,sotto
cinv25_lz,6,ldr_v4_td6_AA_inv25,10,1000,0,100k,A_ins,MAINJACK,1.804e-09,1.630542,0.0001,NON REGGE,"sotto, finestra corta: non accetta"
cinv25_lz,6,ldr_v4_td6_AA_inv25,10,1000,0,100k,A_rel,MAINJACK,4.262e-07,2.500031,0.0001,regge,sotto
cinv25_lz,6,ldr_v4_td6_AA_inv25,10,1000,0,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_AA_inv75,10,1000,0,100k,A_ins,MAINJACK,9.113e-09,2.897990,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_AA_inv75,10,1000,0,100k,A_rel,MAINJACK,3.778e-06,5.500031,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_AA_inv75,10,1000,0,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_AA_ev,10,1000,0,100k,A_ins,MAINJACK,9.113e-09,2.897990,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_AA_ev,10,1000,0,100k,A_rel,MAINJACK,3.185e-08,9.956365,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_AA_ev,10,1000,0,100k,B2,MAINJACK,4.409e-09,7.520000,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_AA_h2,10,1000,0,100k,A_ins,MAINJACK,9.113e-09,2.897990,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_AA_h2,10,1000,0,100k,A_rel,MAINJACK,3.191e-08,10.956479,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_AA_h2,10,1000,0,100k,B2,MAINJACK,4.409e-09,7.520000,0.0001,regge,sotto
