col0,col1,col2,col3,col4,col5
20.0,53.1318154,20.0,1693.61007,20.0,0.0361743894
22.4403691,51.8771585,22.4403691,1509.58421,22.4403691,0.0361744026
25.1785082,50.8805442,25.1785082,1345.58876,25.1785082,0.0361744505
28.2507509,50.0889022,28.2507509,1199.44783,28.2507509,0.0361745594
31.6978638,49.4600767,31.6978638,1069.22239,31.6978638,0.0361747612
35.5655882,48.9605816,35.5655882,953.18454,35.5655882,0.0361750946
39.9052463,48.5638176,39.9052463,849.794579,39.9052463,0.036175605
44.7744228,48.2486563,44.7744228,757.680621,44.7744228,0.0361763459
50.2377286,47.9983145,50.2377286,675.620369,50.2377286,0.0361773806
56.3676586,47.7994606,56.3676586,602.524902,56.3676586,0.0361787848
63.2455532,47.6415053,63.2455532,537.424222,63.2455532,0.0361806499
70.9626778,47.5160368,70.9626778,479.454375,70.9626778,0.0361830886
79.6214341,47.4163735,79.6214341,427.845976,79.6214341,0.0361862408
89.3367184,47.3372082,89.3367184,381.913979,89.3367184,0.0361902817
100.237447,47.2743249,100.237447,341.048559,100.237447,0.0361954314
112.468265,47.2243749,112.468265,304.706985,112.468265,0.0362019675
126.191469,47.1846982,126.191469,272.406368,126.191469,0.0362102398
141.589157,47.1531819,141.589157,243.717174,141.589157,0.0362206892
158.865647,47.1281476,158.865647,218.257434,158.865647,0.0362338711
178.250188,47.1082621,178.250188,195.687541,178.250188,0.036250485
200.0,47.0924666,200.0,175.705572,200.0,0.0362714106
224.403691,47.0799197,224.403691,158.043051,224.403691,0.0362977541
251.785082,47.0699534,251.785082,142.461104,251.785082,0.036330905
282.507509,47.0620369,282.507509,128.74693,282.507509,0.0363726075
316.978638,47.0557487,316.978638,116.710549,316.978638,0.0364250487
355.655882,47.0507538,355.655882,106.181792,355.655882,0.036490968
399.052463,47.0467862,399.052463,97.0075256,399.052463,0.0365737922
447.744228,47.0436348,447.744228,89.0491012,447.744228,0.0366778002
502.377286,47.0411315,502.377286,82.1800866,502.377286,0.0368083241
563.676586,47.0391433,563.676586,76.2843168,563.676586,0.0369719916
632.455532,47.037564,632.455532,71.2543349,632.455532,0.0371770144
709.626778,47.0363098,709.626778,66.9902678,709.626778,0.037433528
796.214341,47.0353137,796.214341,63.3991483,796.214341,0.0377539827
893.367184,47.0345227,893.367184,60.3946408,893.367184,0.0381535855
1002.37447,47.0338947,1002.37447,57.8970701,1002.37447,0.0386507824
1124.68265,47.0333962,1124.68265,55.8336183,1124.68265,0.0392677664
1261.91469,47.0330007,1261.91469,54.1385427,1261.91469,0.0400309845
1415.89157,47.0326872,1415.89157,52.7532963,1415.89157,0.040971609
1588.65647,47.032439,1588.65647,51.6264755,1588.65647,0.0421259313
1782.50188,47.0322428,1782.50188,50.7135718,1782.50188,0.0435356395
2000.0,47.0320881,2000.0,49.976546,2000.0,0.0452479501
2244.03691,47.0319668,2244.03691,49.3832694,2244.03691,0.0473155915
2517.85082,47.0318724,2517.85082,48.9068873,2517.85082,0.0497966728
2825.07509,47.0317998,2825.07509,48.5251543,2825.07509,0.0527545101
3169.78638,47.0317452,3169.78638,48.2197839,3169.78638,0.056257512
3556.55882,47.0317057,3556.55882,47.9758401,3556.55882,0.0603792381
3990.52463,47.0316792,3990.52463,47.7811882,3990.52463,0.0651987251
4477.44228,47.0316643,4477.44228,47.6260127,4477.44228,0.0708011417
5023.77286,47.0316601,5023.77286,47.5024026,5023.77286,0.0772787878
5636.76586,47.0316665,5636.76586,47.4040001,5636.76586,0.0847324169
6324.55532,47.0316838,6324.55532,47.3257086,6324.55532,0.0932728376
7096.26778,47.0317129,7096.26778,47.2634497,7096.26778,0.103022748
7962.14341,47.0317553,7962.14341,47.2139658,7962.14341,0.114118765
8933.67184,47.0318134,8933.67184,47.1746586,8933.67184,0.126713633
10023.7447,47.0318902,10023.7447,47.1434579,10023.7447,0.140978603
11246.8265,47.0319897,11246.8265,47.1187169,11246.8265,0.157106017
12619.1469,47.0321174,12619.1469,47.0991273,12619.1469,0.175312106
14158.9157,47.03228,14158.9157,47.0836519,14158.9157,0.195840059
15886.5647,47.0324862,15886.5647,47.0714702,15886.5647,0.2189634
17825.0188,47.0327469,17825.0188,47.0619359,17825.0188,0.244989731
20000.0,47.0330761,20000.0,47.0545427,20000.0,0.274264888
22440.3691,47.0334912,22440.3691,47.0488978,22440.3691,0.307177585
25178.5082,47.0340145,25178.5082,47.0447012,25178.5082,0.344164591
