mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,2.611k,1,4.7n,411227,62.0762,81.187,100k
0db,2.611k,2,1f,429760,68.9057,81.187,100k
0db,2.611k,2,47p,429967,68.8026,81.187,100k
0db,2.611k,2,100p,430200,68.6861,81.187,100k
0db,2.611k,2,220p,430724,68.4216,81.187,100k
0db,2.611k,2,470p,431800,67.8673,81.187,100k
0db,2.611k,2,1n,434006,66.6785,81.187,100k
0db,2.611k,2,1.5n,435986,65.5409,81.187,100k
0db,2.611k,2,2.2n,438630,63.9222,81.187,100k
0db,2.611k,2,2.7n,440379,62.751,81.187,100k
0db,2.611k,2,3.3n,442295,61.3329,81.1869,100k
0db,2.611k,2,4.7n,445892,57.9922,81.1869,100k
0db,1m,1,1f,429282,69.2578,80.9984,10k
0db,1m,1,47p,429482,69.1561,80.9984,10k
0db,1m,1,100p,429696,69.0413,80.9985,10k
0db,1m,1,220p,430137,68.7811,80.9985,10k
0db,1m,1,470p,430850,68.2404,80.9985,10k
0db,1m,1,1n,431416,67.1214,80.9985,10k
0db,1m,1,1.5n,430786,66.1349,80.9985,10k
0db,1m,1,2.2n,428225,64.9254,80.9985,10k
0db,1m,1,2.7n,425474,64.205,80.9986,10k
0db,1m,1,3.3n,421521,63.5011,80.9986,10k
0db,1m,1,4.7n,411042,62.4624,80.9987,10k
0db,1m,2,1f,429282,69.2578,80.9984,10k
0db,1m,2,47p,429488,69.1551,80.9984,10k
0db,1m,2,100p,429720,69.039,80.9984,10k
0db,1m,2,220p,430242,68.7756,80.9984,10k
0db,1m,2,470p,431313,68.2235,80.9984,10k
0db,1m,2,1n,433509,67.0394,80.9984,10k
0db,1m,2,1.5n,435479,65.9063,80.9984,10k
0db,1m,2,2.2n,438096,64.2947,80.9984,10k
0db,1m,2,2.7n,439836,63.1281,80.9984,10k
0db,1m,2,3.3n,441742,61.7154,80.9983,10k
0db,1m,2,4.7n,445322,58.3871,80.9983,10k
0db,1k,1,1f,429274,69.123,80.9984,10k
0db,1k,1,47p,429474,69.0212,80.9984,10k
0db,1k,1,100p,429689,68.9064,80.9985,10k
0db,1k,1,220p,430129,68.6461,80.9985,10k
0db,1k,1,470p,430842,68.1051,80.9985,10k
0db,1k,1,1n,431408,66.986,80.9985,10k
0db,1k,1,1.5n,430779,65.9997,80.9985,10k
0db,1k,1,2.2n,428218,64.791,80.9985,10k
0db,1k,1,2.7n,425468,64.0715,80.9986,10k
0db,1k,1,3.3n,421514,63.3688,80.9986,10k
0db,1k,1,4.7n,411036,62.3334,80.9987,10k
0db,1k,2,1f,429274,69.123,80.9984,10k
0db,1k,2,47p,429481,69.0202,80.9984,10k
0db,1k,2,100p,429713,68.9041,80.9984,10k
0db,1k,2,220p,430234,68.6405,80.9984,10k
0db,1k,2,470p,431305,68.0881,80.9984,10k
0db,1k,2,1n,433501,66.9033,80.9984,10k
0db,1k,2,1.5n,435471,65.7696,80.9984,10k
0db,1k,2,2.2n,438088,64.1572,80.9984,10k
0db,1k,2,2.7n,439828,62.9901,80.9984,10k
0db,1k,2,3.3n,441734,61.5769,80.9983,10k
0db,1k,2,4.7n,445313,58.2475,80.9983,10k
0db,2.5k,1,1f,429249,68.9219,80.9984,10k
0db,2.5k,1,47p,429449,68.8201,80.9984,10k
0db,2.5k,1,100p,429664,68.7051,80.9985,10k
0db,2.5k,1,220p,430104,68.4446,80.9985,10k
0db,2.5k,1,470p,430817,67.9034,80.9985,10k
0db,2.5k,1,1n,431383,66.784,80.9985,10k
0db,2.5k,1,1.5n,430753,65.7981,80.9985,10k
0db,2.5k,1,2.2n,428193,64.5906,80.9985,10k
0db,2.5k,1,2.7n,425444,63.8724,80.9986,10k
0db,2.5k,1,3.3n,421492,63.1715,80.9986,10k
0db,2.5k,1,4.7n,411016,62.1409,80.9987,10k
0db,2.5k,2,1f,429249,68.9219,80.9984,10k
0db,2.5k,2,47p,429456,68.8191,80.9984,10k
0db,2.5k,2,100p,429687,68.7028,80.9984,10k
0db,2.5k,2,220p,430209,68.439,80.9984,10k
0db,2.5k,2,470p,431279,67.8862,80.9984,10k
0db,2.5k,2,1n,433475,66.7004,80.9984,10k
0db,2.5k,2,1.5n,435445,65.5659,80.9984,10k
0db,2.5k,2,2.2n,438060,63.9524,80.9984,10k
0db,2.5k,2,2.7n,439800,62.7846,80.9984,10k
0db,2.5k,2,3.3n,441706,61.3706,80.9983,10k
0db,2.5k,2,4.7n,445284,58.0398,80.9983,10k
0db,2.571k,1,1f,429248,68.9124,80.9984,10k
0db,2.571k,1,47p,429448,68.8106,80.9984,10k
0db,2.571k,1,100p,429662,68.6956,80.9985,10k
0db,2.571k,1,220p,430102,68.4351,80.9985,10k
0db,2.571k,1,470p,430815,67.8939,80.9985,10k
0db,2.571k,1,1n,431381,66.7745,80.9985,10k
0db,2.571k,1,1.5n,430752,65.7886,80.9985,10k
0db,2.571k,1,2.2n,428192,64.5812,80.9985,10k
0db,2.571k,1,2.7n,425443,63.863,80.9986,10k
0db,2.571k,1,3.3n,421490,63.1622,80.9986,10k
0db,2.571k,1,4.7n,411015,62.1318,80.9987,10k
0db,2.571k,2,1f,429248,68.9124,80.9984,10k
0db,2.571k,2,47p,429454,68.8096,80.9984,10k
0db,2.571k,2,100p,429686,68.6934,80.9984,10k
0db,2.571k,2,220p,430207,68.4295,80.9984,10k
0db,2.571k,2,470p,431278,67.8766,80.9984,10k
0db,2.571k,2,1n,433474,66.6909,80.9984,10k
0db,2.571k,2,1.5n,435443,65.5563,80.9984,10k
