cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad
c2p_bmmai,c2p_bmmai.dat,c2p,1000,3.818,10,100k,1.0,4.2,11.2,10e-6,rif_mai,-,-,0.0
c2p_bmsempre,c2p_bmsempre.dat,c2p,1000,3.818,10,100k,1.0,2.1,11.2,10e-6,rif_sempre,-,-,0.0
c2p_bm_tj20,c2p_bm_tj20.dat,c2p_tj20ms,1000,3.818,10,100k,1.0,4.119999999999999,9.139999999999999,10e-6,evento,c2p_bmsempre,c2p_bmmai,3.02
c2p_bm_tj200,c2p_bm_tj200.dat,c2p_tj200ms,1000,3.818,10,100k,1.0,4.3,9.5,10e-6,evento,c2p_bmsempre,c2p_bmmai,3.2
c2p_bm_tj1000,c2p_bm_tj1000.dat,c2p_tj1000ms,1000,3.818,10,100k,1.0,5.1,11.1,10e-6,evento,c2p_bmsempre,c2p_bmmai,4.0
c50p_bmmai,c50p_bmmai.dat,c50p,1000,3.818,10,100k,1.0,4.2,11.2,10e-6,rif_mai,-,-,0.0
c50p_bmsempre,c50p_bmsempre.dat,c50p,1000,3.818,10,100k,1.0,2.1,11.2,10e-6,rif_sempre,-,-,0.0
c50p_bm_tj20,c50p_bm_tj20.dat,c50p_tj20ms,1000,3.818,10,100k,1.0,4.119999999999999,9.139999999999999,10e-6,evento,c50p_bmsempre,c50p_bmmai,3.02
c50p_bm_tj200,c50p_bm_tj200.dat,c50p_tj200ms,1000,3.818,10,100k,1.0,4.3,9.5,10e-6,evento,c50p_bmsempre,c50p_bmmai,3.2
c50p_bm_tj1000,c50p_bm_tj1000.dat,c50p_tj1000ms,1000,3.818,10,100k,1.0,5.1,11.1,10e-6,evento,c50p_bmsempre,c50p_bmmai,4.0
c50p_lzmai,c50p_lzmai.dat,c50p,1000,0,10,100k,1.0,2.1,13.1,10e-6,rif_mai,-,-,0.0
c50p_lzsempre,c50p_lzsempre.dat,c50p,1000,0,10,100k,1.0,2.1,13.1,10e-6,rif_sempre,-,-,0.0
c50p_lz_tj20,c50p_lz_tj20.dat,c50p_tj20ms,1000,0,10,100k,1.0,6.0,11.02,10e-6,evento,c50p_lzsempre,c50p_lzmai,3.02
