out,trim,att,mode,zrmax,zr20,zr1k,zr20k,zm20,zm1k,zn1k,zn20k
main,0,0,0db,60.0371,60.0371,47.0181,47.0108,1693.38,57.9341,0.0266735,0.274068
fix1,0,0,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,0,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,0,3db,60.0468,60.0468,47.0277,47.0314,1693.38,57.9386,0.0378783,0.388407
fix1,0,0,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,0,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,0,10db,60.0864,60.0864,47.0676,47.1351,1693.38,57.9573,0.0840526,0.857916
fix1,0,0,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,0,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,25,0db,60.0371,60.0371,47.0181,47.0107,1693.38,57.9341,0.0266731,0.274068
fix1,0,25,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,25,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,25,3db,60.0468,60.0468,47.0277,47.0314,1693.38,57.9386,0.0378776,0.388407
fix1,0,25,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,25,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,25,10db,60.0864,60.0864,47.0675,47.1349,1693.38,57.9573,0.0840503,0.857922
fix1,0,25,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,25,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,50,0db,60.0371,60.0371,47.0181,47.0107,1693.38,57.9341,0.0266727,0.274066
fix1,0,50,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,50,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,50,3db,60.0467,60.0467,47.0277,47.0313,1693.38,57.9386,0.037877,0.388406
fix1,0,50,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,50,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,50,10db,60.0864,60.0864,47.0675,47.1348,1693.38,57.9573,0.0840482,0.857921
fix1,0,50,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,50,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,75,0db,60.0371,60.0371,47.0181,47.0107,1693.38,57.9341,0.0266723,0.274064
fix1,0,75,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,75,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,75,3db,60.0467,60.0467,47.0277,47.0314,1693.38,57.9386,0.0378763,0.388402
fix1,0,75,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,75,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,75,10db,60.0864,60.0864,47.0675,47.1349,1693.38,57.9573,0.0840458,0.857908
fix1,0,75,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266748,0.273952
fix2,0,75,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266748,0.273952
main,0,100,0db,60.0371,60.0371,47.0181,47.0108,1693.38,57.9341,0.0266719,0.274062
fix1,0,100,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,100,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,100,3db,60.0467,60.0467,47.0277,47.0314,1693.38,57.9386,0.0378757,0.388398
fix1,0,100,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,0,100,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,0,100,10db,60.0864,60.0864,47.0675,47.1351,1693.38,57.9573,0.0840439,0.857894
fix1,0,100,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
