carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,964783,65.1686,81.2162
1,1m,47p,967244,64.8704,81.2162
1,1m,100p,970037,64.5305,81.2162
1,1m,220p,976419,63.7467,81.2162
1,1m,470p,990338,62.0384,81.2162
1,1m,1n,1.02166E+06,58.0692,81.2162
1,1m,2.2n,1.1009E+06,46.9309,81.2161
1,1m,4.7n,1.17479E+06,20.8033,81.2161
1,430,1f,964758,65.0387,81.2162
1,430,47p,967220,64.7401,81.2162
1,430,100p,970011,64.3998,81.2162
1,430,220p,976394,63.6152,81.2162
1,430,470p,990310,61.9051,81.2162
1,430,1n,1.02163E+06,57.9319,81.2162
1,430,2.2n,1.10086E+06,46.784,81.2161
1,430,4.7n,1.17475E+06,20.6477,81.2161
2,1m,1f,963895,65.1801,81.1204
2,1m,47p,966349,64.8824,81.1204
2,1m,100p,969130,64.5433,81.1204
2,1m,220p,975489,63.7613,81.1204
2,1m,470p,989326,62.0579,81.1204
2,1m,1n,1.02049E+06,58.1011,81.1203
2,1m,2.2n,1.09912E+06,47.0156,81.1203
2,1m,4.7n,1.17313E+06,20.9711,81.1203
2,430,1f,963870,65.0502,81.1204
2,430,47p,966323,64.7523,81.1204
2,430,100p,969104,64.4128,81.1204
2,430,220p,975462,63.63,81.1204
2,430,470p,989297,61.9248,81.1204
2,430,1n,1.02045E+06,57.9639,81.1203
2,430,2.2n,1.09907E+06,46.8689,81.1203
2,430,4.7n,1.17308E+06,20.8158,81.1203
