nodo,rsrc,onoise_total_v,inoise_total_v
J1,1,1.65166E-06,1.65938E-06
J1,430,1.69372E-06,1.70236E-06
J1,2500,1.88305E-06,1.89658E-06
OUTA,430,1.2294E-06,1.22984E-06
