cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
x01000_dnamax_i,3,ldr_v4_td6_BB_dnamax,g0a10_t0a0,1000,0,100k,A_ins,FIXJACK1,8.908e-06,2.362437,0.0001,regge,sotto
x01000_dnamax_i,3,ldr_v4_td6_BB_dnamax,g0a10_t0a0,1000,0,100k,B2,FIXJACK1,1.603e-05,7.520000,0.0001,regge,sotto
x01000_dnamax_c,3,ldr_v4_td6_BB_dnamax,g0a10_t0a0,1000,0,100k,A_ins,MAINJACK,3.277e-05,8.000031,0.0001,regge,sotto
x01000_dnamax_c,3,ldr_v4_td6_BB_dnamax,g0a10_t0a0,1000,0,100k,A_rel,MAINJACK,6.959e-05,11.323187,0.0001,regge,sotto
x01000_dnamax_c,3,ldr_v4_td6_BB_dnamax,g0a10_t0a0,1000,0,100k,B2,MAINJACK,1.081e-07,8.027052,0.0001,regge,sotto
x10000_dnamax_i,3,ldr_v4_td6_BB_dnamax,g10a0_t0a0,1000,0,100k,A_ins,MAINJACK,2.806e-05,2.362406,0.0001,regge,sotto
x10000_dnamax_i,3,ldr_v4_td6_BB_dnamax,g10a0_t0a0,1000,0,100k,B2,MAINJACK,2.082e-05,7.520000,0.0001,regge,sotto
x10000_dnamax_c,3,ldr_v4_td6_BB_dnamax,g10a0_t0a0,1000,0,100k,A_ins,MAINJACK,3.417e-05,8.000333,0.0001,regge,sotto
x10000_dnamax_c,3,ldr_v4_td6_BB_dnamax,g10a0_t0a0,1000,0,100k,A_rel,MAINJACK,2.208e-05,11.323187,0.0001,regge,sotto
x10000_dnamax_c,3,ldr_v4_td6_BB_dnamax,g10a0_t0a0,1000,0,100k,B2,MAINJACK,1.095e-07,8.027208,0.0001,regge,sotto
x1010012_dnamax_i,3,ldr_v4_td6_BB_dnamax,g10a10_t0a12,1000,0,100k,A_ins,MAINJACK,2.806e-05,2.362406,0.0001,regge,sotto
x1010012_dnamax_i,3,ldr_v4_td6_BB_dnamax,g10a10_t0a12,1000,0,100k,B2,MAINJACK,2.082e-05,7.520000,0.0001,regge,sotto
x1010012_dnamax_c,3,ldr_v4_td6_BB_dnamax,g10a10_t0a12,1000,0,100k,A_ins,MAINJACK,3.116e-05,8.000031,0.0001,regge,sotto
x1010012_dnamax_c,3,ldr_v4_td6_BB_dnamax,g10a10_t0a12,1000,0,100k,A_rel,FIXJACK1,2.206e-05,11.323219,0.0001,regge,sotto
x1010012_dnamax_c,3,ldr_v4_td6_BB_dnamax,g10a10_t0a12,1000,0,100k,B2,MAINJACK,6.03e-08,8.026542,0.0001,regge,sotto
x1010120_dnamax_i,3,ldr_v4_td6_BB_dnamax,g10a10_t12a0,1000,0,100k,A_ins,FIXJACK1,8.908e-06,2.362427,0.0001,regge,sotto
x1010120_dnamax_i,3,ldr_v4_td6_BB_dnamax,g10a10_t12a0,1000,0,100k,B2,FIXJACK1,1.603e-05,7.520000,0.0001,regge,sotto
x1010120_dnamax_c,3,ldr_v4_td6_BB_dnamax,g10a10_t12a0,1000,0,100k,A_ins,MAINJACK,3.051e-05,8.001031,0.0001,regge,sotto
x1010120_dnamax_c,3,ldr_v4_td6_BB_dnamax,g10a10_t12a0,1000,0,100k,A_rel,MAINJACK,6.959e-05,11.323187,0.0001,regge,sotto
