cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
x1010012_dnam20_i,x1010012_dnam20.dat,ldr_v4_td6_BB_dnam20,1000,0,g10a10_t0a12,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dnam20,rmai_g10t0_dnam20,6.5,3,A_ins;B2
x1010012_dnam20_c,x1010012_dnam20.dat,ldr_v4_td6_BB_dnam20,1000,0,g10a10_t0a12,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t12_dnam20,rmai_g10t12_dnam20,0.0,3,A_ins;A_rel;B2
x1010120_dnam20_i,x1010120_dnam20.dat,ldr_v4_td6_BB_dnam20,1000,0,g10a10_t12a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t12_dnam20,rmai_g10t12_dnam20,6.5,3,A_ins;B2
x1010120_dnam20_c,x1010120_dnam20.dat,ldr_v4_td6_BB_dnam20,1000,0,g10a10_t12a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dnam20,rmai_g10t0_dnam20,0.0,3,A_ins;A_rel;B2
xm_dnam20,xm_dnam20.dat,ldr_v4_td6_BB_dnam20,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,rsempre_g10t0_dnam20,rmai_g10t0_dnam20,6.5,3,A_ins;A_rel;B2
rmai_g10t0_dnminmax,rmai_g10t0_dnminmax.dat,rif_dnminmax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t0_dnminmax,rsempre_g10t0_dnminmax.dat,rif_dnminmax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g0t0_dnminmax,rmai_g0t0_dnminmax.dat,rif_dnminmax,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g0t0_dnminmax,rsempre_g0t0_dnminmax.dat,rif_dnminmax,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g10t12_dnminmax,rmai_g10t12_dnminmax.dat,rif_dnminmax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t12_dnminmax,rsempre_g10t12_dnminmax.dat,rif_dnminmax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
x01000_dnminmax_i,x01000_dnminmax.dat,ldr_v4_td6_BB_dnminmax,1000,0,g0a10_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g0t0_dnminmax,rmai_g0t0_dnminmax,6.5,3,A_ins;B2
x01000_dnminmax_c,x01000_dnminmax.dat,ldr_v4_td6_BB_dnminmax,1000,0,g0a10_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dnminmax,rmai_g10t0_dnminmax,0.0,3,A_ins;A_rel;B2
