pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,1.00111E+06,69.3126,72.2982
1,10k,47p,1.00252E+06,69.0522,72.2982
1,10k,100p,1.00396E+06,68.758,72.2982
1,10k,220p,1.00657E+06,68.0933,72.2982
1,10k,470p,1.00898E+06,66.7486,72.2982
1,10k,1n,1.00115E+06,64.3401,72.2982
1,10k,2.2n,951834,61.7834,72.2983
1,10k,4.7n,868835,62.2729,72.2984
2,10k,1f,1.00111E+06,69.3126,72.2982
2,10k,47p,1.0026E+06,69.0495,72.2982
2,10k,100p,1.00427E+06,68.7513,72.2982
2,10k,220p,1.00802E+06,68.0703,72.2982
2,10k,470p,1.01566E+06,66.6266,72.2982
2,10k,1n,1.03109E+06,63.4566,72.2982
2,10k,2.2n,1.05917E+06,55.8821,72.2982
2,10k,4.7n,1.06224E+06,40.9785,72.2982
1,50k,1f,1.00229E+06,69.3106,72.3894
1,50k,47p,1.00372E+06,69.0476,72.3894
1,50k,100p,1.00517E+06,68.7504,72.3894
1,50k,220p,1.00781E+06,68.079,72.3894
1,50k,470p,1.01022E+06,66.7211,72.3894
1,50k,1n,1.00223E+06,64.2931,72.3894
1,50k,2.2n,952268,61.7351,72.3894
1,50k,4.7n,868815,62.2503,72.3894
2,50k,1f,1.00229E+06,69.3106,72.3894
2,50k,47p,1.00378E+06,69.0468,72.3894
2,50k,100p,1.00546E+06,68.7479,72.3894
2,50k,220p,1.00923E+06,68.0653,72.3894
2,50k,470p,1.01691E+06,66.6179,72.3894
2,50k,1n,1.03245E+06,63.4384,72.3894
2,50k,2.2n,1.06072E+06,55.8392,72.3894
2,50k,4.7n,1.06375E+06,40.892,72.3894
