col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
0.0,0.214233801,0.0,0.213267535,0.0,0.213980715,0.0,0.213521778,0.0,0.0867043517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214233801
5e-08,0.214233796,5e-08,0.213267544,5e-08,0.213980381,5e-08,0.213522381,5e-08,0.0867049609,5e-08,2.92961366e-07,5e-08,2.911472e-07,5e-08,0.0,5e-08,0.214233796
6.04122983e-08,0.214233805,6.04122983e-08,0.213267505,6.04122983e-08,0.213980189,6.04122983e-08,0.213522985,6.04122983e-08,0.0867052352,6.04122983e-08,-1.86728864e-07,6.04122983e-08,-1.84780983e-07,6.04122983e-08,0.0,6.04122983e-08,0.214233805
8.12368949e-08,0.214233849,8.12368949e-08,0.213267295,8.12368949e-08,0.213979637,8.12368949e-08,0.213525252,8.12368949e-08,0.0867064329,8.12368949e-08,-3.61693151e-06,8.12368949e-08,-3.58888583e-06,8.12368949e-08,0.0,8.12368949e-08,0.214233847
1.22886088e-07,0.214234038,1.22886088e-07,0.213266663,1.22886088e-07,0.213976761,1.22886088e-07,0.213533908,1.22886088e-07,0.0867153885,1.22886088e-07,-2.43565764e-05,1.22886088e-07,-2.41871941e-05,1.22886088e-07,0.0,1.22886088e-07,0.214234022
2.06184475e-07,0.214232766,2.06184475e-07,0.213270979,2.06184475e-07,0.213960873,2.06184475e-07,0.213556693,2.06184475e-07,0.0867575025,2.06184475e-07,7.49832985e-05,2.06184475e-07,7.4445016e-05,2.06184475e-07,0.0,2.06184475e-07,0.214232814
2.94659293e-07,0.214223765,2.94659293e-07,0.213287162,2.94659293e-07,0.213934317,2.94659293e-07,0.213585283,2.94659293e-07,0.0868106826,2.94659293e-07,0.000746656502,2.94659293e-07,0.000742093575,2.94659293e-07,0.0,2.94659293e-07,0.214224246
3.90205631e-07,0.214201549,3.90205631e-07,0.21331506,3.90205631e-07,0.213902189,3.90205631e-07,0.213618741,3.90205631e-07,0.086845147,3.90205631e-07,0.00230787878,3.90205631e-07,0.00229514316,3.90205631e-07,0.0,3.90205631e-07,0.214203023
5.10677757e-07,0.214161512,5.10677757e-07,0.213358275,5.10677757e-07,0.213860383,5.10677757e-07,0.213659986,5.10677757e-07,0.0868479821,5.10677757e-07,0.00509550657,5.10677757e-07,0.00506984643,5.10677757e-07,0.0,5.10677757e-07,0.21416474
6.41203809e-07,0.214112982,6.41203809e-07,0.213406907,6.41203809e-07,0.213816439,6.41203809e-07,0.213703979,6.41203809e-07,0.0868230951,6.41203809e-07,0.00845948675,6.41203809e-07,0.00841965154,6.41203809e-07,0.0,6.41203809e-07,0.214118314
8.66392652e-07,0.214031878,8.66392652e-07,0.213486985,8.66392652e-07,0.213741872,8.66392652e-07,0.213778803,8.66392652e-07,0.0867767074,8.66392652e-07,0.0140657151,8.66392652e-07,0.0140033711,8.66392652e-07,0.0,8.66392652e-07,0.214040702
1.07994969e-06,0.213958563,1.07994969e-06,0.213560696,1.07994969e-06,0.213671371,1.07994969e-06,0.213849839,1.07994969e-06,0.0867438508,1.07994969e-06,0.0191438688,1.07994969e-06,0.0190608837,1.07994969e-06,0.0,1.07994969e-06,0.213970549
1.33736635e-06,0.213869917,1.33736635e-06,0.213649964,1.33736635e-06,0.213586124,1.33736635e-06,0.213935598,1.33736635e-06,0.0867067018,1.33736635e-06,0.0252778817,1.33736635e-06,0.025169506,1.33736635e-06,0.0,1.33736635e-06,0.213885725
1.85219968e-06,0.213691517,1.85219968e-06,0.213829329,1.85219968e-06,0.213415661,1.85219968e-06,0.214107007,1.85219968e-06,0.0866271451,1.85219968e-06,0.0376314901,1.85219968e-06,0.0374721439,1.85219968e-06,0.0,1.85219968e-06,0.21371501
2.3344578e-06,0.213524673,2.3344578e-06,0.213996936,2.3344578e-06,0.213256042,2.3344578e-06,0.21426757,2.3344578e-06,0.0865534123,2.3344578e-06,0.0491778235,2.3344578e-06,0.0489708039,2.3344578e-06,0.0,2.3344578e-06,0.213555336
3.29897404e-06,0.213190938,3.29897404e-06,0.21433252,3.29897404e-06,0.212936665,3.29897404e-06,0.214588606,3.29897404e-06,0.0864059564,3.29897404e-06,0.0722836936,3.29897404e-06,0.071980819,3.29897404e-06,0.0,3.29897404e-06,0.213235915
5.22800652e-06,0.21252343,5.22800652e-06,0.215003301,5.22800652e-06,0.212297984,5.22800652e-06,0.215230434,5.22800652e-06,0.0861104948,5.22800652e-06,0.118485631,5.22800652e-06,0.117989985,5.22800652e-06,0.0,5.22800652e-06,0.212596887
8.15561367e-06,0.211510977,8.15561367e-06,0.216020916,8.15561367e-06,0.211328653,8.15561367e-06,0.216203566,8.15561367e-06,0.0856627809,8.15561367e-06,0.188565349,8.15561367e-06,0.187774066,8.15561367e-06,0.0,8.15561367e-06,0.211627278
1.31556137e-05,0.209783749,1.31556137e-05,0.217756282,1.31556137e-05,0.209674296,1.31556137e-05,0.217862233,1.31556137e-05,0.0848983042,1.31556137e-05,0.308094965,1.31556137e-05,0.306790766,1.31556137e-05,0.0,1.31556137e-05,0.20997213
1.81556137e-05,0.208060774,1.81556137e-05,0.219487206,1.81556137e-05,0.208022579,1.81556137e-05,0.219515218,1.81556137e-05,0.0841358751,1.81556137e-05,0.427315789,1.81556137e-05,0.425488868,1.81556137e-05,0.0,1.81556137e-05,0.208319804
2.31556137e-05,0.206343492,2.31556137e-05,0.221211753,2.31556137e-05,0.206375314,2.31556137e-05,0.221160963,2.31556137e-05,0.083375411,2.31556137e-05,0.546116006,2.31556137e-05,0.543757169,2.31556137e-05,0.0,2.31556137e-05,0.206671682
2.81556137e-05,0.204633875,2.81556137e-05,0.222928436,2.81556137e-05,0.204733982,2.81556137e-05,0.222797795,2.81556137e-05,0.0826185056,2.81556137e-05,0.664371706,2.81556137e-05,0.661472202,2.81556137e-05,0.0,2.81556137e-05,0.205029681
3.31556137e-05,0.202933333,3.31556137e-05,0.22463536,3.31556137e-05,0.203100386,3.31556137e-05,0.224424187,3.31556137e-05,0.0818650854,3.31556137e-05,0.78197359,3.31556137e-05,0.778525278,3.31556137e-05,0.0,3.31556137e-05,0.203395166
3.81556137e-05,0.201243839,3.81556137e-05,0.226331035,3.81556137e-05,0.201476012,3.81556137e-05,0.226038485,3.81556137e-05,0.081116715,3.81556137e-05,0.898797614,3.81556137e-05,0.894792828,3.81556137e-05,0.0,3.81556137e-05,0.201770064
4.31556137e-05,0.199566773,4.31556137e-05,0.228013605,4.31556137e-05,0.199862647,4.31556137e-05,0.227639198,4.31556137e-05,0.0803733439,4.31556137e-05,1.01473699,4.31556137e-05,1.01016868,4.31556137e-05,0.0,4.31556137e-05,0.200155719
4.81556137e-05,0.197904093,4.81556137e-05,0.229681588,4.81556137e-05,0.198261768,4.81556137e-05,0.2292247,4.81556137e-05,0.07963649,4.81556137e-05,1.12966843,4.81556137e-05,1.12453003,4.81556137e-05,0.0,4.81556137e-05,0.198554054
5.31556137e-05,0.19625715,5.31556137e-05,0.231333171,5.31556137e-05,0.196675145,5.31556137e-05,0.230793542,5.31556137e-05,0.0789061351,5.31556137e-05,1.24348771,5.31556137e-05,1.23777329,5.31556137e-05,0.0,5.31556137e-05,0.196966395
5.81556137e-05,0.194627876,5.81556137e-05,0.232966891,5.81556137e-05,0.19510424,5.81556137e-05,0.232344129,5.81556137e-05,0.0781837367,5.81556137e-05,1.35607309,5.81556137e-05,1.34977724,5.81556137e-05,0.0,5.81556137e-05,0.195394646
6.31556137e-05,0.193017588,6.31556137e-05,0.234580982,6.31556137e-05,0.193550795,6.31556137e-05,0.233875061,6.31556137e-05,0.0774693151,6.31556137e-05,1.46732306,6.31556137e-05,1.46044098,6.31556137e-05,0.0,6.31556137e-05,0.19384011
6.81556137e-05,0.191428183,6.81556137e-05,0.236174008,6.81556137e-05,0.192016252,6.81556137e-05,0.235384779,6.81556137e-05,0.076764257,6.81556137e-05,1.57711817,6.81556137e-05,1.56964561,6.81556137e-05,0.0,6.81556137e-05,0.192304665
7.31556137e-05,0.189860943,7.31556137e-05,0.237744249,7.31556137e-05,0.190502319,7.31556137e-05,0.236871935,7.31556137e-05,0.0760686235,7.31556137e-05,1.68535979,7.31556137e-05,1.6772931,7.31556137e-05,0.0,7.31556137e-05,0.190789589
7.81556137e-05,0.188317719,7.81556137e-05,0.239290311,7.81556137e-05,0.189010409,7.81556137e-05,0.238335016,7.81556137e-05,0.0753837238,7.81556137e-05,1.79193143,7.81556137e-05,1.78326754,7.81556137e-05,0.0,7.81556137e-05,0.189296719
8.31556137e-05,0.186799754,8.31556137e-05,0.240810524,8.31556137e-05,0.187542188,8.31556137e-05,0.239772729,8.31556137e-05,0.0747096596,8.31556137e-05,1.89673752,8.31556137e-05,1.88747396,8.31556137e-05,0.0,8.31556137e-05,0.187827304
8.81556137e-05,0.185308842,8.81556137e-05,0.24230354,8.81556137e-05,0.186099035,8.81556137e-05,0.241183608,8.81556137e-05,0.074047658,8.81556137e-05,1.99966518,8.81556137e-05,1.98980007,8.81556137e-05,0.0,8.81556137e-05,0.186383135
9.31556137e-05,0.183846185,9.31556137e-05,0.243767746,9.31556137e-05,0.184682568,9.31556137e-05,0.242566424,9.31556137e-05,0.0733978592,9.31556137e-05,2.10062214,9.31556137e-05,2.0901542,9.31556137e-05,0.0,9.31556137e-05,0.184965424
9.81556137e-05,0.182413515,9.81556137e-05,0.245201846,9.81556137e-05,0.183294122,9.81556137e-05,0.243919763,9.81556137e-05,0.0727614055,9.81556137e-05,2.1994997,9.81556137e-05,2.18842823,9.81556137e-05,0.0,9.81556137e-05,0.183575907
0.000103155614,0.181011987,0.000103155614,0.246604287,0.000103155614,0.181935263,0.000103155614,0.245242459,0.000103155614,0.0721384719,0.000103155614,2.29620914,0.000103155614,2.28453404,0.000103155614,0.0,0.000103155614,0.182215755
0.000108155614,0.179643259,0.000108155614,0.247973834,0.000108155614,0.180607275,0.000108155614,0.246533159,0.000108155614,0.0715301149,0.000108155614,2.39064643,0.000108155614,2.37836822,0.000108155614,0.0,0.000108155614,0.18088664
0.000113155614,0.178308438,0.000113155614,0.249309,0.000113155614,0.179311663,0.000113155614,0.247790766,0.000113155614,0.0709365394,0.000113155614,2.48272672,0.000113155614,2.46984649,0.000113155614,0.0,0.000113155614,0.179589688
0.000118155614,0.177009103,0.000118155614,0.250608616,0.000118155614,0.178049654,0.000118155614,0.249013987,0.000118155614,0.070358716,0.000118155614,2.57235111,0.000118155614,2.55887057,0.000118155614,0.0,0.000118155614,0.178326496
0.000123155614,0.175746305,0.000123155614,0.251871262,0.000123155614,0.176822685,0.000123155614,0.250201798,0.000123155614,0.0697968742,0.000123155614,2.65943889,0.000123155614,2.64536031,0.000123155614,0.0,0.000123155614,0.177098142
0.000128155614,0.174521541,0.000128155614,0.253095844,0.000128155614,0.175631922,0.000128155614,0.251352971,0.000128155614,0.0692518996,0.000128155614,2.74389672,0.000128155614,2.729223,0.000128155614,0.0,0.000128155614,0.175906143
0.000133155614,0.173335799,0.000133155614,0.254281013,0.000133155614,0.174478729,0.000133155614,0.25246656,0.000133155614,0.0687240399,0.000133155614,2.82564834,0.000133155614,2.81038294,0.000133155614,0.0,0.000133155614,0.174751517
0.000138155614,0.172190488,0.000138155614,0.255425754,0.000138155614,0.173364199,0.000138155614,0.253541406,0.000138155614,0.0682140975,0.000138155614,2.90460635,0.000138155614,2.88875333,0.000138155614,0.0,0.000138155614,0.173635699
0.000143155614,0.17108653,0.000143155614,0.256528795,0.000143155614,0.172289618,0.000143155614,0.254576639,0.000143155614,0.067722332,0.000143155614,2.98069922,0.000143155614,2.96426321,0.000143155614,0.0,0.000143155614,0.172559642
0.000148155614,0.170025241,0.000148155614,0.257589204,0.000148155614,0.171256005,0.000148155614,0.255571175,0.000148155614,0.0672494643,0.000148155614,3.05384582,0.000148155614,3.03683204,0.000148155614,0.0,0.000148155614,0.171524689
0.000153155614,0.169007472,0.000153155614,0.258605791,0.000153155614,0.170264561,0.000153155614,0.256524226,0.000153155614,0.0667957598,0.000153155614,3.12397968,0.000153155614,3.10639391,0.000153155614,0.0,0.000153155614,0.170531726
0.000158155614,0.168034439,0.000158155614,0.259577711,0.000158155614,0.169316222,0.000158155614,0.257434781,0.000158155614,0.0663618602,0.000158155614,3.19102622,0.000158155614,3.17287482,0.000158155614,0.0,0.000158155614,0.169581997
0.000163155614,0.16710692,0.000163155614,0.260503857,0.000163155614,0.1684121,0.000163155614,0.258302137,0.000163155614,0.06594803,0.000163155614,3.25492434,0.000163155614,3.23621421,0.000163155614,0.0,0.000163155614,0.168676314
0.000168155614,0.166226029,0.000168155614,0.261383476,0.000168155614,0.167553043,0.000168155614,0.259125363,0.000168155614,0.0655548345,0.000168155614,3.31560624,0.000168155614,3.29634485,0.000168155614,0.0,0.000168155614,0.167815819
