mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,361324,69.6309,81.0623,100k
0db,1m,1,47p,361443,69.5464,81.0623,100k
0db,1m,1,100p,361570,69.4511,81.0623,100k
0db,1m,1,220p,361830,69.2353,81.0622,100k
0db,1m,1,470p,362252,68.7874,81.0622,100k
0db,1m,1,1n,362595,67.8573,81.0622,100k
0db,1m,1,1.5n,362239,67.0249,81.0622,100k
0db,1m,1,2.2n,360722,65.9707,81.0622,100k
0db,1m,1,2.7n,359022,65.3143,81.0622,100k
0db,1m,1,3.3n,356462,64.6413,81.0622,100k
0db,1m,1,4.7n,349313,63.5303,81.0621,100k
0db,1m,2,1f,361324,69.6309,81.0623,100k
0db,1m,2,47p,361445,69.5463,81.0623,100k
0db,1m,2,100p,361581,69.4507,81.0622,100k
0db,1m,2,220p,361886,69.234,81.0622,100k
0db,1m,2,470p,362512,68.7807,81.0622,100k
0db,1m,2,1n,363807,67.8117,81.0622,100k
0db,1m,2,1.5n,364977,66.8884,81.0622,100k
0db,1m,2,2.2n,366498,65.5838,81.0622,100k
0db,1m,2,2.7n,367496,64.6448,81.0621,100k
0db,1m,2,3.3n,368587,63.5117,81.0621,100k
0db,1m,2,4.7n,370653,60.8531,81.0621,100k
0db,1k,1,1f,361320,69.5174,81.0623,100k
0db,1k,1,47p,361438,69.4329,81.0623,100k
0db,1k,1,100p,361565,69.3375,81.0623,100k
0db,1k,1,220p,361825,69.1217,81.0622,100k
0db,1k,1,470p,362247,68.6736,81.0622,100k
0db,1k,1,1n,362591,67.7434,81.0622,100k
0db,1k,1,1.5n,362235,66.9112,81.0622,100k
0db,1k,1,2.2n,360718,65.8575,81.0622,100k
0db,1k,1,2.7n,359018,65.2015,81.0622,100k
0db,1k,1,3.3n,356458,64.5294,81.0622,100k
0db,1k,1,4.7n,349310,63.4206,81.0621,100k
0db,1k,2,1f,361320,69.5174,81.0623,100k
0db,1k,2,47p,361441,69.4328,81.0623,100k
0db,1k,2,100p,361577,69.3372,81.0622,100k
0db,1k,2,220p,361882,69.1203,81.0622,100k
0db,1k,2,470p,362507,68.6669,81.0622,100k
0db,1k,2,1n,363802,67.6974,81.0622,100k
0db,1k,2,1.5n,364973,66.7738,81.0622,100k
0db,1k,2,2.2n,366494,65.4688,81.0622,100k
0db,1k,2,2.7n,367491,64.5294,81.0621,100k
0db,1k,2,3.3n,368582,63.396,81.0621,100k
0db,1k,2,4.7n,370648,60.7368,81.0621,100k
0db,2.5k,1,1f,361305,69.348,81.0623,100k
0db,2.5k,1,47p,361424,69.2634,81.0623,100k
0db,2.5k,1,100p,361550,69.168,81.0623,100k
0db,2.5k,1,220p,361811,68.9521,81.0622,100k
0db,2.5k,1,470p,362232,68.5038,81.0622,100k
0db,2.5k,1,1n,362576,67.5735,81.0622,100k
0db,2.5k,1,1.5n,362220,66.7415,81.0622,100k
0db,2.5k,1,2.2n,360703,65.6885,81.0622,100k
0db,2.5k,1,2.7n,359004,65.0334,81.0622,100k
0db,2.5k,1,3.3n,356444,64.3624,81.0622,100k
0db,2.5k,1,4.7n,349297,63.2569,81.0621,100k
0db,2.5k,2,1f,361305,69.348,81.0623,100k
0db,2.5k,2,47p,361426,69.2633,81.0623,100k
0db,2.5k,2,100p,361562,69.1676,81.0622,100k
0db,2.5k,2,220p,361867,68.9507,81.0622,100k
0db,2.5k,2,470p,362492,68.4969,81.0622,100k
0db,2.5k,2,1n,363787,67.527,81.0622,100k
0db,2.5k,2,1.5n,364957,66.6029,81.0622,100k
0db,2.5k,2,2.2n,366478,65.2972,81.0622,100k
0db,2.5k,2,2.7n,367475,64.3574,81.0621,100k
0db,2.5k,2,3.3n,368566,63.2235,81.0621,100k
0db,2.5k,2,4.7n,370632,60.5634,81.0621,100k
0db,2.571k,1,1f,361304,69.3401,81.0623,100k
0db,2.571k,1,47p,361423,69.2554,81.0623,100k
0db,2.571k,1,100p,361549,69.16,81.0623,100k
0db,2.571k,1,220p,361810,68.9441,81.0622,100k
0db,2.571k,1,470p,362232,68.4958,81.0622,100k
0db,2.571k,1,1n,362575,67.5655,81.0622,100k
0db,2.571k,1,1.5n,362219,66.7335,81.0622,100k
0db,2.571k,1,2.2n,360702,65.6805,81.0622,100k
0db,2.571k,1,2.7n,359003,65.0254,81.0622,100k
0db,2.571k,1,3.3n,356443,64.3545,81.0622,100k
0db,2.571k,1,4.7n,349296,63.2492,81.0621,100k
0db,2.571k,2,1f,361304,69.3401,81.0623,100k
0db,2.571k,2,47p,361425,69.2553,81.0623,100k
0db,2.571k,2,100p,361561,69.1596,81.0622,100k
0db,2.571k,2,220p,361866,68.9427,81.0622,100k
0db,2.571k,2,470p,362492,68.4889,81.0622,100k
0db,2.571k,2,1n,363786,67.5189,81.0622,100k
0db,2.571k,2,1.5n,364956,66.5948,81.0622,100k
0db,2.571k,2,2.2n,366477,65.2891,81.0622,100k
0db,2.571k,2,2.7n,367474,64.3492,81.0621,100k
0db,2.571k,2,3.3n,368565,63.2154,81.0621,100k
0db,2.571k,2,4.7n,370631,60.5553,81.0621,100k
