cm,r128,amp_in,vo_max,vo_min,vo_mean_dc,slope_pos_vus,slope_neg_vus,ideal_slope_vus,gain
470p,1.69k,3.818,11.9066,-12.0019,0.0544027,1.50163,-1.46463,1.50221,3.13103
470p,1.69k,1.909,5.92929,-6.02685,-0.0442117,0.751045,-0.749176,0.751227,3.13153
560p,1.69k,3.818,11.8913,-11.9796,0.12286,1.49958,-1.44586,1.49985,3.12611
560p,1.69k,1.909,5.9217,-6.01917,-0.0393469,0.750062,-0.745589,0.750267,3.12752
680p,1.69k,3.818,11.8685,-11.9302,0.230871,1.4965,-1.41898,1.49532,3.11665
680p,1.69k,1.909,5.91037,-6.00738,-0.027106,0.748597,-0.737957,0.748814,3.12147
820p,1.69k,3.818,11.8384,-11.8278,0.372695,1.4924,-1.38464,1.48699,3.0993
820p,1.69k,1.909,5.89543,-5.99042,-0.00254515,0.746664,-0.725612,0.74681,3.11311
1n,1.69k,3.818,11.7942,-11.6108,0.571671,1.48625,-1.33492,1.47058,3.0651
1n,1.69k,1.909,5.87355,-5.95888,0.0440562,0.743827,-0.706986,0.743454,3.09912
1.2n,1.69k,3.818,11.738,-11.2587,0.811389,1.47807,-1.2695,1.44493,3.01162
1.2n,1.69k,1.909,5.84582,-5.90026,0.109791,0.740209,-0.685024,0.738028,3.07651
470p,1.33k,3.818,11.9073,-12.0022,0.0593969,1.50167,-1.46597,1.50228,3.13117
470p,1.33k,1.909,5.92978,-6.02669,-0.0433229,0.751064,-0.749142,0.751247,3.13161
560p,1.33k,3.818,11.8921,-11.98,0.129169,1.49961,-1.44743,1.49993,3.12626
560p,1.33k,1.909,5.92219,-6.01899,-0.0379869,0.750081,-0.745489,0.750286,3.12761
680p,1.33k,3.818,11.8693,-11.9306,0.238638,1.49653,-1.42063,1.49539,3.11681
680p,1.33k,1.909,5.91085,-6.00716,-0.0248391,0.748616,-0.737781,0.748831,3.12154
820p,1.33k,3.818,11.8392,-11.828,0.381918,1.49243,-1.38617,1.48705,3.09942
820p,1.33k,1.909,5.89591,-5.99005,0.000951973,0.746682,-0.72543,0.746817,3.11314
1n,1.33k,3.818,11.795,-11.6098,0.582648,1.48628,-1.33606,1.47057,3.06507
1n,1.33k,1.909,5.87404,-5.95793,0.0490095,0.743845,-0.706847,0.743424,3.099
1.2n,1.33k,3.818,11.7388,-11.2548,0.824555,1.47809,-1.26982,1.44473,3.01121
1.2n,1.33k,1.909,5.84632,-5.89798,0.116037,0.740227,-0.6849,0.737916,3.07604
