file,vplus,vminus,vrelay,v5,raw_p_min,raw_m_min_abs,raw_v_min,t_off_ms,t_md_ms,t_p135_ms,t_p106_ms,t_m135_ms,t_m106_ms,trip_after_135_ms,vr_hold_ms,vr80_hold_ms,vplus_at_off,vminus_at_off
perdita_rete_m10,,,,,,,,14.391,14.409,73.814,134.154,74.174,134.514,-59.423,80.823,122.883,15.000,-15.053
perdita_rete_nom,,,,,,,,14.465,14.482,105.559,165.892,105.919,166.272,-91.095,128.727,170.807,15.000,-15.053
perdita_rete_p10,,,,,,,,14.524,14.541,137.337,197.692,137.717,198.052,-122.813,176.868,218.948,15.000,-15.053
regime_m10,14.9997,-15.0525,11.9999,5.0000,18.045,18.045,16.435,,,,,,,,,,,
regime_nom,14.9997,-15.0525,11.9999,5.0000,20.284,20.284,18.823,,,,,,,,,,,
regime_p10,14.9997,-15.0525,11.9999,5.0000,22.527,22.527,21.220,,,,,,,,,,,
