mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,429824,69.2996,82.0534,100k
0db,1m,1,47p,430072,69.1919,82.0534,100k
0db,1m,1,100p,430340,69.0701,82.0534,100k
0db,1m,1,220p,430901,68.7936,82.0534,100k
0db,1m,1,470p,431854,68.2168,82.0534,100k
0db,1m,1,1n,432866,67.0139,82.0534,100k
0db,1m,1,1.5n,432555,65.9442,82.0534,100k
0db,1m,1,2.2n,430255,64.6228,82.0534,100k
0db,1m,1,2.7n,427540,63.8328,82.0534,100k
0db,1m,1,3.3n,423538,63.0578,82.0534,100k
0db,1m,1,4.7n,412712,61.906,82.0533,100k
0db,1m,2,1f,429824,69.2996,82.0534,100k
0db,1m,2,47p,430077,69.1917,82.0534,100k
0db,1m,2,100p,430362,69.0698,82.0534,100k
0db,1m,2,220p,431003,68.7928,82.0534,100k
0db,1m,2,470p,432327,68.2111,82.0534,100k
0db,1m,2,1n,435073,66.9587,82.0534,100k
0db,1m,2,1.5n,437606,65.7527,82.0534,100k
0db,1m,2,2.2n,441039,64.0258,82.0534,100k
0db,1m,2,2.7n,443349,62.769,82.0533,100k
0db,1m,2,3.3n,445942,61.2385,82.0533,100k
0db,1m,2,4.7n,451223,57.5873,82.0533,100k
0db,1k,1,1f,429817,69.1647,82.0534,100k
0db,1k,1,47p,430065,69.0568,82.0534,100k
0db,1k,1,100p,430333,68.935,82.0534,100k
0db,1k,1,220p,430893,68.6583,82.0534,100k
0db,1k,1,470p,431846,68.0812,82.0534,100k
0db,1k,1,1n,432858,66.878,82.0534,100k
0db,1k,1,1.5n,432548,65.8084,82.0534,100k
0db,1k,1,2.2n,430248,64.4877,82.0534,100k
0db,1k,1,2.7n,427533,63.6986,82.0534,100k
0db,1k,1,3.3n,423531,62.9248,82.0534,100k
0db,1k,1,4.7n,412706,61.7764,82.0533,100k
0db,1k,2,1f,429817,69.1647,82.0534,100k
0db,1k,2,47p,430070,69.0567,82.0534,100k
0db,1k,2,100p,430354,68.9347,82.0534,100k
0db,1k,2,220p,430996,68.6574,82.0534,100k
0db,1k,2,470p,432320,68.0754,82.0534,100k
0db,1k,2,1n,435065,66.8221,82.0534,100k
0db,1k,2,1.5n,437598,65.6153,82.0534,100k
0db,1k,2,2.2n,441031,63.8875,82.0534,100k
0db,1k,2,2.7n,443341,62.6299,82.0533,100k
0db,1k,2,3.3n,445933,61.0986,82.0533,100k
0db,1k,2,4.7n,451214,57.4459,82.0533,100k
0db,2.5k,1,1f,429792,68.9633,82.0534,100k
0db,2.5k,1,47p,430040,68.8554,82.0534,100k
