time_s,vin_V,vout_V
2.982320e-04,1.000000,0.949325
3.032320e-04,1.000000,0.951796
3.082320e-04,1.000000,0.954147
3.132320e-04,1.000000,0.956383
3.182320e-04,1.000000,0.958511
3.232320e-04,1.000000,0.960534
3.282320e-04,1.000000,0.962459
3.332320e-04,1.000000,0.964290
3.382320e-04,1.000000,0.966031
3.432320e-04,1.000000,0.967688
3.482320e-04,1.000000,0.969264
3.532320e-04,1.000000,0.970763
3.582320e-04,1.000000,0.972189
3.632320e-04,1.000000,0.973545
3.682320e-04,1.000000,0.974835
3.732320e-04,1.000000,0.976063
3.782320e-04,1.000000,0.977230
3.832320e-04,1.000000,0.978341
3.882320e-04,1.000000,0.979397
3.932320e-04,1.000000,0.980402
3.982320e-04,1.000000,0.981358
4.032320e-04,1.000000,0.982267
4.082320e-04,1.000000,0.983132
4.132320e-04,1.000000,0.983954
4.182320e-04,1.000000,0.984737
4.232320e-04,1.000000,0.985481
4.282320e-04,1.000000,0.986189
4.332320e-04,1.000000,0.986863
4.382320e-04,1.000000,0.987504
4.432320e-04,1.000000,0.988113
4.482320e-04,1.000000,0.988693
4.532320e-04,1.000000,0.989244
4.582320e-04,1.000000,0.989769
4.632320e-04,1.000000,0.990268
4.682320e-04,1.000000,0.990742
4.732320e-04,1.000000,0.991194
4.782320e-04,1.000000,0.991623
4.832320e-04,1.000000,0.992032
4.882320e-04,1.000000,0.992421
4.932320e-04,1.000000,0.992790
4.982320e-04,1.000000,0.993142
5.032320e-04,1.000000,0.993476
5.082320e-04,1.000000,0.993794
5.132320e-04,1.000000,0.994097
5.182320e-04,1.000000,0.994385
5.232320e-04,1.000000,0.994659
5.282320e-04,1.000000,0.994919
5.332320e-04,1.000000,0.995167
5.382320e-04,1.000000,0.995403
5.432320e-04,1.000000,0.995627
5.482320e-04,1.000000,0.995840
5.532320e-04,1.000000,0.996043
5.582320e-04,1.000000,0.996236
5.632320e-04,1.000000,0.996420
5.682320e-04,1.000000,0.996594
5.732320e-04,1.000000,0.996760
5.782320e-04,1.000000,0.996918
5.832320e-04,1.000000,0.997069
5.882320e-04,1.000000,0.997212
5.932320e-04,1.000000,0.997348
5.982320e-04,1.000000,0.997477
6.032320e-04,1.000000,0.997600
6.082320e-04,1.000000,0.997717
6.132320e-04,1.000000,0.997828
6.182320e-04,1.000000,0.997934
6.232320e-04,1.000000,0.998035
6.282320e-04,1.000000,0.998131
6.332320e-04,1.000000,0.998222
6.382320e-04,1.000000,0.998309
6.432320e-04,1.000000,0.998391
6.482320e-04,1.000000,0.998470
6.532320e-04,1.000000,0.998544
6.582320e-04,1.000000,0.998615
6.632320e-04,1.000000,0.998683
6.682320e-04,1.000000,0.998747
6.732320e-04,1.000000,0.998808
6.782320e-04,1.000000,0.998866
6.832320e-04,1.000000,0.998922
6.882320e-04,1.000000,0.998974
6.932320e-04,1.000000,0.999024
6.982320e-04,1.000000,0.999072
7.032320e-04,1.000000,0.999117
7.082320e-04,1.000000,0.999160
7.132320e-04,1.000000,0.999201
7.182320e-04,1.000000,0.999240
7.232320e-04,1.000000,0.999277
7.282320e-04,1.000000,0.999312
7.332320e-04,1.000000,0.999346
7.382320e-04,1.000000,0.999378
7.432320e-04,1.000000,0.999408
7.482320e-04,1.000000,0.999437
7.532320e-04,1.000000,0.999465
7.582320e-04,1.000000,0.999491
7.632320e-04,1.000000,0.999515
7.682320e-04,1.000000,0.999539
7.732320e-04,1.000000,0.999562
7.782320e-04,1.000000,0.999583
7.832320e-04,1.000000,0.999603
7.882320e-04,1.000000,0.999623
7.932320e-04,1.000000,0.999641
7.982320e-04,1.000000,0.999659
8.032320e-04,1.000000,0.999675
8.082320e-04,1.000000,0.999691
8.132320e-04,1.000000,0.999706
8.182320e-04,1.000000,0.999720
8.232320e-04,1.000000,0.999734
8.282320e-04,1.000000,0.999747
8.332320e-04,1.000000,0.999759
8.382320e-04,1.000000,0.999771
8.432320e-04,1.000000,0.999782
8.482320e-04,1.000000,0.999793
8.532320e-04,1.000000,0.999803
8.582320e-04,1.000000,0.999813
8.632320e-04,1.000000,0.999822
8.682320e-04,1.000000,0.999830
8.732320e-04,1.000000,0.999839
8.782320e-04,1.000000,0.999847
8.832320e-04,1.000000,0.999854
8.882320e-04,1.000000,0.999861
8.932320e-04,1.000000,0.999868
8.982320e-04,1.000000,0.999874
9.032320e-04,1.000000,0.999881
9.082320e-04,1.000000,0.999886
9.132320e-04,1.000000,0.999892
9.182320e-04,1.000000,0.999897
9.232320e-04,1.000000,0.999902
9.282320e-04,1.000000,0.999907
9.332320e-04,1.000000,0.999911
9.382320e-04,1.000000,0.999916
9.432320e-04,1.000000,0.999920
9.482320e-04,1.000000,0.999924
9.532320e-04,1.000000,0.999928
9.582320e-04,1.000000,0.999931
9.632320e-04,1.000000,0.999934
9.682320e-04,1.000000,0.999938
9.732320e-04,1.000000,0.999941
9.782320e-04,1.000000,0.999944
9.832320e-04,1.000000,0.999946
9.882320e-04,1.000000,0.999949
9.932320e-04,1.000000,0.999951
9.982320e-04,1.000000,0.999954
1.003232e-03,1.000000,0.999956
1.008232e-03,1.000000,0.999958
1.013232e-03,1.000000,0.999960
1.018232e-03,1.000000,0.999962
1.023232e-03,1.000000,0.999964
1.028232e-03,1.000000,0.999966
1.033232e-03,1.000000,0.999967
1.038232e-03,1.000000,0.999969
1.043232e-03,1.000000,0.999971
1.048232e-03,1.000000,0.999972
1.053232e-03,1.000000,0.999973
1.058232e-03,1.000000,0.999975
1.063232e-03,1.000000,0.999976
1.068232e-03,1.000000,0.999977
1.073232e-03,1.000000,0.999978
1.078232e-03,1.000000,0.999979
1.083232e-03,1.000000,0.999980
1.088232e-03,1.000000,0.999981
1.093232e-03,1.000000,0.999982
1.098232e-03,1.000000,0.999983
1.103232e-03,1.000000,0.999984
1.108232e-03,1.000000,0.999985
1.113232e-03,1.000000,0.999985
1.118232e-03,1.000000,0.999986
1.123232e-03,1.000000,0.999987
1.128232e-03,1.000000,0.999987
1.133232e-03,1.000000,0.999988
1.138232e-03,1.000000,0.999989
1.143232e-03,1.000000,0.999989
1.148232e-03,1.000000,0.999990
1.153232e-03,1.000000,0.999990
1.158232e-03,1.000000,0.999991
1.163232e-03,1.000000,0.999991
1.168232e-03,1.000000,0.999992
1.173232e-03,1.000000,0.999992
1.178232e-03,1.000000,0.999992
1.183232e-03,1.000000,0.999993
1.188232e-03,1.000000,0.999993
1.193232e-03,1.000000,0.999993
1.198232e-03,1.000000,0.999994
1.203232e-03,1.000000,0.999994
1.208232e-03,1.000000,0.999994
1.213232e-03,1.000000,0.999995
1.218232e-03,1.000000,0.999995
1.223232e-03,1.000000,0.999995
1.228232e-03,1.000000,0.999995
1.233232e-03,1.000000,0.999996
1.238232e-03,1.000000,0.999996
1.243232e-03,1.000000,0.999996
1.248232e-03,1.000000,0.999996
1.253232e-03,1.000000,0.999996
1.258232e-03,1.000000,0.999997
1.263232e-03,1.000000,0.999997
1.268232e-03,1.000000,0.999997
1.273232e-03,1.000000,0.999997
1.278232e-03,1.000000,0.999997
1.283232e-03,1.000000,0.999997
1.288232e-03,1.000000,0.999997
1.293232e-03,1.000000,0.999998
1.298232e-03,1.000000,0.999998
1.303232e-03,1.000000,0.999998
1.308232e-03,1.000000,0.999998
1.313232e-03,1.000000,0.999998
1.318232e-03,1.000000,0.999998
1.323232e-03,1.000000,0.999998
1.328232e-03,1.000000,0.999998
1.333232e-03,1.000000,0.999998
1.338232e-03,1.000000,0.999998
1.343232e-03,1.000000,0.999999
1.348232e-03,1.000000,0.999999
1.353232e-03,1.000000,0.999999
1.358232e-03,1.000000,0.999999
1.363232e-03,1.000000,0.999999
1.368232e-03,1.000000,0.999999
1.373232e-03,1.000000,0.999999
1.378232e-03,1.000000,0.999999
1.383232e-03,1.000000,0.999999
1.388232e-03,1.000000,0.999999
1.393232e-03,1.000000,0.999999
1.398232e-03,1.000000,0.999999
1.403232e-03,1.000000,0.999999
1.408232e-03,1.000000,0.999999
1.413232e-03,1.000000,0.999999
1.418232e-03,1.000000,0.999999
1.423232e-03,1.000000,0.999999
1.428232e-03,1.000000,0.999999
1.433232e-03,1.000000,0.999999
1.438232e-03,1.000000,0.999999
1.443232e-03,1.000000,0.999999
1.448232e-03,1.000000,0.999999
1.453232e-03,1.000000,1.000000
1.458232e-03,1.000000,1.000000
1.463232e-03,1.000000,1.000000
1.468232e-03,1.000000,1.000000
1.473232e-03,1.000000,1.000000
1.478232e-03,1.000000,1.000000
1.483232e-03,1.000000,1.000000
1.488232e-03,1.000000,1.000000
1.493232e-03,1.000000,1.000000
1.498232e-03,1.000000,1.000000
1.503232e-03,1.000000,1.000000
1.508232e-03,1.000000,1.000000
1.513232e-03,1.000000,1.000000
1.518232e-03,1.000000,1.000000
1.523232e-03,1.000000,1.000000
1.528232e-03,1.000000,1.000000
1.533232e-03,1.000000,1.000000
1.538232e-03,1.000000,1.000000
1.543232e-03,1.000000,1.000000
1.548232e-03,1.000000,1.000000
1.553232e-03,1.000000,1.000000
1.558232e-03,1.000000,1.000000
1.563232e-03,1.000000,1.000000
1.568232e-03,1.000000,1.000000
1.573232e-03,1.000000,1.000000
1.578232e-03,1.000000,1.000000
1.583232e-03,1.000000,1.000000
1.588232e-03,1.000000,1.000000
1.593232e-03,1.000000,1.000000
1.598232e-03,1.000000,1.000000
1.603232e-03,1.000000,1.000000
1.608232e-03,1.000000,1.000000
1.613232e-03,1.000000,1.000000
1.618232e-03,1.000000,1.000000
1.623232e-03,1.000000,1.000000
1.628232e-03,1.000000,1.000000
1.633232e-03,1.000000,1.000000
1.638232e-03,1.000000,1.000000
1.643232e-03,1.000000,1.000000
1.648232e-03,1.000000,1.000000
1.653232e-03,1.000000,1.000000
1.658232e-03,1.000000,1.000000
1.663232e-03,1.000000,1.000000
1.668232e-03,1.000000,1.000000
1.673232e-03,1.000000,1.000000
1.678232e-03,1.000000,1.000000
1.683232e-03,1.000000,1.000000
1.688232e-03,1.000000,1.000000
1.693232e-03,1.000000,1.000000
1.698232e-03,1.000000,1.000000
1.703232e-03,1.000000,1.000000
1.708232e-03,1.000000,1.000000
1.713232e-03,1.000000,1.000000
1.718232e-03,1.000000,1.000000
1.723232e-03,1.000000,1.000000
1.728232e-03,1.000000,1.000000
1.733232e-03,1.000000,1.000000
1.738232e-03,1.000000,1.000000
1.743232e-03,1.000000,1.000000
1.748232e-03,1.000000,1.000000
1.753232e-03,1.000000,1.000000
1.758232e-03,1.000000,1.000000
1.763232e-03,1.000000,1.000000
1.768232e-03,1.000000,1.000000
1.773232e-03,1.000000,1.000000
1.778232e-03,1.000000,1.000000
1.783232e-03,1.000000,1.000000
1.788232e-03,1.000000,1.000000
1.793232e-03,1.000000,1.000000
1.798232e-03,1.000000,1.000000
1.803232e-03,1.000000,1.000000
1.808232e-03,1.000000,1.000000
1.813232e-03,1.000000,1.000000
1.818232e-03,1.000000,1.000000
1.823232e-03,1.000000,1.000000
1.828232e-03,1.000000,1.000000
1.833232e-03,1.000000,1.000000
1.838232e-03,1.000000,1.000000
1.843232e-03,1.000000,1.000000
1.848232e-03,1.000000,1.000000
1.853232e-03,1.000000,1.000000
1.858232e-03,1.000000,1.000000
1.863232e-03,1.000000,1.000000
1.868232e-03,1.000000,1.000000
1.873232e-03,1.000000,1.000000
1.878232e-03,1.000000,1.000000
1.883232e-03,1.000000,1.000000
1.888232e-03,1.000000,1.000000
1.893232e-03,1.000000,1.000000
1.898232e-03,1.000000,1.000000
1.903232e-03,1.000000,1.000000
1.908232e-03,1.000000,1.000000
1.913232e-03,1.000000,1.000000
1.918232e-03,1.000000,1.000000
1.923232e-03,1.000000,1.000000
1.928232e-03,1.000000,1.000000
1.933232e-03,1.000000,1.000000
1.938232e-03,1.000000,1.000000
1.943232e-03,1.000000,1.000000
1.948232e-03,1.000000,1.000000
1.953232e-03,1.000000,1.000000
1.958232e-03,1.000000,1.000000
1.963232e-03,1.000000,1.000000
1.968232e-03,1.000000,1.000000
1.973232e-03,1.000000,1.000000
1.978232e-03,1.000000,1.000000
1.983232e-03,1.000000,1.000000
1.988232e-03,1.000000,1.000000
1.993232e-03,1.000000,1.000000
1.998232e-03,1.000000,1.000000
