time_s,vin_V,vout_V
0.000000e+00,0.000000,0.000000
3.232008e-06,1.000000,0.031799
8.232008e-06,1.000000,0.079018
1.323201e-05,1.000000,0.123935
1.823201e-05,1.000000,0.166661
2.323201e-05,1.000000,0.207304
2.823201e-05,1.000000,0.245964
3.323201e-05,1.000000,0.282739
3.823201e-05,1.000000,0.317720
4.323201e-05,1.000000,0.350995
4.823201e-05,1.000000,0.382648
5.323201e-05,1.000000,0.412756
5.823201e-05,1.000000,0.441396
6.323201e-05,1.000000,0.468640
6.823201e-05,1.000000,0.494555
7.323201e-05,1.000000,0.519205
7.823201e-05,1.000000,0.542654
8.323201e-05,1.000000,0.564959
8.823201e-05,1.000000,0.586176
9.323201e-05,1.000000,0.606359
9.823201e-05,1.000000,0.625557
1.032320e-04,1.000000,0.643819
1.082320e-04,1.000000,0.661190
1.132320e-04,1.000000,0.677714
1.182320e-04,1.000000,0.693432
1.232320e-04,1.000000,0.708383
1.282320e-04,1.000000,0.722606
1.332320e-04,1.000000,0.736134
1.382320e-04,1.000000,0.749003
1.432320e-04,1.000000,0.761244
1.482320e-04,1.000000,0.772889
1.532320e-04,1.000000,0.783965
1.582320e-04,1.000000,0.794501
1.632320e-04,1.000000,0.804524
1.682320e-04,1.000000,0.814057
1.732320e-04,1.000000,0.823126
1.782320e-04,1.000000,0.831752
1.832320e-04,1.000000,0.839957
1.882320e-04,1.000000,0.847763
1.932320e-04,1.000000,0.855187
1.982320e-04,1.000000,0.862250
2.032320e-04,1.000000,0.868968
2.082320e-04,1.000000,0.875359
2.132320e-04,1.000000,0.881438
2.182320e-04,1.000000,0.887220
2.232320e-04,1.000000,0.892720
2.282320e-04,1.000000,0.897952
2.332320e-04,1.000000,0.902929
2.382320e-04,1.000000,0.907663
2.432320e-04,1.000000,0.912167
2.482320e-04,1.000000,0.916450
2.532320e-04,1.000000,0.920525
2.582320e-04,1.000000,0.924401
2.632320e-04,1.000000,0.928088
2.682320e-04,1.000000,0.931595
2.732320e-04,1.000000,0.934932
2.782320e-04,1.000000,0.938105
2.832320e-04,1.000000,0.941124
2.882320e-04,1.000000,0.943995
2.932320e-04,1.000000,0.946726
